sample_id,dataset,mode,split,num_variables,sequence_length,observed_variable_count,hidden_variable_count,ground_truth_edges,predicted_edges,auroc,auprc,f1,accuracy,shd,runtime_sec,threshold
sample_00240,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7954380763463834,0.2515271732145316,0.0,0.924072265625,311,76.53221692796797,0.50242817401886
sample_00241,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.8024032927404249,0.249571346955657,0.0,0.924072265625,311,67.39375379821286,0.50242817401886
sample_00242,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7818449030909793,0.23839749559990514,0.0,0.924072265625,311,67.07407455891371,0.50242817401886
sample_00243,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7912516406359509,0.23718457224413392,0.0,0.924072265625,311,67.22797361202538,0.50242817401886
sample_00244,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.8079922863562803,0.2596635469332273,0.0,0.924072265625,311,67.13844058802351,0.50242817401886
sample_00245,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7915209385499539,0.25581632455762077,0.0,0.924072265625,311,67.24710672022775,0.50242817401886
sample_00246,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7903452025468617,0.23443373194583808,0.0,0.924072265625,311,67.40811167424545,0.50242817401886
sample_00247,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7894391892178892,0.24452885855153517,0.0,0.924072265625,311,67.11288498621434,0.50242817401886
sample_00248,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7796743788945193,0.23829359175421627,0.0,0.924072265625,311,67.24065381800756,0.50242817401886
sample_00249,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7989695319568274,0.2635520244526056,0.0,0.924072265625,311,67.23867876129225,0.50242817401886
sample_00250,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.797156655778649,0.25996952472535634,0.0,0.924072265625,311,67.1913780849427,0.50242817401886
sample_00251,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7968984016276808,0.2534757797909646,0.0,0.924072265625,311,67.46552330069244,0.50242817401886
sample_00252,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.776000203884856,0.23148524843283277,0.0,0.924072265625,311,67.26586289377883,0.50242817401886
sample_00253,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7851478377586258,0.24058713645012958,0.0,0.924072265625,311,67.24419165728614,0.50242817401886
sample_00254,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7940134309148908,0.24622498537822726,0.0,0.924072265625,311,67.11957805603743,0.50242817401886
sample_00255,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7822208157942802,0.24009683092946152,0.0,0.924072265625,311,67.25465566199273,0.50242817401886
sample_00256,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.8061173952010602,0.267735112719602,0.0,0.924072265625,311,67.5213718060404,0.50242817401886
sample_00257,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.8093812519379681,0.271576272260842,0.0,0.924072265625,311,67.2811831929721,0.50242817401886
sample_00258,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7926881793507117,0.2586127247654173,0.0,0.924072265625,311,67.23002285184339,0.50242817401886
