,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63
ROI0,0.3987150490283966,0.39373284578323364,0.3971625864505768,0.39830106496810913,0.3991643488407135,0.39837875962257385,0.3936752378940582,0.3988044857978821,0.385357141494751,0.37915295362472534,0.3804900646209717,0.37983429431915283,0.3764027953147888,0.3820948898792267,0.38785335421562195,0.38622960448265076,0.3855002820491791,0.39169490337371826,0.3895317316055298,0.38952934741973877,0.393600195646286,0.3885423243045807,0.3777965009212494,0.39072951674461365,0.38545089960098267,0.3742976486682892,0.37649965286254883,0.3929136097431183,0.379830926656723,0.37800052762031555,0.3775293827056885,0.38182440400123596,0.3742552697658539,0.3955932855606079,0.3896503448486328,0.3789200484752655,0.37677302956581116,0.3760720193386078,0.38921308517456055,0.38621461391448975,0.3779164254665375,0.388753205537796,0.3814074695110321,0.37821701169013977,0.37665271759033203,0.38458922505378723,0.3854999244213104,0.38651785254478455,0.3792051374912262,0.3781677782535553,0.38872748613357544,0.37778687477111816,0.3834555447101593,0.3863571286201477,0.3871515989303589,0.37878215312957764,0.37690165638923645,0.37483012676239014,0.37522760033607483,0.3746970295906067,0.3798650801181793,0.3771715462207794,0.37598416209220886,0.37401530146598816
ROI1,0.39862117171287537,0.39902278780937195,0.39726537466049194,0.39893296360969543,0.39909496903419495,0.39866042137145996,0.3986377716064453,0.39887872338294983,0.3760811984539032,0.37594419717788696,0.3741244971752167,0.37966009974479675,0.3746896982192993,0.3760042190551758,0.38627538084983826,0.37621280550956726,0.387104332447052,0.3886139392852783,0.3846137225627899,0.38812437653541565,0.3907132148742676,0.3908372223377228,0.3758188486099243,0.38188937306404114,0.3879990577697754,0.37667521834373474,0.37574511766433716,0.39326879382133484,0.3756343126296997,0.38027501106262207,0.3789782226085663,0.3810797333717346,0.38377681374549866,0.3986743092536926,0.3987850546836853,0.3859322667121887,0.3834365904331207,0.390462189912796,0.3847551643848419,0.38349902629852295,0.38456156849861145,0.3751828670501709,0.37424877285957336,0.37714171409606934,0.38671085238456726,0.3743647336959839,0.3750852644443512,0.3858068585395813,0.3778524100780487,0.37878990173339844,0.3917623460292816,0.37600281834602356,0.38767027854919434,0.3823338449001312,0.3771277964115143,0.3814086318016052,0.37467771768569946,0.3749096691608429,0.3781057894229889,0.3751571476459503,0.3851100504398346,0.37393951416015625,0.3748836815357208,0.37571704387664795
ROI2,0.3947409391403198,0.39179253578186035,0.3973878026008606,0.39868801832199097,0.39813709259033203,0.3950570523738861,0.38653564453125,0.3987196087837219,0.3769586682319641,0.38358670473098755,0.37730884552001953,0.37411680817604065,0.3789227604866028,0.3779645562171936,0.38095858693122864,0.37745925784111023,0.37665581703186035,0.38223424553871155,0.3800569772720337,0.37559765577316284,0.3877764046192169,0.3769768476486206,0.37443631887435913,0.38032013177871704,0.3861616849899292,0.37756529450416565,0.37659192085266113,0.3921201825141907,0.3782695233821869,0.383979469537735,0.3821154534816742,0.3860241174697876,0.3763964772224426,0.3956214189529419,0.3895722031593323,0.3799605369567871,0.37780141830444336,0.3741315007209778,0.376536101102829,0.3822433054447174,0.37793001532554626,0.3749866783618927,0.3750258982181549,0.38313108682632446,0.38168272376060486,0.37429800629615784,0.3732503354549408,0.37655848264694214,0.37413954734802246,0.3742894232273102,0.389129102230072,0.38099968433380127,0.3842005133628845,0.3807995021343231,0.3754155933856964,0.3754625618457794,0.37574276328086853,0.3749100863933563,0.37972575426101685,0.37648919224739075,0.3828452229499817,0.3755595088005066,0.3747064769268036,0.37678301334381104
ROI3,0.39043480157852173,0.3921402096748352,0.3923986554145813,0.399033784866333,0.38815194368362427,0.39485013484954834,0.38149216771125793,0.39894941449165344,0.37841200828552246,0.37631216645240784,0.3735603392124176,0.3741893172264099,0.3761477470397949,0.3797290027141571,0.37823253870010376,0.3847581744194031,0.37514427304267883,0.3783103823661804,0.38585594296455383,0.37761762738227844,0.38198497891426086,0.3828905522823334,0.37418025732040405,0.37725043296813965,0.3881424069404602,0.37594398856163025,0.3755311667919159,0.39417970180511475,0.3796197772026062,0.3892049491405487,0.3820013403892517,0.3905499577522278,0.3766978085041046,0.39729031920433044,0.3963467478752136,0.3763410151004791,0.377243310213089,0.37791723012924194,0.3793191611766815,0.39201465249061584,0.3814622759819031,0.3782814145088196,0.37596726417541504,0.3810683786869049,0.38572120666503906,0.3751862645149231,0.3749302327632904,0.37848156690597534,0.37641146779060364,0.3784046173095703,0.39138251543045044,0.3744674026966095,0.37725764513015747,0.3755117654800415,0.3741282522678375,0.37790897488594055,0.3754914104938507,0.375018835067749,0.38470473885536194,0.3770441710948944,0.3813367486000061,0.37857672572135925,0.37530362606048584,0.37661534547805786
ROI4,0.3944808840751648,0.3883853852748871,0.3938038945198059,0.38809531927108765,0.3992074131965637,0.3953172564506531,0.39631471037864685,0.3896753489971161,0.376530259847641,0.3903086483478546,0.3819585144519806,0.37967994809150696,0.3910721242427826,0.38302895426750183,0.3917638957500458,0.37551769614219666,0.38500484824180603,0.38530752062797546,0.38584694266319275,0.37531402707099915,0.3901527523994446,0.37916040420532227,0.3807660639286041,0.3802449107170105,0.38610655069351196,0.38635894656181335,0.3866620659828186,0.39208585023880005,0.37764972448349,0.3871512711048126,0.3813202381134033,0.39065203070640564,0.3767763674259186,0.38196495175361633,0.38405364751815796,0.38933441042900085,0.39127659797668457,0.37689152359962463,0.38747844099998474,0.38414058089256287,0.3787030279636383,0.3775615990161896,0.37665459513664246,0.38700971007347107,0.38502004742622375,0.3821498155593872,0.37413161993026733,0.38945332169532776,0.3743315041065216,0.37514835596084595,0.3753140866756439,0.378540962934494,0.3763989210128784,0.374411016702652,0.3744852542877197,0.383482426404953,0.38697752356529236,0.3807249367237091,0.3788743317127228,0.3877878785133362,0.38663163781166077,0.3827827572822571,0.37871894240379333,0.3840162754058838
ROI5,0.3985028564929962,0.3912997841835022,0.3990342915058136,0.39732861518859863,0.3996499478816986,0.3975238800048828,0.39719679951667786,0.39790913462638855,0.37758341431617737,0.38600078225135803,0.38595956563949585,0.3859916627407074,0.38479384779930115,0.37963730096817017,0.3819686472415924,0.3754296600818634,0.39027538895606995,0.37753844261169434,0.391639769077301,0.37651920318603516,0.3839017450809479,0.37949126958847046,0.38306280970573425,0.3783251941204071,0.3917972147464752,0.37700557708740234,0.38262471556663513,0.3929121792316437,0.38414251804351807,0.38481783866882324,0.3850652873516083,0.3921789526939392,0.3766191005706787,0.39245477318763733,0.3865322470664978,0.3806390166282654,0.3821880519390106,0.3767014443874359,0.3815591335296631,0.38447850942611694,0.38457635045051575,0.3785375952720642,0.3764938712120056,0.38671359419822693,0.3859435021877289,0.37758174538612366,0.37471839785575867,0.37706080079078674,0.3752642869949341,0.37357625365257263,0.38906171917915344,0.3764019012451172,0.38483309745788574,0.38219088315963745,0.37341880798339844,0.37782323360443115,0.37498733401298523,0.3749209940433502,0.37650296092033386,0.3763507902622223,0.3791310787200928,0.3774576187133789,0.37434542179107666,0.37433990836143494
ROI6,0.39708080887794495,0.3991785943508148,0.39918971061706543,0.39783775806427,0.3986686170101166,0.39723509550094604,0.3976525068283081,0.39769983291625977,0.38302990794181824,0.3909189701080322,0.376064270734787,0.382817804813385,0.38333413004875183,0.3812852203845978,0.3801599144935608,0.3875778317451477,0.37593474984169006,0.38324105739593506,0.38031521439552307,0.37603759765625,0.38457348942756653,0.37757784128189087,0.37437704205513,0.37885475158691406,0.38877150416374207,0.38276854157447815,0.3857681453227997,0.3965306878089905,0.3777729868888855,0.3792186975479126,0.38294342160224915,0.38507553935050964,0.37501388788223267,0.3972509205341339,0.39280229806900024,0.3746161162853241,0.37652233242988586,0.37516987323760986,0.3847406506538391,0.3854714632034302,0.3799431324005127,0.38016632199287415,0.3780205547809601,0.3733823895454407,0.3881998658180237,0.37934520840644836,0.37429049611091614,0.3780243694782257,0.3862282335758209,0.3775048851966858,0.38781559467315674,0.3755098283290863,0.3796153664588928,0.3861004412174225,0.37788403034210205,0.3779113292694092,0.3754926919937134,0.3747931718826294,0.37488189339637756,0.3762432336807251,0.38235655426979065,0.37575942277908325,0.37487462162971497,0.37353917956352234
ROI7,0.3849549889564514,0.39422473311424255,0.39110055565834045,0.3981403708457947,0.3884359896183014,0.3916510045528412,0.38362234830856323,0.3986475169658661,0.3780917823314667,0.3854857087135315,0.37484779953956604,0.37491318583488464,0.3846563696861267,0.38270696997642517,0.3848675787448883,0.3738613426685333,0.37902337312698364,0.3824445307254791,0.3841276466846466,0.3751698136329651,0.38626551628112793,0.3841817080974579,0.3786217272281647,0.3783799111843109,0.38809382915496826,0.37947914004325867,0.378856360912323,0.39339956641197205,0.381531298160553,0.38986897468566895,0.3885515630245209,0.39202919602394104,0.3755474090576172,0.3971993625164032,0.3945668339729309,0.37861788272857666,0.3889654278755188,0.37532952427864075,0.38849255442619324,0.3909359574317932,0.3773435354232788,0.3754778206348419,0.3745620846748352,0.38409265875816345,0.3758089244365692,0.37956419587135315,0.3734165132045746,0.3755781054496765,0.37652289867401123,0.37349915504455566,0.3862797021865845,0.3743469715118408,0.37529534101486206,0.37571969628334045,0.3745154142379761,0.3830200135707855,0.37574732303619385,0.37505683302879333,0.3883155882358551,0.3782753348350525,0.38339754939079285,0.37995195388793945,0.37609347701072693,0.3758689761161804
ROI8,0.3785649836063385,0.38623422384262085,0.3811492621898651,0.3885559141635895,0.38151857256889343,0.3807121217250824,0.38724303245544434,0.3760910630226135,0.3988277316093445,0.387287974357605,0.3842128813266754,0.38680481910705566,0.3972001075744629,0.3795092701911926,0.396092027425766,0.39771100878715515,0.3828531503677368,0.3774387240409851,0.3785329759120941,0.3906181752681732,0.3802022933959961,0.3785615861415863,0.374458372592926,0.38099345564842224,0.3756530284881592,0.38674023747444153,0.384158194065094,0.37770673632621765,0.3827371597290039,0.37439772486686707,0.3771795332431793,0.3777257800102234,0.373517781496048,0.37524500489234924,0.3822036683559418,0.38114166259765625,0.37436020374298096,0.3768373727798462,0.3816167712211609,0.37438780069351196,0.38420358300209045,0.3965751826763153,0.39853906631469727,0.37824299931526184,0.37956300377845764,0.3973263204097748,0.39871737360954285,0.37682488560676575,0.38460418581962585,0.37669801712036133,0.38765713572502136,0.3756205141544342,0.3764071464538574,0.38637736439704895,0.3884968161582947,0.3749108910560608,0.38069772720336914,0.3805164396762848,0.38726288080215454,0.3844700753688812,0.3800869584083557,0.39106330275535583,0.38340744376182556,0.3842725455760956
ROI9,0.3788730204105377,0.38886600732803345,0.3904578685760498,0.38329648971557617,0.3768351972103119,0.38847553730010986,0.3930831253528595,0.38656383752822876,0.39647775888442993,0.39760828018188477,0.39825859665870667,0.3969694674015045,0.39773252606391907,0.3961377441883087,0.39733070135116577,0.39435330033302307,0.38128525018692017,0.3892708420753479,0.3930203318595886,0.38081732392311096,0.3907604217529297,0.3802298605442047,0.37562379240989685,0.3898056745529175,0.38090237975120544,0.37871354818344116,0.37835797667503357,0.38613709807395935,0.37487682700157166,0.3754834532737732,0.3770626485347748,0.3817655146121979,0.38120236992836,0.3743050694465637,0.3844973146915436,0.38373613357543945,0.3769333064556122,0.37701869010925293,0.37969115376472473,0.3832104504108429,0.3752308785915375,0.39011892676353455,0.3885568678379059,0.37755492329597473,0.37750327587127686,0.39486435055732727,0.3931843936443329,0.379649817943573,0.38146913051605225,0.3849155008792877,0.3834563195705414,0.37533801794052124,0.38319018483161926,0.38929861783981323,0.37910690903663635,0.37658804655075073,0.37741485238075256,0.375384658575058,0.38240867853164673,0.3870154023170471,0.3922712206840515,0.38434556126594543,0.3763659596443176,0.38825541734695435
