,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63
ROI0,0.39845611989498136,0.39707451105117797,0.39787783682346345,0.39733313500881196,0.39798207461833957,0.3979406553506851,0.396323167681694,0.39718286275863646,0.3791284549236298,0.3814189600944519,0.38302392601966856,0.38139897406101225,0.3810449624061584,0.38160601019859314,0.37886940360069277,0.3771155059337616,0.38245935916900636,0.38444021105766296,0.3833400672674179,0.38227845072746275,0.38350447654724124,0.3834445834159851,0.3790311431884766,0.38281919836997985,0.3815374505519867,0.38145351588726045,0.3809691375494003,0.3853293126821518,0.38115942060947416,0.38025256037712096,0.3804931902885437,0.38280320703983306,0.3800906312465668,0.39382013738155364,0.3944172668457031,0.38149949550628665,0.3824223917722702,0.38028027236461637,0.38338309943675997,0.383863627910614,0.38298857390880586,0.37918695449829104,0.3782839691638947,0.3811715716123581,0.38296340346336366,0.38098626434803007,0.37791158378124234,0.3837412464618683,0.38160728216171264,0.3818144154548645,0.38298185646533967,0.3773955851793289,0.38068349242210386,0.3829297834634781,0.3815364331007004,0.384606311917305,0.3806734347343445,0.37702295184135437,0.3817891377210617,0.38163102090358736,0.38321644723415377,0.38215759515762326,0.37918972492218017,0.38133611023426056
ROI1,0.39794066548347473,0.39843748927116396,0.3977584630250931,0.3983235621452332,0.3974948650598526,0.3979183048009872,0.3962410122156143,0.39833485782146455,0.37932343542575836,0.381166580915451,0.3829978865385055,0.3808831226825714,0.3806398344039917,0.38090853452682494,0.37897849261760713,0.37685061573982237,0.38231608033180237,0.3861148715019226,0.3828150165081024,0.3814811712503433,0.38286007940769196,0.3861401891708374,0.38077096939086913,0.38283458709716794,0.3813105291128159,0.383111252784729,0.38214141070842744,0.38676855981349945,0.380669481754303,0.3804920929670334,0.3800296413898468,0.3827399390935898,0.38083231389522554,0.397465712428093,0.39787951827049256,0.3833397215604782,0.3820385217666626,0.38627917766571046,0.38383022606372835,0.38496632397174835,0.3817184978723526,0.37809662759304047,0.376711368560791,0.380423504114151,0.38275024712085726,0.38121735453605654,0.37740945994853975,0.3821156233549118,0.3797571837902069,0.38095503687858584,0.38154164016246794,0.37686177670955656,0.38080779910087587,0.38187024235725403,0.3799626094102859,0.38753193616867065,0.3811567294597626,0.3787016004323959,0.38276330053806307,0.3831119227409363,0.3829124385118485,0.3828877168893814,0.3806216061115265,0.3822724062204361
ROI2,0.3977702522277832,0.39686698853969576,0.3980729800462723,0.3972453320026398,0.3980458229780197,0.3975221347808838,0.3956190049648285,0.3972188276052475,0.379685480594635,0.381040717959404,0.38165444016456607,0.379838684797287,0.3807642424106598,0.3816375184059143,0.37967206835746764,0.3767159640789032,0.38204940915107727,0.38389248967170714,0.3837367767095566,0.38064040184021,0.38278166949748993,0.38355513513088224,0.3788700634241104,0.3822661828994751,0.3808635377883911,0.38101323544979093,0.3798360526561737,0.3857495754957199,0.381581968665123,0.3809427756071091,0.3808529233932495,0.3823456370830536,0.3801803469657898,0.3938487726449966,0.39423234641551974,0.3813565415143967,0.38135948419570925,0.37947299242019655,0.3830790364742279,0.3835632300376892,0.38243245661258696,0.3788775008916855,0.3769960260391235,0.38114102244377135,0.38190186858177183,0.38058980941772463,0.37720835983753204,0.38347760736942293,0.38098503470420836,0.38081923604011536,0.3832370567321777,0.37763678908348086,0.38053459763526915,0.3818438565731049,0.3805255341529846,0.3840814733505249,0.38070745050907134,0.3763221037387848,0.3806696933507919,0.3811348462104797,0.38240460216999056,0.38180300235748293,0.37898744761943814,0.38162188827991483
ROI3,0.39553521931171415,0.39694159746170044,0.3955164235830307,0.3980460965633392,0.39510300636291507,0.39565299928188324,0.3884092319011688,0.3980449271202087,0.37829986691474915,0.38105512261390684,0.3831322902441025,0.38023475766181947,0.38051324009895326,0.3808442747592926,0.379267258644104,0.3762763059139252,0.38180302679538725,0.38535172164440157,0.38307776987552644,0.3813792359828949,0.38296041786670687,0.38482720136642456,0.3810809338092804,0.38120635390281676,0.3813514405488968,0.38042973816394804,0.37986752808094026,0.38367710530757904,0.3788058149814606,0.3796836853027344,0.3802840596437454,0.3823891419172287,0.37965421319007875,0.3975053840875626,0.39748357474803925,0.38154850125312806,0.38125559985637664,0.38478855073451995,0.38410919547080996,0.38392639517784116,0.381778392791748,0.3783163172006607,0.3765327090024948,0.3806771147251129,0.3812493634223938,0.380430064201355,0.3772172290086746,0.3814548116922378,0.38031736493110657,0.38018553018569945,0.3818912822008133,0.3764904248714447,0.3801641184091568,0.38186789989471437,0.37915320932865143,0.38522480309009555,0.3810245567560196,0.37793568909168246,0.38059114456176757,0.38087829053401945,0.38359448313713074,0.38228881418704985,0.37931567907333374,0.3825656896829605
ROI4,0.3967091417312622,0.3925681686401367,0.39671412646770476,0.3940240454673767,0.3983247208595276,0.3964456975460052,0.3927160781621933,0.39483765840530394,0.38068378329277036,0.3827350950241089,0.3834637314081192,0.3818912321329117,0.3831269323825836,0.38320215940475466,0.3818074375391006,0.3769758540391922,0.38208066880702973,0.38478858053684234,0.3838483941555023,0.38219799995422366,0.3841425859928131,0.3849309825897217,0.3796457701921463,0.381642085313797,0.3813436710834503,0.38129434466362,0.38086793780326844,0.38432921230793,0.3803656214475632,0.3802793496847153,0.3799491769075394,0.38302585542201995,0.3797807484865189,0.38933216392993925,0.3896729815006256,0.38124987840652463,0.38235374927520754,0.3787056189775467,0.3839807242155075,0.38383097887039186,0.3833429652452469,0.3796175140142441,0.3773967283964157,0.3813893061876297,0.38198701918125155,0.38228305101394655,0.3778533262014389,0.3837515938282013,0.38042356610298156,0.38114653766155243,0.38280619025230406,0.37753237307071685,0.38111611127853395,0.3822233736515045,0.38056620955467224,0.3835405045747757,0.3817963790893555,0.37681818664073946,0.3819515758752823,0.3823099762201309,0.3827183973789215,0.3835277009010315,0.37976131796836854,0.3818337696790695
ROI5,0.39785381257534025,0.39643302917480466,0.3977425003051758,0.3972358095645905,0.3980890715122223,0.3982789552211761,0.39634730100631715,0.39719842731952665,0.3799936842918396,0.3815766304731369,0.38333830296993254,0.3804191780090332,0.3809695565700531,0.38125390648841856,0.38023540019989016,0.3766551488637924,0.38294920027256013,0.3861869609355926,0.3836275666952133,0.3821426272392273,0.3831263983249664,0.3864328247308731,0.38425648272037505,0.3817637825012207,0.38125441610813143,0.3806821095943451,0.38032887399196624,0.38410202741622923,0.38048888742923737,0.3806196904182434,0.3802491593360901,0.38152394533157347,0.3801633900403976,0.3932678860425949,0.39354469776153567,0.38185175120830533,0.3828841507434845,0.3791588133573532,0.3828174436092377,0.38433312058448793,0.38234248220920564,0.3788860881328583,0.3774852657318115,0.3814057296514511,0.38245304584503176,0.38102670609951017,0.3769819140434265,0.3830946785211563,0.3796552175283432,0.3811574971675873,0.38240792632102966,0.37690341770648955,0.38098511517047884,0.38208500027656556,0.3803427964448929,0.3861206489801407,0.38083130955696104,0.3768232125043869,0.38118471920490266,0.3813143384456634,0.38316306233406067,0.38267253279685975,0.3794681143760681,0.3818791794776917
ROI6,0.3983759129047394,0.39807201504707335,0.3982362902164459,0.3974861758947372,0.39822227001190186,0.39825029492378233,0.39856294870376585,0.39730018496513364,0.38051337003707886,0.38310626804828646,0.38349570989608767,0.3818473732471466,0.3826305079460144,0.3831582027673721,0.3808401465415955,0.37748174607753754,0.383330699801445,0.38359667897224425,0.3840186941623688,0.3828538405895233,0.38378904640674594,0.38336307168006895,0.378296006321907,0.38289469480514526,0.3826349246501923,0.38211053490638736,0.3820962792634964,0.38717512488365174,0.38107207357883455,0.3811730998754501,0.381218364238739,0.38333168864250183,0.3808091795444489,0.39304325461387635,0.3947374963760376,0.38337818801403045,0.38409077525138857,0.38008001863956453,0.384826095700264,0.38567843079566955,0.38318930327892303,0.3804115915298462,0.3778312546014786,0.38097464144229887,0.3837086009979248,0.38231789946556094,0.37780281126499177,0.38545751571655273,0.3816829180717468,0.38189348876476287,0.383834547996521,0.3778751713037491,0.38183046579360963,0.38322653830051423,0.38150911271572113,0.38411504328250884,0.383159773349762,0.3773790466785431,0.3821702742576599,0.38335018038749696,0.3839226430654526,0.38364784240722655,0.3805899208784103,0.3837809896469116
ROI7,0.39545205891132357,0.397091218829155,0.3953938722610474,0.39824653446674346,0.3950949263572693,0.3953143012523651,0.38911581337451934,0.39816146552562715,0.37902240216732025,0.38109017789363864,0.38262344419956207,0.3801530516147614,0.3808919125795364,0.3815143972635269,0.3798047465085983,0.3764449334144592,0.3805702966451645,0.3854775846004486,0.3818248951435089,0.3809762716293335,0.3832699251174927,0.38487896740436556,0.3816733777523041,0.38139168322086336,0.3813335317373276,0.38058705389499664,0.3802864193916321,0.384180606007576,0.3792074108123779,0.3793072599172592,0.38029354631900786,0.3821142989397049,0.3795552444458008,0.3973344033956528,0.3972427362203598,0.38105578064918516,0.38203156769275665,0.3836657154560089,0.384225794672966,0.38443080961704257,0.38103340566158295,0.37858449161052704,0.37695530652999876,0.38047092616558076,0.3818674033880234,0.38087083637714386,0.376646900177002,0.38247701346874236,0.3801743829250336,0.3792543441057205,0.3820423913002014,0.37554917752742767,0.38058007299900054,0.3819623160362244,0.3790637636184692,0.3856789892911911,0.3813334840536118,0.37798603117465973,0.382113870382309,0.38230692148208617,0.38369601249694824,0.38279056012630464,0.3792251229286194,0.3825663423538208
ROI8,0.381758406162262,0.3829425168037415,0.38116025149822236,0.37887888789176943,0.3789028453826904,0.38130525171756746,0.38298813939094545,0.3794882994890213,0.39819319665431974,0.3906544309854507,0.3883952170610428,0.39162692189216614,0.39351801574230194,0.39052919507026673,0.39700757145881654,0.39825532674789427,0.38063029885292055,0.3812555158138275,0.3815711122751236,0.3813449442386627,0.38176596105098726,0.3804381340742111,0.3785493582487106,0.38122140765190127,0.3812624543905258,0.38268326699733735,0.3830100744962692,0.381467696428299,0.37676400363445284,0.3775619637966156,0.37864103555679324,0.3833218866586685,0.378466454744339,0.3802379471063614,0.3814899212121963,0.38123917937278745,0.3812816828489304,0.377884624004364,0.3832320129871368,0.3825105279684067,0.3858618015050888,0.3974439996480942,0.3976698702573776,0.38347121894359587,0.3830128639936447,0.3960587441921234,0.3976889437437057,0.3831267738342285,0.38081242859363557,0.3807761430740356,0.3845153087377548,0.37816085636615754,0.3814778834581375,0.38381125569343566,0.3858808034658432,0.3814536368846893,0.3804834532737732,0.3782798111438751,0.38295444011688234,0.3821591848134995,0.38224201440811156,0.3864154464006424,0.38094120621681216,0.38202786207199096
ROI9,0.3833624839782715,0.38549710154533384,0.3828902918100357,0.3813247811794281,0.3798507636785507,0.3815272331237793,0.38443173170089723,0.3821081167459488,0.3952641099691391,0.3983766734600067,0.3965436786413193,0.39774735748767853,0.39756018459796905,0.397471244931221,0.39766125440597533,0.3934871280193329,0.3808854734897614,0.38207899272441864,0.3807907038927078,0.3813822305202484,0.3826843971014023,0.38099333465099333,0.3777784246206284,0.38172010838985443,0.38306489408016203,0.38165164411067964,0.3825841152667999,0.38390748620033266,0.3796905434131622,0.3809481883049011,0.38191694259643555,0.38387723922729494,0.3793985426425934,0.3802750086784363,0.3824895644187927,0.38025076866149904,0.38181145131587985,0.3778919959068298,0.38337962865829467,0.3834382313489914,0.3825202345848083,0.38605983316898346,0.3827320158481598,0.3830467468500137,0.382667230963707,0.38747554779052734,0.38408869087696074,0.38255382776260377,0.38096543431282043,0.3812061494588852,0.3843041700124741,0.37802506268024444,0.38181460916996,0.383460613489151,0.3822250181436539,0.38229572713375093,0.38044805467128756,0.3770940548181534,0.38188949644565584,0.38142607390880584,0.3811825096607208,0.38238484144210816,0.3799362045526504,0.38143139898777007
