sample_id,dataset,mode,split,num_variables,sequence_length,observed_variable_count,hidden_variable_count,ground_truth_edges,predicted_edges,auroc,auprc,f1,accuracy,shd,runtime_sec,threshold
sample_00250,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7576332658569501,0.10705057489387233,0.0,0.96484375,144,17.374928046949208,0.39964994788169866
sample_00251,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7561993927125507,0.11362988070804361,0.0,0.96484375,144,10.443571092560887,0.39964994788169866
sample_00252,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7517211749325237,0.1105657049263889,0.0,0.96484375,144,10.18977799685672,0.39964994788169866
sample_00253,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7323814594579398,0.10731346381349019,0.0,0.96484375,144,10.833130485378206,0.39964994788169866
sample_00254,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7627019019905533,0.109489721580525,0.0,0.96484375,144,12.296189369168133,0.39964994788169866
sample_00255,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7282722531488979,0.10271300720629419,0.0,0.96484375,144,11.140916191972792,0.39964994788169866
sample_00256,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7293511724021593,0.10020886891081708,0.0,0.96484375,144,10.470195996109396,0.39964994788169866
sample_00257,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7383972250337382,0.10591786125750118,0.0,0.96484375,144,10.284264764282852,0.39964994788169866
sample_00258,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7635488711763383,0.11017336329953172,0.0,0.96484375,144,10.256928072776645,0.39964994788169866
sample_00259,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7623768204565902,0.11239467376595333,0.0,0.96484375,144,10.211188084911555,0.39964994788169866
sample_00260,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7283038827035537,0.09737097197202409,0.0,0.96484375,144,10.21626213612035,0.39964994788169866
sample_00261,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7405453989541161,0.09769275313413306,0.0,0.96484375,144,10.445818237029016,0.39964994788169866
sample_00262,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7222925101214575,0.10022136622427617,0.0,0.96484375,144,10.283696588128805,0.39964994788169866
sample_00263,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7724376546333783,0.10856175371935069,0.0,0.96484375,144,10.264625481329858,0.39964994788169866
sample_00264,simulated_fMRI,latent,test,64,240,64,4,144,0,0.754767276765632,0.1056673904009702,0.0,0.96484375,144,10.267098770942539,0.39964994788169866
sample_00265,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7626588506522717,0.10322700125431312,0.0,0.96484375,144,10.525132144801319,0.39964994788169866
sample_00266,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7854699097503374,0.10797290238647017,0.0,0.96484375,144,10.221022787038237,0.39964994788169866
sample_00267,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7570173681399011,0.10941351870389857,0.0,0.96484375,144,10.252397281117737,0.39964994788169866
sample_00268,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7469679557467387,0.10612949381157483,0.0,0.96484375,144,10.21193948900327,0.39964994788169866
sample_00269,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7707191154970761,0.11392516856432693,0.0,0.96484375,144,10.226654146332294,0.39964994788169866
sample_00270,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7608946243814665,0.10336461582082968,0.0,0.96484375,144,10.488905921112746,0.39964994788169866
sample_00271,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7343697284075573,0.10999735077396412,0.0,0.96484375,144,10.233485562726855,0.39964994788169866
sample_00272,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7302253781488979,0.1027407337445902,0.0,0.96484375,144,10.28543479880318,0.39964994788169866
sample_00273,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7579109030589294,0.10645238464088064,0.0,0.96484375,144,10.392736534122378,0.39964994788169866
sample_00274,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7573512356612686,0.1229287608228791,0.0,0.96484375,144,10.304691644851118,0.39964994788169866
sample_00275,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7189555921052632,0.10548822928970653,0.0,0.96484375,144,10.434649641159922,0.39964994788169866
sample_00276,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7303097236279802,0.10184061576888391,0.0,0.96484375,144,10.239276634994894,0.39964994788169866
sample_00277,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7488789080071975,0.11616293277677296,0.0,0.96484375,144,10.2138352249749,0.39964994788169866
sample_00278,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7179864976945569,0.09392076870586322,0.0,0.96484375,144,10.161795627791435,0.39964994788169866
sample_00279,simulated_fMRI,latent,test,64,240,64,4,144,0,0.739403220591543,0.1001144494029825,0.0,0.96484375,144,10.21305208094418,0.39964994788169866
sample_00280,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7310126026203329,0.09993257679175739,0.0,0.96484375,144,10.230868495069444,0.39964994788169866
sample_00281,simulated_fMRI,latent,test,64,240,64,4,144,0,0.754099541722897,0.13092091392713603,0.0,0.96484375,144,10.482685331255198,0.39964994788169866
sample_00282,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7320229911718399,0.10180491144436485,0.0,0.96484375,144,10.250473226886243,0.39964994788169866
sample_00283,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7561097756410257,0.10759407575497872,0.0,0.96484375,144,10.270554959774017,0.39964994788169866
sample_00284,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7302886372582096,0.10935868149513411,0.0,0.96484375,144,10.24955549184233,0.39964994788169866
sample_00285,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7557293423864148,0.11448040546792589,0.0,0.96484375,144,10.22920683817938,0.39964994788169866
sample_00286,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7690620782726046,0.10912015394980537,0.0,0.96484375,144,10.462169012986124,0.39964994788169866
sample_00287,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7574355811403509,0.1150411269079919,0.0,0.96484375,144,10.2296077250503,0.39964994788169866
sample_00288,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7175594987067027,0.10456670753184145,0.0,0.96484375,144,10.269333727657795,0.39964994788169866
sample_00289,simulated_fMRI,latent,test,64,240,64,4,144,0,0.752228126405758,0.09951914943877678,0.0,0.96484375,144,10.214218808803707,0.39964994788169866
sample_00290,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7456280926675664,0.10857483678706112,0.0,0.96484375,144,10.244988773949444,0.39964994788169866
sample_00291,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7794479939833558,0.11253641606213062,0.0,0.96484375,144,10.401323813945055,0.39964994788169866
sample_00292,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7580523574561403,0.10825151206400552,0.0,0.96484375,144,10.1751264273189,0.39964994788169866
sample_00293,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7392231078497525,0.10488100920903722,0.0,0.96484375,144,10.227078789845109,0.39964994788169866
sample_00294,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7357983299595142,0.11055952260012397,0.0,0.96484375,144,10.23267411487177,0.39964994788169866
sample_00295,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7425846266306793,0.12066226240811576,0.0,0.96484375,144,10.254469510167837,0.39964994788169866
sample_00296,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7526814833558254,0.11553216887778728,0.0,0.96484375,144,10.413247277960181,0.39964994788169866
sample_00297,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7660361842105263,0.12073310650746155,0.0,0.96484375,144,10.200836465228349,0.39964994788169866
sample_00298,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7625007028789923,0.10313712674604195,0.0,0.96484375,144,10.241804313380271,0.39964994788169866
sample_00299,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7749697762033289,0.1074580969603378,0.0,0.96484375,144,10.218555736821145,0.39964994788169866
