dataset,setting,lambda,gamma,replica_index,auroc,auprc,f1,shd,core_runtime_sec,end_to_end_runtime_sec,predicted_edges,gt_edges,tp,fp,fn,tn
NC8,lambda_0.75_gamma_0.00625,0.75,0.00625,0,0.7289879931389366,0.39662875003784087,0.36065573770491804,39.0,1289.4444522499107,1289.5756794628687,50,11,11,39,0,14
NC8,lambda_0.75_gamma_0.00625,0.75,0.00625,1,0.7049742710120068,0.3635912321565291,0.42105263157894735,19.0,1288.8010550108738,1288.9375324160792,27,11,8,19,3,34
NC8,lambda_0.75_gamma_0.00625,0.75,0.00625,2,0.725557461406518,0.3778113410524478,0.42105263157894735,19.0,1290.0639815968461,1290.174661164172,27,11,8,19,3,34
NC8,lambda_0.75_gamma_0.00625,0.75,0.00625,3,0.7221269296740995,0.4034719197762676,0.28571428571428564,11.0,1288.8758827401325,1288.9908852200024,10,11,3,7,8,46
NC8,lambda_0.75_gamma_0.00625,0.75,0.00625,4,0.7135506003430532,0.36616878519052437,0.36065573770491804,39.0,1289.2524058199488,1289.3772449661046,50,11,11,39,0,14
NC8,lambda_0.75_gamma_0.0125,0.75,0.0125,0,0.7015437392795884,0.3551347055327889,0.32,13.0,1293.3004420581274,1293.4140382739715,14,11,4,10,7,43
NC8,lambda_0.75_gamma_0.0125,0.75,0.0125,1,0.6723842195540308,0.35126828256103226,0.32,13.0,1285.091462095268,1285.1998069989495,14,11,4,10,7,43
NC8,lambda_0.75_gamma_0.0125,0.75,0.0125,2,0.6998284734133791,0.35997626893052004,0.28571428571428564,11.0,1282.9709004471079,1283.0704113538377,10,11,3,7,8,46
NC8,lambda_0.75_gamma_0.0125,0.75,0.0125,3,0.7015437392795884,0.3441511537871879,0.28571428571428564,11.0,1282.768768586684,1282.8714903863147,10,11,3,7,8,46
NC8,lambda_0.75_gamma_0.0125,0.75,0.0125,4,0.7066895368782161,0.3412300414974212,0.32,12.0,1282.8022845457308,1282.904231914319,14,11,4,10,7,43
NC8,lambda_0.75_gamma_0.01875,0.75,0.01875,0,0.6878216123499142,0.33645811211848947,0.32,13.0,1292.6620038859546,1292.7633748566732,14,11,4,10,7,43
NC8,lambda_0.75_gamma_0.01875,0.75,0.01875,1,0.6586620926243568,0.34786268089528394,0.2857142857142857,15.0,1290.8479546238668,1290.952581150923,17,11,4,13,7,40
