,X0,X1,X2,X3,X5,X6,X7,X8,X9,X10,X11,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X43,X44,X45,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67
X0,0.930717945098877,1.921059265441727e-05,7.874616858316585e-05,0.0002666894579306245,4.8811885790200904e-05,3.225742693757638e-05,0.006379521451890469,1.806177715479862e-05,7.863450446166098e-05,0.0004718613636214286,4.3411306251073256e-05,1.1244525921938475e-05,3.333236963953823e-05,5.723458798456704e-06,2.076806231343653e-05,5.696304651792161e-05,1.1039959645131603e-05,1.1521473425091244e-05,9.520929597783834e-05,6.808277248637751e-06,0.00010518776980461553,7.001448011578759e-06,3.240302612539381e-05,1.7984852092922665e-05,1.0832999578269664e-05,9.13529729587026e-05,6.74465045449324e-05,6.21516301180236e-05,6.833754014223814e-06,5.1190031626902055e-06,5.449855234473944e-05,6.789839244447649e-05,0.00034120259806513786,3.976177686126903e-05,0.0012856427347287536,0.0010617139050737023,0.0005238773883320391,0.0002248566597700119,5.4256281146081164e-05,0.000238117398112081,4.4239342969376594e-05,8.944483852246776e-05,9.880566358333454e-05,8.490369509672746e-05,0.0064994641579687595,0.0009302266989834607,0.00016176899953279644,0.00027937133563682437,0.00013565753761213273,0.00019853317644447088,3.979658868047409e-05,6.675241456832737e-05,1.3809763004246633e-05,2.1220881535555236e-05,3.432921221246943e-05,4.343020191299729e-05,1.4224071946955519e-06,3.109260887868004e-06,9.653642337070778e-05,6.509483500849456e-05,8.278645691461861e-05,0.00014038861263543367,6.834737723693252e-05,3.690824451041408e-05
X1,0.00015341045218519866,0.9131762981414795,0.033560749143362045,3.7362967759690946e-06,9.316569048678502e-05,8.862039248924702e-05,1.744078531373816e-06,0.00015083973994478583,0.00032772458507679403,4.816188447875902e-05,0.00019402120960876346,3.5661901165440213e-06,4.1508938011247665e-06,2.8054115318809636e-05,1.969752338482067e-05,8.764283847995102e-06,0.0001285418402403593,4.462158176465891e-05,3.591261702240445e-05,6.101588951423764e-05,4.270395220373757e-05,5.310469350661151e-05,1.5707515558460727e-05,5.6029934057733044e-05,3.360491609782912e-05,4.21810254920274e-05,5.2004423196194693e-05,3.028739411092829e-05,2.324160232092254e-05,5.729685290134512e-05,3.5046959965256974e-05,7.795781129971147e-05,1.6598682123003528e-05,8.775288733886555e-06,3.416563049540855e-05,8.979510312201455e-06,9.870927897281945e-05,0.0001352015242446214,2.031385520240292e-05,3.4192507882835343e-05,7.656250090803951e-05,0.0001596335496287793,5.2107729970884975e-06,3.063712574657984e-05,1.5480496813324862e-06,7.707453914918005e-05,9.47095759329386e-05,1.1527733477123547e-05,2.151297485397663e-05,2.1998625015839934e-05,3.0970761144999415e-05,7.4990231951233e-05,9.876992407953367e-05,2.6525543944444507e-05,0.00010751994705060497,1.0437442142574582e-05,7.391905091935769e-05,0.00012024917668895796,6.370365736074746e-05,1.4173530871630646e-05,3.786656816373579e-05,4.6788252802798524e-05,5.190536467125639e-05,2.73525820375653e-05
X2,2.4464829039061442e-05,2.7483623853186145e-05,0.8504863381385803,3.843812010018155e-05,2.3310401957132854e-05,0.008531523868441582,2.3737724404782057e-05,0.014988652430474758,0.00038405274972319603,3.970219404436648e-05,6.243470852496102e-05,1.6049858459155075e-05,4.323838311393047e-06,9.845816384768113e-05,0.00020658623543567955,7.112716411938891e-05,0.00012141183105995879,0.00010751895024441183,1.8638176698004827e-05,3.968946202803636e-06,0.0001343563199043274,1.3975201909488533e-05,0.00011674318375298753,9.078517177840695e-05,2.863761255866848e-05,2.4121969545376487e-05,0.00011333842849126086,1.308687569689937e-05,2.0045641576871276e-05,1.1893444934685249e-05,4.405850268085487e-05,8.544032425561454e-06,3.445463516982272e-05,7.537390047218651e-06,7.906655082479119e-05,4.2723561932689336e-07,7.985694537637755e-05,3.7421992601593956e-05,3.678390203276649e-05,1.9624787455541082e-05,9.060900629265234e-05,3.2402378565166146e-05,3.630640640039928e-05,2.871744982257951e-06,2.384918298048433e-05,5.2121431508567184e-05,1.3483748261933215e-05,2.802213202812709e-05,0.00010530885629123077,1.2304582014621701e-05,3.62892824341543e-05,2.2331347281578928e-05,1.829591155910748e-06,2.6899502699961886e-05,4.545352567220107e-05,7.788556831656024e-05,6.193467561388388e-05,2.2709726181346923e-05,2.936345845228061e-05,4.5112124098523054e-06,1.9942014262142038e-07,9.787399903871119e-06,4.104907202417962e-05,8.714036084711552e-06
X3,0.0005375436739996076,6.157624738989398e-05,6.974917050683871e-05,0.8795340061187744,4.540657755569555e-05,0.017559872940182686,4.8318353947252035e-05,0.024871250614523888,0.003021334996446967,9.119619789998978e-06,0.0054767378605902195,2.7389234674046747e-05,1.7578067854628898e-05,1.9603809050749987e-05,0.00022894237190485,3.7611007428495213e-06,3.865228427457623e-05,3.0477822292596102e-05,4.286391049390659e-05,9.886203770292923e-06,6.51410809950903e-05,5.165836773812771e-05,4.8170233640121296e-05,0.0001235593226738274,7.153357728384435e-05,8.322648682224099e-06,1.566551873111166e-05,6.7692221819015685e-06,1.4738010577275418e-05,3.9677624954492785e-06,4.6470711822621524e-05,0.00010957363701891154,0.0002672855625860393,4.0596794860903174e-05,7.921602082205936e-05,6.181824574014172e-05,3.9745529647916555e-05,1.1228346011193935e-05,2.4793098418740556e-05,6.410774221876636e-05,3.449487121542916e-05,2.6522779080551118e-05,1.5533989426330663e-05,1.8782067854772322e-05,3.7828494896530174e-06,2.678291821212042e-05,6.453387868532445e-06,5.859652083017863e-05,2.25211388169555e-05,5.719300315831788e-05,1.4694265701109543e-05,7.010210993030341e-06,9.028994099935517e-05,5.143503221916035e-05,3.2181792448682245e-06,4.1261486330768093e-05,1.0936048965959344e-05,6.14775053691119e-05,2.564443821029272e-05,1.981010427698493e-05,6.0933551139896736e-05,6.688780558761209e-06,2.9985400033183396e-05,6.368471804307774e-05
X5,0.00027330763987265527,7.607392035424709e-05,1.0323253263777588e-05,2.4317541829077527e-05,0.8835604190826416,9.351914923172444e-05,2.593373392301146e-05,1.536114541522693e-05,2.124114143953193e-05,0.00010311514051863924,0.00025009235832840204,8.468482701573521e-05,3.304254278191365e-05,2.0100227629882284e-05,3.4731219784589484e-05,2.5449495296925306e-05,0.00016738973499741405,0.00013472401769831777,5.251265974948183e-06,3.0502713343594223e-05,7.940147042972967e-05,2.4913226297940128e-05,5.334634261089377e-05,7.158964581321925e-05,2.3281194444280118e-05,1.1937097951886244e-05,2.2884783902554773e-05,6.352996570058167e-05,5.508501317308401e-07,1.4957906387280673e-05,1.4511053450405598e-05,5.5074957344913855e-05,1.6931186110014096e-05,9.025969234244258e-07,4.083557087142253e-06,2.2456713850260712e-05,9.700106602394953e-05,7.535696568083949e-06,2.3682878236286342e-06,2.3188690647657495e-06,5.26016483490821e-05,9.441846486879513e-05,4.086839453520952e-06,2.9518812880269252e-05,7.928083505248651e-06,2.5570025172783062e-05,4.044200977659784e-06,3.608339284255635e-06,6.259732617763802e-05,7.735614781267941e-05,0.00017763127107173204,4.938505662721582e-05,7.257205288624391e-05,2.4542057417420438e-06,2.238909110019449e-05,1.626392077014316e-05,2.7200567274121568e-06,3.188604750903323e-05,6.495431443909183e-05,3.6507985896605533e-06,2.219701127614826e-05,4.5173837861511856e-05,7.52051782910712e-05,2.045232758973725e-05
X6,0.00012626055104192346,6.764885256416164e-06,0.003967775497585535,0.01539175771176815,6.624931120313704e-05,0.881470799446106,2.539684464863967e-05,0.0001638883986743167,6.541515904245898e-05,5.12096521561034e-05,8.113088551908731e-05,5.385655185818905e-06,1.0174850103794597e-05,0.0008058727835305035,1.2237145710969344e-05,9.55185605562292e-05,1.020244053506758e-05,1.2572585546877235e-05,2.0528888853732497e-05,8.744135266169906e-05,2.0895911802654155e-05,1.9535209503374062e-05,5.010810127714649e-05,1.045158387569245e-05,2.9977003578096628e-05,1.8945729607366957e-05,9.501503518549725e-05,3.934697451768443e-05,1.0669782568584196e-05,3.374657899257727e-05,3.486232162686065e-05,8.898428495740518e-05,0.00011953816283494234,0.00011867978173540905,0.000128675572341308,9.40994723350741e-05,3.9506008761236444e-05,5.32064659637399e-05,9.800462066777982e-06,0.0012585737276822329,6.667253182968125e-05,6.806052260799333e-05,2.274429562021396e-06,0.001961476868018508,4.3980857299175113e-05,6.847524491604418e-05,4.7186527808662504e-05,0.0016508616972714663,0.007084356155246496,0.013620386831462383,1.2054150829499122e-05,6.311362085398287e-05,7.267278851941228e-05,8.299423825519625e-06,4.207935853628442e-05,5.7106946769636124e-05,3.407118856557645e-05,2.4614997528260574e-05,2.071836388495285e-05,4.4576259824680164e-05,7.467471732525155e-05,0.00011378771887393668,2.500520713510923e-05,1.6055559171945788e-05
X7,8.255286957137287e-05,0.01476318296045065,0.015552164986729622,0.0003067906654905528,0.024255873635411263,8.37023981148377e-06,0.7846522927284241,0.00026747872470878065,0.00020008839783258736,3.358068352099508e-05,0.027820000424981117,2.7125777705805376e-05,2.779348324111197e-05,9.314703675045166e-06,1.602315023774281e-05,2.849045586117427e-06,1.061952661984833e-05,1.1827509297290817e-05,3.078011650359258e-05,4.305298352846876e-05,2.9024113246123306e-06,5.28271084476728e-05,3.5871678846888244e-05,2.7949059585807845e-05,6.304830094450153e-06,7.746368282823823e-06,1.1364118108758703e-05,3.086705692112446e-05,2.8961002840333094e-07,2.4209371986216865e-05,3.832135462289443e-06,4.4333683035802096e-05,5.2083491027588025e-05,1.7768810721463524e-05,3.844029561150819e-05,3.261692836531438e-05,3.8508627767441794e-05,2.93786888505565e-05,2.3490714738727547e-05,4.154958151048049e-05,5.229436283116229e-05,5.036799393565161e-06,1.8500326405046508e-05,0.00038655585376545787,1.6848753148224205e-05,0.001877259579487145,1.014274312183261e-05,0.00010548249701969326,2.4352146283490583e-05,1.9050692571909167e-05,4.115732735954225e-05,6.997235232120147e-06,1.0443225619383156e-05,3.4567463444545865e-05,0.0001088002318283543,3.875611218973063e-05,1.2263863027328625e-05,5.02905777466367e-06,1.5060714758874383e-05,1.1085535334132146e-05,1.318508293479681e-05,7.307305622816784e-06,9.288778528571129e-06,5.6209178183053154e-06
X8,1.3094942914904095e-05,7.19339877832681e-05,3.264095357735641e-05,4.4073638605368615e-07,2.610581759654451e-05,0.00032245495822280645,5.538691402762197e-05,0.9018323421478271,4.8111854994203895e-05,0.004321157932281494,0.00010085111716762185,0.0002706985978875309,0.00015710139996372163,2.80797976301983e-05,5.604453690466471e-06,4.5252894778968766e-05,0.0014417170314118266,0.0012212804285809398,5.3212352213449776e-05,6.69832224957645e-05,0.00011341566278133541,9.388997568748891e-05,7.083153468556702e-05,5.684500501956791e-05,7.343578909058124e-05,3.5234868846600875e-05,4.45598634541966e-05,1.933468593051657e-05,7.341286254813895e-05,7.49884857214056e-05,0.00010652773198671639,9.162748756352812e-05,3.696763451443985e-05,4.7579858801327646e-05,1.7931977708940394e-05,2.634941483847797e-05,8.710236215847544e-06,5.21753026987426e-05,3.1813306122785434e-06,3.6927624023519456e-05,1.4035729691386223e-05,2.4079663489828818e-06,1.6905965821933933e-05,1.9727598555618897e-05,9.512744873063639e-05,5.712917300115805e-06,2.6098600756085943e-06,2.388188704571803e-06,3.1653253245167434e-05,5.157104624231579e-06,6.510414823424071e-05,3.85898893000558e-05,1.2851847714046016e-05,2.1280038708937354e-05,3.217170387870283e-06,8.89474085852271e-06,1.4779840057599358e-05,6.0235397540964186e-05,4.978426659363322e-06,2.1532792743528262e-05,1.6396819773945026e-05,4.848538083024323e-06,1.5182683455350343e-05,6.567165110027418e-05
X9,6.726551418978488e-06,4.242498107487336e-05,0.019703783094882965,0.013712559826672077,0.00011165864270878956,7.45833312976174e-05,6.347672024276108e-05,7.184957212302834e-05,0.9308569431304932,2.3995269657461904e-05,0.0017631370574235916,4.270984936738387e-05,9.309553570346907e-05,5.255034193396568e-05,2.8875960197183304e-05,5.7114677474601194e-05,6.513906555483118e-05,7.111136801540852e-05,4.835996514884755e-05,3.1016519642435014e-05,6.052260141586885e-05,4.619600804289803e-05,6.227631729416316e-06,5.820735532324761e-05,1.944943142007105e-05,3.253966133343056e-05,1.639356923988089e-05,1.996566788875498e-05,8.849894220475107e-05,4.124491533730179e-05,6.196177855599672e-05,0.00017706313519738615,5.600479562417604e-05,3.9127258787630126e-05,1.9247509044362232e-05,9.947668149834499e-05,4.251335849403404e-05,7.662730058655143e-05,5.556751784752123e-05,5.420677553047426e-05,3.457471029832959e-05,6.889911310281605e-05,4.621383050107397e-05,1.0570767699391581e-05,6.64746985421516e-05,6.460273652919568e-06,4.5665354264201596e-05,8.605491166235879e-05,0.00038120622048154473,9.648248123994563e-06,3.36820085067302e-05,3.149402255075984e-05,2.042842606897466e-05,1.5060169289426995e-07,2.4464522994094295e-06,3.564805956557393e-05,9.891962690744549e-06,8.517259630025364e-06,1.815783434722107e-05,2.634947668411769e-05,3.3753025491023436e-05,1.9490371414576657e-05,2.0744688299600966e-05,2.04239840968512e-05
X10,0.0004353289841674268,4.760370939038694e-05,0.010180954821407795,4.749183062813245e-06,2.329430753889028e-05,0.00011714116408256814,6.666057743132114e-06,0.018632203340530396,5.8033125242218375e-05,0.8915503621101379,0.0011966390302404761,1.7884561884784489e-06,5.0512495363363996e-05,8.779267773206811e-06,2.0585655875038356e-05,0.00011672157415887341,6.798173853894696e-05,7.679343980271369e-05,4.6476226998493075e-05,0.00016748634516261518,0.0005633589462377131,5.8262503443984315e-05,0.00012368102034088224,0.0003717943327501416,0.00013583223335444927,0.022841259837150574,1.0439243851578794e-05,4.031160278827883e-05,0.00014605451724492013,1.9889364921255037e-05,6.134517025202513e-05,1.4982208085712045e-05,2.017439874180127e-05,1.5213696315186098e-05,5.062613490736112e-05,6.9251736931619234e-06,2.7189289539819583e-05,1.2372812307148706e-05,7.642675336683169e-05,4.2345651309005916e-05,7.59091490181163e-05,9.074352419702336e-06,0.00013618078082799911,2.703834616113454e-05,6.915067933732644e-05,3.1096813472686335e-05,2.695112743822392e-05,1.1508499483170453e-05,0.0001058289926731959,2.546220457588788e-05,1.2782705198333133e-05,2.7326690542395227e-05,6.964929343666881e-05,6.198949267854914e-05,9.872068403637968e-06,1.7232250684173778e-05,5.444140697363764e-05,4.6837294576107524e-06,5.52702249478898e-06,4.624032590072602e-05,1.8284039470017888e-05,0.00016923379735089839,5.769600466010161e-05,0.00014126212045084685
