,X0,X1,X2,X3,X5,X6,X7,X8,X9,X10,X11,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X43,X44,X45,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67
X0,0.930717945098877,1.921059265441727e-05,0.013608000241219997,0.0018764786655083299,0.008534279651939869,0.00035735603887587786,0.009311565198004246,0.00015955349954310805,0.0003508107038214803,0.0004729476640932262,4.3411306251073256e-05,9.448642958886921e-05,3.333236963953823e-05,9.392803622176871e-05,3.549934990587644e-05,6.339610990835354e-05,2.3943237465573475e-05,1.8403072317596525e-05,0.00012460311700124294,6.808277248637751e-06,0.00010518776980461553,5.6835186114767566e-05,0.0001244223240064457,9.685815166449174e-05,1.0832999578269664e-05,0.0001664494484430179,0.00010232676868326962,6.21516301180236e-05,2.805079384415876e-05,4.900553176412359e-05,5.449855234473944e-05,6.789839244447649e-05,0.00034120259806513786,0.000126682294649072,0.004629178438335657,0.0010617139050737023,0.0005238773883320391,0.0002248566597700119,5.4256281146081164e-05,0.000238117398112081,0.00015586234803777188,0.0001241774152731523,0.00013064111408311874,0.00011847282439703122,0.0064994641579687595,0.0010577793000265956,0.00016176899953279644,0.00027937133563682437,0.0003177147009409964,0.00019853317644447088,0.0003332608030177653,0.0001122350586229004,3.6838122468907386e-05,3.284189006080851e-05,5.103071453049779e-05,4.3923315388383344e-05,2.9899427318014205e-05,2.0108600438106805e-05,0.0001320127776125446,9.664305980550125e-05,8.278645691461861e-05,0.00014038861263543367,6.834737723693252e-05,0.00012671624426729977
X1,0.00015341045218519866,0.9131762981414795,0.033560749143362045,0.00023999856784939766,9.316569048678502e-05,8.862039248924702e-05,0.01744925044476986,0.00015083973994478583,0.00048179933219216764,0.00017437024507671595,0.00019402120960876346,8.155890100169927e-05,1.8268108760821633e-05,2.8054115318809636e-05,7.341330638155341e-05,8.764283847995102e-06,0.00013349769869819283,9.128428064286709e-05,4.082546365680173e-05,8.064802386797965e-05,4.270395220373757e-05,5.51332050235942e-05,5.726760718971491e-05,6.02139116381295e-05,3.360491609782912e-05,4.21810254920274e-05,6.94004847900942e-05,3.028739411092829e-05,9.741815301822498e-05,7.66668890719302e-05,6.976550503168255e-05,0.00015945971244946122,2.9893584724050015e-05,8.775288733886555e-06,3.416563049540855e-05,0.00020875204063486308,0.00013502522779162973,0.0001352015242446214,6.362571730278432e-05,7.040998752927408e-05,0.00014694026322104037,0.00016846260405145586,4.236604581819847e-05,5.786180554423481e-05,8.725705265533179e-05,7.707453914918005e-05,9.47095759329386e-05,3.4685410355450585e-05,0.00015082235040608793,2.1998625015839934e-05,5.822411912959069e-05,8.332228026119992e-05,9.876992407953367e-05,0.00031432692776434124,0.00048601196613162756,1.1599618119362276e-05,7.8607328759972e-05,0.00012024917668895796,6.370365736074746e-05,3.0689647246617824e-05,7.768225623294711e-05,4.6788252802798524e-05,0.00013934097660239786,5.342406439012848e-05
X2,7.004926010267809e-05,8.107748726615682e-05,0.8504863381385803,0.0025244017597287893,3.278036820120178e-05,0.008531523868441582,0.03274630010128021,0.014988652430474758,0.00038405274972319603,0.0014144080923870206,6.243470852496102e-05,5.3212079365039244e-05,2.8232823751750402e-05,9.845816384768113e-05,0.00020658623543567955,7.112716411938891e-05,0.00012141183105995879,0.0001919254136737436,1.8638176698004827e-05,1.535029696242418e-05,0.0001343563199043274,1.3975201909488533e-05,0.00012036640691803768,9.078517177840695e-05,9.713901090435684e-05,4.008384348708205e-05,0.00011333842849126086,5.480206527863629e-05,4.991157402400859e-05,9.197435429086909e-05,4.405850268085487e-05,4.142766920267604e-05,3.445463516982272e-05,8.552418876206502e-05,7.906655082479119e-05,2.0846751795033924e-05,7.985694537637755e-05,3.7421992601593956e-05,3.678390203276649e-05,1.9624787455541082e-05,0.0001799575111363083,3.2402378565166146e-05,3.630640640039928e-05,4.503334639593959e-05,2.6429079298395663e-05,5.2121431508567184e-05,7.981355884112418e-05,0.00019080631318502128,0.00010530885629123077,5.006953506381251e-05,5.6574961490696296e-05,2.359137579333037e-05,0.0001221142738359049,6.809202750446275e-05,5.544750456465408e-05,8.79711369634606e-05,6.193467561388388e-05,8.53561723488383e-05,3.706334246089682e-05,4.364046981208958e-05,3.1908435630612075e-05,2.231150574516505e-05,6.887056224513799e-05,1.896738467621617e-05
X3,0.0005375436739996076,0.0003340688708703965,9.06909626792185e-05,0.8795340061187744,4.540657755569555e-05,0.017559872940182686,0.027383752167224884,0.024871250614523888,0.0055312723852694035,0.00010912925063166767,0.0054767378605902195,2.7389234674046747e-05,8.206974598579109e-05,4.0855629777070135e-05,0.00022894237190485,1.4191821719578002e-05,3.865228427457623e-05,3.0477822292596102e-05,4.286391049390659e-05,2.643411426106468e-05,9.076846617972478e-05,7.904730591690168e-05,8.224733755923808e-05,0.0001235593226738274,9.677369962446392e-05,5.8321184042142704e-05,7.614154310431331e-05,6.7692221819015685e-06,5.3933123126626015e-05,1.4863779142615385e-05,9.126766963163391e-05,0.00010957363701891154,0.0002672855625860393,9.386844612890854e-05,7.921602082205936e-05,0.00010302598820999265,5.228004738455638e-05,1.9518021872499958e-05,5.451920151244849e-05,6.526657671201974e-05,0.0023055188357830048,3.56711279891897e-05,1.9535553292371333e-05,3.2476182241225615e-05,8.648379298392683e-05,0.00010675533849280328,3.508660302031785e-05,5.859652083017863e-05,9.374196088174358e-05,5.719300315831788e-05,1.692093792371452e-05,6.909244984854013e-05,9.028994099935517e-05,5.350759965949692e-05,8.838253415888175e-05,4.1261486330768093e-05,1.0936048965959344e-05,6.14775053691119e-05,2.855547791114077e-05,1.981010427698493e-05,6.0933551139896736e-05,6.56824850011617e-05,3.8222533476073295e-05,6.368471804307774e-05
X5,0.00027330763987265527,0.019657153636217117,4.042387445224449e-05,0.0027203804347664118,0.8835604190826416,9.351914923172444e-05,0.01369154267013073,5.6126864365069196e-05,2.124114143953193e-05,0.0001967242278624326,0.00025009235832840204,8.468482701573521e-05,5.17810694873333e-05,2.0100227629882284e-05,3.4731219784589484e-05,7.962165545905009e-05,0.00016738973499741405,0.00013472401769831777,0.00011276497389189899,3.0502713343594223e-05,0.0004033088916912675,3.1069583201315254e-05,5.334634261089377e-05,0.00026975368382409215,5.0491020374465734e-05,5.6069511629175395e-05,9.994491119869053e-05,6.352996570058167e-05,2.3389278794638813e-05,2.4729093638597988e-05,4.613363489625044e-05,5.5074957344913855e-05,9.495742415310815e-05,7.687466859351844e-05,7.61046539992094e-05,5.448528827400878e-05,9.700106602394953e-05,1.731863449094817e-05,3.179544728482142e-05,3.433915844652802e-05,6.670622678939253e-05,9.441846486879513e-05,6.923929504409898e-06,0.0001462181389797479,7.86359014455229e-05,0.00016352269449271262,0.0003514810814522207,0.0001128228977904655,0.00017485911666881293,0.00014271531836129725,0.00017763127107173204,0.00013573735486716032,7.257205288624391e-05,6.2445174080494326e-06,2.238909110019449e-05,1.626392077014316e-05,7.338586783589562e-06,3.188604750903323e-05,0.00013574588228948414,0.00020084125571884215,5.02242473885417e-05,5.3943465900374576e-05,7.52051782910712e-05,6.177731847856194e-05
X6,0.00014652668323833495,3.820904021267779e-05,0.003967775497585535,0.016217675060033798,6.624931120313704e-05,0.881470799446106,7.9638950410299e-05,0.0001638883986743167,6.541515904245898e-05,6.794044747948647e-05,0.0001602700649527833,4.680972415371798e-05,3.5076103813480586e-05,0.001183885964564979,1.9101365978713147e-05,0.00013270547788124532,7.211321644717827e-05,9.694942127680406e-05,0.00017532060155645013,0.0001749399962136522,9.154923463938758e-05,2.6653522581909783e-05,0.00015445961616933346,6.0051355831092224e-05,2.9977003578096628e-05,0.00011834281758638099,9.501503518549725e-05,0.00010575054329819977,0.009515579789876938,4.075544711668044e-05,0.00014142929285299033,0.00014402272063307464,0.00011953816283494234,0.00011867978173540905,0.000128675572341308,9.40994723350741e-05,0.00011133189400425181,0.00023042676912155002,8.030225581023842e-05,0.0012585737276822329,6.667253182968125e-05,6.806052260799333e-05,4.146830542595126e-05,0.004186594858765602,4.3980857299175113e-05,6.847524491604418e-05,8.113929652608931e-05,0.0027471156790852547,0.007084356155246496,0.020815301686525345,9.277161734644324e-05,0.00012354897626210004,0.00010864699288504198,6.515674613183364e-05,4.207935853628442e-05,6.848573684692383e-05,8.554261148674414e-05,2.4614997528260574e-05,0.00011756176536437124,6.305098941083997e-05,8.321207133121789e-05,0.00021603773348033428,6.137778837000951e-05,0.0005657296278513968
X7,0.00014119510888122022,0.01476318296045065,0.015552164986729622,0.0003067906654905528,0.024255873635411263,1.845975020842161e-05,0.7846522927284241,0.0002939375990536064,0.010252054780721664,0.002626948757097125,0.05216687172651291,3.052720057894476e-05,2.779348324111197e-05,9.314703675045166e-06,3.0911607609596103e-05,2.9660239306394942e-05,1.572514338477049e-05,1.7311327610514127e-05,3.078011650359258e-05,4.305298352846876e-05,9.800146472116467e-06,5.28271084476728e-05,3.5871678846888244e-05,2.7949059585807845e-05,1.747153146425262e-05,4.537917266134173e-05,3.755049328901805e-05,3.086705692112446e-05,4.7864690714050084e-05,5.265850268187933e-05,1.1020259989891201e-05,4.4333683035802096e-05,5.2083491027588025e-05,1.7768810721463524e-05,4.4362728658597916e-05,3.261692836531438e-05,3.8508627767441794e-05,3.404640301596373e-05,4.7308389184763655e-05,6.678055797237903e-05,0.00018118474690709263,6.212362495716661e-05,1.8500326405046508e-05,0.00038655585376545787,2.547773692640476e-05,0.0036156910937279463,3.993498830823228e-05,0.00010548249701969326,2.4352146283490583e-05,2.5470881155342795e-05,4.115732735954225e-05,2.4131300961016677e-05,9.179523476632312e-05,0.00010648160241544247,0.0001088002318283543,0.00011056172661483288,6.337783270282671e-05,4.5547072659246624e-05,1.5060714758874383e-05,1.3951399523648433e-05,1.318508293479681e-05,7.307305622816784e-06,2.3854407118051313e-05,5.6209178183053154e-06
X8,4.082300074514933e-05,0.000947226129937917,0.0002044554566964507,9.046823106473312e-05,2.610581759654451e-05,0.00032245495822280645,0.00024235143791884184,0.9018323421478271,0.00012398349645081908,0.005964345298707485,0.00010085111716762185,0.0002706985978875309,0.00015710139996372163,0.00011616674601100385,2.2873100533615798e-05,5.4917971283430234e-05,0.0014417170314118266,0.0012212804285809398,8.626839553471655e-05,6.69832224957645e-05,0.00011341566278133541,9.858956036623567e-05,7.207856833701953e-05,5.684500501956791e-05,7.343578909058124e-05,3.5234868846600875e-05,4.45598634541966e-05,1.933468593051657e-05,0.00011464163981145248,7.49884857214056e-05,0.00012647584662772715,0.0001333718391833827,4.057056867168285e-05,4.7579858801327646e-05,4.731517401523888e-05,3.216138793504797e-05,3.165822636219673e-05,6.988159293541685e-05,2.9467239073710516e-05,3.6927624023519456e-05,2.3491063984693028e-05,1.3694381777895615e-05,2.021519139816519e-05,0.00011977812391705811,9.512744873063639e-05,7.807023212080821e-05,3.663022653199732e-05,8.414610783802345e-05,3.907188875018619e-05,8.008096483536065e-05,6.510414823424071e-05,4.122028985875659e-05,4.159872332820669e-05,2.1280038708937354e-05,6.236775516299531e-05,1.4679706509923562e-05,5.973547013127245e-05,6.0235397540964186e-05,3.363214273122139e-05,2.6659776267479174e-05,3.269898661528714e-05,0.00010236994421575218,6.651305011473596e-05,7.673133950447664e-05
X9,1.761240309861023e-05,4.242498107487336e-05,0.019703783094882965,0.013712559826672077,0.00011165864270878956,0.00020345207303762436,6.347672024276108e-05,0.0002001034008571878,0.9308569431304932,2.9704251574003138e-05,0.016277499496936798,6.510962703032419e-05,0.0001256213872693479,0.0003488296933937818,9.009841596707702e-05,8.098081889329478e-05,0.00010074661258840933,7.111136801540852e-05,4.835996514884755e-05,4.853037535212934e-05,6.052260141586885e-05,4.619600804289803e-05,3.767148882616311e-05,6.904815381858498e-05,4.435679147718474e-05,3.359415859449655e-05,0.0002235956199001521,0.00023266757489182055,0.0001040703064063564,0.00020098581444472075,0.00011568405898287892,0.00017706313519738615,8.266868826467544e-05,3.9127258787630126e-05,0.00020314351422712207,9.947668149834499e-05,5.7788951380643994e-05,7.662730058655143e-05,5.556751784752123e-05,5.420677553047426e-05,5.1658411393873394e-05,6.889911310281605e-05,4.621383050107397e-05,2.858010702766478e-05,6.64746985421516e-05,2.6958074158756062e-05,4.5665354264201596e-05,8.605491166235879e-05,0.00038422932266257703,9.648248123994563e-06,5.787445479654707e-05,3.149402255075984e-05,2.042842606897466e-05,2.7788179068011232e-05,3.9023761928547174e-05,3.564805956557393e-05,9.891962690744549e-06,8.517259630025364e-06,6.0976319218752906e-05,2.634947668411769e-05,5.221524043008685e-05,1.9490371414576657e-05,4.1519382648402825e-05,3.1431918614543974e-05
X10,0.0005826710839755833,4.760370939038694e-05,0.010180954821407795,0.00034362354199402034,6.388311885530129e-05,0.00020381166541483253,5.7635726989246905e-05,0.018632203340530396,5.8033125242218375e-05,0.8915503621101379,0.019436927512288094,5.3195104555925354e-05,5.0512495363363996e-05,6.639346247538924e-05,2.0585655875038356e-05,0.00011672157415887341,6.897750427015126e-05,7.679343980271369e-05,4.6476226998493075e-05,0.00016748634516261518,0.000661153404507786,8.248597441706806e-05,0.00012368102034088224,0.0004752897366415709,0.00020449560543056577,0.022841259837150574,6.897566345287487e-05,7.967110286699608e-05,0.00014605451724492013,1.9889364921255037e-05,6.134517025202513e-05,4.4914238969795406e-05,3.060854214709252e-05,0.0001336296263616532,5.062613490736112e-05,9.466888150200248e-05,5.646668068948202e-05,0.0001993883342947811,0.00021602796914521605,4.2345651309005916e-05,7.59091490181163e-05,5.679685637005605e-05,0.005481011234223843,2.703834616113454e-05,0.00015716486086603254,3.1096813472686335e-05,0.00013723797746933997,5.052885171608068e-05,0.0001058289926731959,2.546220457588788e-05,1.4594705135095865e-05,6.272883183555678e-05,6.964929343666881e-05,8.757402247283608e-05,1.0908811418630648e-05,3.0452296414296143e-05,5.444140697363764e-05,6.52115122647956e-05,9.878160199150443e-06,8.802671072771773e-05,1.8284039470017888e-05,0.00016923379735089839,5.769600466010161e-05,0.00014126212045084685
