,X0,X1,X2,X3,X5,X6,X7,X8,X9,X10,X11,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X43,X44,X45,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67
X0,0.9418366506695748,0.0008826718963064195,0.00980684494616071,0.003013229386124294,0.004627156506649044,0.0031359268525193327,0.0035018061841810776,0.0018070344390594072,0.001756544957834194,0.0008985954746094649,0.0006671343253856321,0.00023063609173732403,0.0002493974171102309,0.000211642551425939,0.00023532111656550115,0.00028469874209804404,0.00015357147410668403,0.00022909246799827088,0.00016668188409312278,0.0001200867398893024,9.813483115976851e-05,0.00014649367549282032,0.00010067726962006417,8.161019886756548e-05,9.322931553015223e-05,0.0002352461598775335,0.0002308935653672961,8.028648107938352e-05,8.265441510957316e-05,9.87870916560496e-05,7.528481905865192e-05,0.0002030317254593683,0.0002684759995418062,0.00026746070557237545,0.00033034491202670323,0.00017577220701241457,0.00014784456625420716,0.000417385957280203,0.00018305312169104583,0.00026949205421260557,0.00030375868882401844,0.00029189142662744416,0.0004058115430325415,0.00017892970672619412,0.0004071523984976011,0.00039265701634576543,0.00029874768742956805,0.00026610788722791767,0.00012288539840028535,0.0001430723069461237,0.0002468792886247684,0.0001732331073981186,0.00015228263762310235,8.240776553520845e-05,9.305785229116737e-05,0.0001552501003970974,8.965725223788467e-05,9.048627339325321e-05,0.00010659665754246817,0.00021887510451961133,9.816170688736747e-05,0.00017639960285578126,0.00014415606567581564,0.00010205743622009323
X1,0.00525197179240422,0.9155059486627579,0.024141773869632743,0.003265404601188493,0.0015480681625717808,0.0021803099632961677,0.018149639610282976,0.0003655293498013634,0.003819680496872024,0.003268908717927843,0.0011138698950162508,0.0004270758636039318,8.07421025228905e-05,9.490782845205104e-05,7.725147023620593e-05,8.047604392231733e-05,9.331227819302512e-05,9.053428584593348e-05,0.0001562931057833339,9.64713500252401e-05,7.383060096799454e-05,7.870323682936941e-05,0.00023996365443963442,7.556944037787617e-05,7.337630986512523e-05,6.94885786742816e-05,8.896269087017572e-05,8.401800353112776e-05,8.447525137853518e-05,7.483693339054298e-05,8.638178405817598e-05,9.837286879701423e-05,0.0001019041001882215,0.00021245749692297978,0.00015699203158874296,0.00021671821491509036,0.00020029112592965249,0.00011406253092900442,0.00022359058202710004,0.0002959270685323645,0.0005038358740193871,0.004410851832290064,0.00011227302171050724,0.0001610334304814387,8.422156092819932e-05,0.00010348941527809075,0.0001918784150348074,9.66830544939512e-05,9.991810625251674e-05,0.00032404309929461305,0.00026002205554505055,0.00010367568834226403,7.45556245874468e-05,9.00396603583431e-05,8.847065955706058e-05,9.547337856474769e-05,7.727438191977854e-05,0.00010554448670063721,8.011532763703144e-05,7.496820551295968e-05,8.108422549639727e-05,8.429002626826332e-05,8.074572436953532e-05,8.047222950153809e-05
X2,0.0006206660970292432,0.001720755576116062,0.8534917324781418,0.008866095451412547,0.0015459406592526648,0.0049751518170069176,0.011737285901494943,0.004684793208866722,0.006137429878435796,0.009509532728861814,0.00751943056438904,7.007188582974777e-05,6.734127614436148e-05,0.00018644901608695364,8.888290469712956e-05,7.270530163623334e-05,6.062796637706924e-05,8.160180279901397e-05,0.0003220945882503656,6.064219237487123e-05,7.199753954409971e-05,6.78768572242916e-05,6.627123023008607e-05,6.589732706743234e-05,5.978360832159524e-05,6.477048739270686e-05,7.995411028787203e-05,7.33667652184522e-05,6.91805886617658e-05,7.500242668356805e-05,6.504496893739997e-05,6.792198039420327e-05,9.109558293403097e-05,0.00017026642267410353,0.00028542913286173645,0.00015136882552724273,8.095386754121136e-05,8.826109269648441e-05,6.784518254789872e-05,7.013115759946231e-05,8.82630485421032e-05,8.846552287877785e-05,0.0001079746365576284,6.934004145477956e-05,0.00017138592193077784,7.40409500849637e-05,7.159776509979565e-05,0.0004290447609491821,7.815967874194029e-05,9.544437948534323e-05,7.83378613050445e-05,7.38648491051208e-05,7.536794262250624e-05,9.19111247071669e-05,7.652815617689157e-05,0.00010121530860942584,7.235278270627532e-05,7.089222197009803e-05,7.834111881948047e-05,7.585541761727655e-05,6.601097529710387e-05,6.725431164795736e-05,7.582784655824071e-05,7.487675242145997e-05
X3,0.00112215521314738,0.0033445376323470557,0.004642148674429336,0.8679232984781265,0.0023889541806283885,0.014981986619750387,0.010159137204936997,0.010903987391111513,0.011844821010208761,0.008128918221700587,0.014111078128644294,6.337104105114122e-05,7.079886280507708e-05,6.803805086974535e-05,7.334168340094039e-05,0.00013934863538338503,9.701966324655586e-05,7.020513749012025e-05,0.00016936900942710054,7.347709130272051e-05,6.820992705343087e-05,4.806208819445601e-05,5.796407182288021e-05,6.508086130452284e-05,6.649623317116493e-05,5.733412655217762e-05,7.998887131179799e-05,6.218515906084577e-05,6.251658189739828e-05,6.28557472509783e-05,5.591905155597487e-05,0.00010376020036346744,0.000162542509940522,0.00014959076797822491,0.00040720820637716313,7.775577660140698e-05,7.237559693749063e-05,0.00012735639706988876,7.100451151700326e-05,0.0002466645435561077,0.000886349844176948,0.0001658517237956403,8.031847510210355e-05,0.00012578492878674298,0.00045411608152789995,7.36152765512088e-05,8.744692740947357e-05,0.0003260661120293662,6.734358153153153e-05,0.0005029900087038186,7.311111617127608e-05,7.28790156017567e-05,7.33558047841143e-05,5.84765130724918e-05,7.733624440788844e-05,5.474049401072989e-05,6.74027752324946e-05,5.817900661213571e-05,6.954317865393023e-05,6.0733310874638846e-05,5.5284600932736794e-05,5.853814751617392e-05,5.6330150664507526e-05,6.287428338964673e-05
X5,0.0013567871075110816,0.013339400624045084,0.0037099653367477004,0.0014050898238792797,0.8911880761384964,0.0011787531498612224,0.0051946725485322535,0.00019941892883252877,0.0005681206368535641,0.0023294464253467593,0.011295382076013993,0.0001282711757994548,0.00020614961224509897,0.0005466342728595919,0.00029309311996712496,0.00032644157176946463,0.0016588958676038601,0.0003940999032920445,0.00011076960049649642,0.0002476144528827717,8.522940509010368e-05,5.6978680686370356e-05,5.199205595545209e-05,6.998599781127268e-05,7.23828976333607e-05,9.860887084869318e-05,8.210243636312953e-05,9.261539200906554e-05,7.307948071684222e-05,6.306552256774012e-05,7.81221900069795e-05,0.00022679442213302536,0.0001152744597675337,7.449412278219825e-05,0.00016848170394041518,9.096917640363244e-05,8.672868723351712e-05,7.452532429397252e-05,8.01445477463858e-05,7.39525024073373e-05,9.663270091095911e-05,0.0003103660233136907,0.0001746778908682245,7.265234930855513e-05,0.00012170820009487216,8.200759682495118e-05,0.00030698307468810524,0.0002377002981802434,8.206517381950106e-05,0.00024990014969716867,0.00015686662272855755,0.00010507671138384466,5.593474645593233e-05,6.167016422296002e-05,5.091152992235948e-05,5.965867607642395e-05,6.289243220862773e-05,7.097059483385237e-05,8.399806501984131e-05,8.336394769230538e-05,7.328239107664558e-05,6.249426478461828e-05,7.263152083396563e-05,6.414130887151259e-05
X6,0.0005620295882636129,0.00038350605041159724,0.0029481039994834644,0.015265732521220344,0.0031202671380924584,0.8722221806645394,0.004747316263728862,0.00048281296376444515,0.0036443936179239244,0.0011481434692939274,0.005013210325768114,0.00016446741373101758,0.00018006282057285715,0.000947131656403144,0.0003099370632753562,0.000124749591032014,0.00023585617636854295,0.0004073946308153609,0.00011610186052166683,0.00018261185394976564,0.00012448239717741672,0.000110369806427002,8.57632849147194e-05,9.683809703346924e-05,0.00012363336977614381,0.00011984289803876891,0.00013765189962668955,0.00016062821719060595,0.0004195304662971466,0.00016313461546815233,0.000339224427739282,0.0001476782185363845,0.0002312118451754941,0.00038802893918727933,9.336202144822891e-05,0.0006991187100084062,0.001030321218740937,0.00037857924442050714,0.0002544845547163277,0.00021619210865537753,0.0002694137885555392,0.00021634414115396795,0.0004230612200899486,0.0018153510611682577,0.0014182483480453811,0.00028913023461427654,0.00017021408375512693,0.0018493079294330528,0.0008230112662658939,0.0014867922832308977,0.0003932828010420053,0.0002492593187525927,0.00010533694821788231,0.00031903322258131084,0.000146342713969716,0.00013231423148454268,0.00018188717631346664,0.0001049908214554307,0.0001771070115864859,0.00013058177546554361,0.00045844684063922614,0.00015091393206603242,0.00037052411355489314,0.00018320915557978878
X7,0.0003091619274528057,0.005087521346058566,0.012018265011101903,0.002005722308467739,0.003677803748723818,0.0028025811322322626,0.7893095806241035,0.0007488318269452066,0.020008417034568994,0.012824682091149953,0.050822678091935816,4.408529744068801e-05,4.0812393081068876e-05,4.294738532735209e-05,4.766815980019601e-05,3.629958749797879e-05,5.241644433908732e-05,4.964667730291694e-05,4.379118295219087e-05,4.886267738584138e-05,3.452647951007748e-05,4.239750045371693e-05,4.093595549647944e-05,4.297756840969669e-05,3.785596758234533e-05,3.892226769721674e-05,4.784662958172703e-05,3.6080195786780675e-05,3.4943739001391806e-05,3.923364787397077e-05,4.236849968037859e-05,3.891809833476145e-05,9.447421634831699e-05,0.0002638923983340646,0.00014910668517131853,7.22028996960944e-05,5.8263929111035397e-05,6.019530085268343e-05,0.00024688050748409294,5.876089026060072e-05,5.3294019630811816e-05,6.255740011624766e-05,0.00019939830365274248,0.0004771366726458837,0.00028350501434033505,0.00024896765112316646,0.00012069271748487154,0.0005526596883328238,8.222203782679572e-05,0.00025479302680651015,0.0001651186429853624,0.00010309814135212036,3.7112686061391284e-05,3.8396124693917955e-05,4.411902575611748e-05,4.1435447815274526e-05,4.051937448821263e-05,3.9600132208761354e-05,3.916979571840784e-05,3.1521613368568066e-05,3.44639318427653e-05,3.556848138259738e-05,3.734512087021358e-05,3.4867962619955505e-05
X8,0.0017624658312797691,0.004113102652354428,0.0012901872951260884,0.004603921679563428,0.0011598706072732056,0.000673432770281579,0.0038755365329961934,0.8992550000548363,0.00014666666138509754,0.0031141198335262743,0.00446500426280636,0.00014143863238587074,0.00021668914628207857,0.0002972352907818276,0.0014145171768632282,0.0005063070213964238,0.0008520845111888775,0.0007409042240851705,0.00012811244679369337,0.0006233991848148435,9.676663394202479e-05,6.831792574075734e-05,7.096440858731513e-05,7.542259888850821e-05,7.742523639535648e-05,7.307987664262328e-05,0.00012251594532699527,0.00042153998772391786,0.00010264619772897277,0.00011281619099463569,0.00013010637640036292,9.265123153454625e-05,0.00013630276403091556,0.00012027247871628787,6.900563771523593e-05,9.623941882637155e-05,7.69503011724737e-05,8.468798837384384e-05,0.00037025126355274553,8.779275381129992e-05,0.0002760655803740519,7.713065533607733e-05,0.00015758436386477116,0.00010449326800880954,0.00027798603400697175,0.000122302391764606,0.00028334739017736864,0.0002608628181633321,8.510040877354185e-05,0.00018308777703168744,0.00013717441079279523,8.243191261954052e-05,0.00010743199413809634,7.599451103033062e-05,6.849133403648011e-05,6.894252055644756e-05,7.607017075770273e-05,0.00024136050586776037,7.016132865373947e-05,7.689265942190104e-05,7.305184747110615e-05,8.52484349252336e-05,7.849100957173505e-05,7.84144656790886e-05
X9,0.0047989494815738,0.000200630333040408,0.01602221383800497,0.018575202407919277,0.003933388632890456,0.0004149277255919515,0.03032821912483996,0.0011085338133170809,0.8784790307283401,0.000191624062927076,0.010171600080138888,0.00030818663846048365,0.00014360822359549275,0.0003031472814427616,0.00016189981306524714,0.00022186975975273525,0.000270501906697973,0.0003957064270707633,0.00025890772541288244,9.432416586605541e-05,0.00010315191768199839,6.0387879648260424e-05,9.43164541695296e-05,6.211898421497608e-05,5.8330720594312877e-05,6.580233430213412e-05,6.77167654657751e-05,5.8880352662527e-05,5.983621015275276e-05,6.154313289243873e-05,6.136233810138947e-05,5.6269830884048135e-05,0.00023182144059319398,9.393840823577194e-05,0.00033116607660303997,9.154573658634035e-05,0.0002548805467768034,0.00016759104179300265,0.0001544564538562554,0.00010090755248484128,9.325331183163144e-05,7.893066517681291e-05,0.00025119039146375143,0.00073992472377995,0.00010787012472519563,0.00011623816058090597,0.00020013314963307494,0.0001006405730095139,8.471595601804438e-05,0.000331222405520748,0.0003833430482245603,0.0003997294816372232,0.00013574239530953492,6.767230293007742e-05,6.703003984966926e-05,7.305108329092036e-05,6.937530602044717e-05,6.164003101503113e-05,5.954680493687192e-05,5.850255809036753e-05,6.69624572765315e-05,7.241669680979612e-05,5.798913127819105e-05,6.685849721179692e-05
X10,0.0075044110097223895,0.0010622308841675477,0.024738854232418818,0.0007298678685629057,0.005511559115529962,0.0028751927748089656,0.027383989930422105,0.019292546261203823,0.0009412264085312926,0.8510986909270286,0.022740318805790593,7.508030146254895e-05,0.00014858484571504959,7.879478861241295e-05,0.00019111975122996228,0.0001810884328733664,7.049640528293822e-05,0.00010887408354847139,0.000228123359181609,0.00012684890211858146,0.0005728456414999528,0.0001307510511196597,0.0010367548705062291,0.0005450981684305134,0.00013025461848883423,0.023455362196546047,6.988179765130554e-05,7.51262247035811e-05,0.00012924232303248572,7.63508385489331e-05,6.757033106623567e-05,7.947903282001789e-05,0.0003247287588010295,0.00035746714390825216,0.0002936393867003062,0.00012900190679374646,0.00028753825199601124,0.00036103649783854054,0.00027400940284678655,9.013627018248372e-05,0.00021711423478336654,9.788176773781743e-05,0.000231632737450127,8.593882764671435e-05,0.0004892077169643017,9.237056237907382e-05,0.000330420769569173,7.494403250802861e-05,0.0003770391676653162,0.0004329766443788685,9.318802135567239e-05,0.00029219623124845386,6.227222506822727e-05,8.060777997798141e-05,7.10828516730544e-05,0.0001534857427031966,8.009928176306857e-05,7.221922348890075e-05,8.744706369725463e-05,7.55782797568827e-05,8.047800254189497e-05,0.00020944000330018752,9.424253526049142e-05,0.00020718858415307294
