sample_id,dataset,mode,split,num_variables,sequence_length,observed_variable_count,hidden_variable_count,ground_truth_edges,predicted_edges,auroc,auprc,f1,accuracy,shd,runtime_sec,threshold,native_binary_f1,native_binary_accuracy,native_binary_shd
sample_00240,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7734473955833443,0.24609421516530736,0.0,0.924072265625,311,174.46000618999824,1.1633313894271853,0.31878557874762814,0.912353515625,349
sample_00241,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7713890080576994,0.23793587106959657,0.0,0.924072265625,311,172.4236978320405,1.1633313894271853,0.30740037950664134,0.910888671875,353
sample_00242,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7608456124403743,0.2337955590523525,0.0,0.924072265625,311,173.1374584408477,1.1633313894271853,0.31878557874762814,0.912353515625,352
sample_00243,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7769771521533214,0.2395896344533306,0.0,0.924072265625,311,173.47892644209787,1.1633313894271853,0.30740037950664134,0.910888671875,353
sample_00244,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7857442009625064,0.25910799906574367,0.0,0.924072265625,311,173.95196944382042,1.1633313894271853,0.33396584440227706,0.914306640625,342
sample_00245,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7810191694240678,0.24506150126090115,0.0,0.924072265625,311,174.09144284762442,1.1633313894271853,0.3149905123339658,0.911865234375,349
sample_00246,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7737617180697202,0.2299330336574946,0.0,0.924072265625,311,175.23732102802023,1.1633313894271853,0.3149905123339658,0.911865234375,352
sample_00247,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7733497007564978,0.23990257601456233,0.0,0.924072265625,311,175.63546384172514,1.1633313894271853,0.29601518026565465,0.909423828125,361
sample_00248,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7580438947104623,0.23603282473549256,0.0,0.924072265625,311,176.30598004395142,1.1633313894271853,0.3149905123339658,0.911865234375,354
sample_00249,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7527097571646413,0.24666025866426805,0.0,0.924072265625,311,176.45354799600318,1.1633313894271853,0.33017077798861477,0.913818359375,345
sample_00250,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7737719123125215,0.24950627811810194,0.0,0.924072265625,311,176.7528290580958,1.1633313894271853,0.31878557874762814,0.912353515625,345
sample_00251,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7818168689232756,0.24026421313129018,0.0,0.924072265625,311,177.31603740015998,1.1633313894271853,0.2732447817836812,0.906494140625,373
sample_00252,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7889307513581705,0.24387971226685604,0.0,0.924072265625,311,178.09426106419414,1.1633313894271853,0.29222011385199237,0.908935546875,362
sample_00253,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7896477464352007,0.2523976616967877,0.0,0.924072265625,311,178.07022014213726,1.1633313894271853,0.30740037950664134,0.910888671875,356
sample_00254,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7581356428956747,0.23263645624995058,0.0,0.924072265625,311,178.4651984409429,1.1633313894271853,0.3876177658142665,0.888916015625,436
sample_00255,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7504806160720733,0.22578706286834385,0.0,0.924072265625,311,178.2535047037527,1.1633313894271853,0.30740037950664134,0.910888671875,357
sample_00256,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7828609292901834,0.244061911288691,0.0,0.924072265625,311,178.79923216020688,1.1633313894271853,0.40376850605652764,0.891845703125,421
sample_00257,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7924622069686145,0.25901770796691,0.0,0.924072265625,311,178.8700561830774,1.1633313894271853,0.3225806451612903,0.912841796875,345
sample_00258,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7650541356768765,0.2394166592639183,0.0,0.924072265625,311,179.3973219608888,1.1633313894271853,0.30740037950664134,0.910888671875,353
sample_00259,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7786685469381167,0.24837949518905428,0.0,0.924072265625,311,179.06221058405936,1.1633313894271853,0.3149905123339658,0.911865234375,349
sample_00260,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7519902135269106,0.23849829862517694,0.0,0.924072265625,311,179.66260593477637,1.1633313894271853,0.40376850605652764,0.891845703125,425
sample_00261,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7732511564094178,0.24509526793705105,0.0,0.924072265625,311,179.92787163192406,1.1633313894271853,0.31878557874762814,0.912353515625,348
