,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63
ROI0,0.2808274346590042,0.12018143162131309,0.18864047944545745,0.079925287514925,0.033256788571525246,0.16748416751623155,0.18510113626718522,0.032429565815255045,8.574720379328938e-05,0.005183583984698998,0.003174994296382465,0.004491355807576838,0.0038137010051195828,0.004618940156387907,0.005989595197625022,0.01989219643321576,0.007571541905135746,0.013153685208108072,0.0056624125053713215,0.006666875482860633,0.002855512198038923,0.004615104747963414,0.013681804100160662,0.0035007763704197714,0.007506167865303723,0.013373386388730068,0.0015937165037667,0.03332701577452099,0.006341515093126872,0.004389779414796066,0.0276074878991858,0.004868709319507616,0.01832731685373801,0.009445690766224289,0.07233393713831901,0.0132006167716645,0.018465175255942087,0.02810633684097411,0.03044289997076703,0.005025952607538784,0.011895487004285315,0.0038089880534425903,0.005203379460299402,0.005335771885020222,0.008802801600822932,0.005885218656258076,0.0019910650112979055,0.01826849519832649,0.0059342230309812295,0.0034231069907446,0.013468647780800893,0.003126008219237519,0.014049901022644917,0.006103027472072427,0.006908849060018838,0.00036549939826727493,0.004573970593619379,0.001588869749539299,0.0024707061918525144,0.00679546118511098,0.005870759105273464,0.019803954501276165,0.003979094464716582,0.004162520130785196
ROI1,0.11781466610729695,0.2273123162984848,0.07698336362838745,0.1023051680624485,0.045882547899964266,0.11032378800213337,0.16733809478580952,0.14704727485775948,0.0015673077109795487,0.004333284272343007,0.0028485391212325338,0.003147675036429973,0.0073921814782806905,0.0037238191502729024,0.0009301232160032669,0.008480574746081403,0.007822265971008165,5.400153090931781e-05,0.0035566201079018354,0.0020732278891227906,0.006351879241492497,0.010768649612964509,0.011815340855864633,0.007710510150018308,0.0018829301305231638,0.003670543301959697,0.04585286755178458,0.016346546853237668,0.0054498678890468,0.006575891987258728,0.0039674746861965106,0.007070047133620392,0.005666739358039194,0.04563843841664493,0.16008704662322998,0.0031382442237190846,0.0082938975455545,0.013191953425725843,0.01699170261290419,0.013243613788317817,0.005362720133680341,8.001487867659307e-05,0.005282124542177371,0.0037419968278391024,0.009278376989113895,0.0014990681346898783,0.00012025184346384777,0.002516184496544156,0.005903377672202623,0.002191373253463098,0.009169306003568635,0.01526114343858353,0.003427909582551365,0.002148817160109502,0.00015837853755328978,0.00570083311324197,0.0033838893656866274,0.00919009064889906,0.0005505889051437407,0.009449324728902865,0.003654003979281697,0.006902572318995226,0.0008841087762357347,0.0026977709494804005
ROI2,0.12889507859945298,0.10787762559950352,0.12396646320819854,0.1043662403523922,0.10205404698848725,0.13981865406036376,0.06805310986936092,0.12603594318032266,0.004375499372272316,0.016559855138666535,0.017907043830364275,0.008913965926276433,0.054037313647568225,0.033614406763026634,0.01625319852467328,0.0010796556785589927,0.005908293794177553,0.030597408051835372,0.007421306176092912,0.0089421591503924,0.014323551367642722,0.022555572291835232,0.04025511256499158,0.028600173813583752,0.04077134201055742,0.007098420682732467,0.01493562692566229,0.03046661197215144,0.019167012002126286,0.007481044559076508,0.046086158787584285,0.025141311799434334,0.01524056347700025,0.053816697436777756,0.0845087306946516,0.01846140250489043,0.004546610466486527,0.004249936870519377,0.028291323887115142,0.006071465361610535,0.007182386769436562,0.005262482055586588,0.0015819929205372319,0.024007321796070756,0.01433028640840348,0.014223846871955175,0.02193045041660298,0.01002104524092374,0.021850893586724852,0.002367472030960016,0.0074256319430605795,0.007154908234515461,0.03619440300810311,0.010020918128157063,0.007157564610770351,0.016055283122086622,0.029114747514395276,0.013193813249363301,0.03129506795146881,0.03910182619816624,0.012892321378240012,0.010816309524016106,0.02434779646556308,0.007180050524884791
ROI3,0.07726732648909092,0.2404285842180252,0.018497784336250333,0.0676109766960144,0.051023471225053074,0.07626794002950192,0.04658387692645192,0.15227128475904464,0.03346009400087496,0.005829050656911932,0.021253145798837067,0.04199526089123538,0.014840363822704603,0.02214162505510103,0.008685718757187716,0.001666153618205044,0.016477443292933457,0.009216779520284036,0.02314140883878281,6.949726781385835e-05,0.02764468727467829,0.025647782793639634,0.010056791228507792,0.010722234877202936,0.006943407062212827,0.004375006492282409,0.057062839147565686,0.011587356213194653,0.015276526374946116,0.007286720327629155,0.014603317566470651,0.0121721002657614,0.006821250018547289,0.05216970220208168,0.16915450394153594,0.023225177149943193,0.008314937471416215,0.005372626859898446,0.0022261422702285925,0.0017743351812259788,0.0027343584926529728,0.03108899255254073,0.025803841750630455,0.03312801988366118,0.0020078681500058336,0.02649124467976435,0.006947408742953485,0.006240590821216756,0.010244936068547759,0.018140510731682297,0.010265011980518466,0.021472616660266796,0.0033797039059709276,0.00145801623432817,0.007347509760247704,0.0033187061491571513,0.0015624781777842144,0.02186875445797341,0.019188503246914478,0.0038179492920880874,0.008265840077419852,0.005925175529987428,0.012870427434245357,0.004851798933923419
ROI4,0.10238181114196777,0.08544257037341595,0.0886316879838705,0.12567633181810378,0.17275679618120193,0.09878327295184136,0.1857171604037285,0.04397498024627566,0.02280627256878688,0.006461228295502224,0.025751086190557545,0.0033247520322311173,0.005462490793979669,0.004645323529803136,0.010385486636550922,0.0016164471621050325,0.010375658011871564,0.0006060838643043099,0.0043230076371037285,0.00497727257877159,0.006055610037528822,0.007611803930944916,0.021130771821844974,0.010583310984247873,0.017372883834204912,0.00899590763330707,0.030109911267863936,0.0024380517542158487,0.006140447893699275,0.019434502961266843,0.0014269716863054781,0.018698114742001053,0.009461492068949156,0.05496501192450523,0.04422750011086464,0.07448515392839909,0.010140786852207383,0.06388701818883419,0.018634665016143116,0.01921454525014269,0.021831933033663518,0.0007381786186215322,0.00020686732197191304,0.002721501150772383,0.009609367284429026,0.0007875665657138597,0.006168477723522301,0.011453696934381696,0.0115815091857894,0.022962563825585675,0.009100855703709386,0.024187162709040422,0.0035947262944318937,0.01990786303722416,0.005209651481500259,0.0047410136939015505,0.010215230350677302,0.01625622258327894,0.001657273573027851,0.008926011081698562,0.0031865928284514665,0.01610310281665079,0.02516074553675935,0.023968780882314605
ROI5,0.15472216337919234,0.11540977731347084,0.08787025168538093,0.09964083813130856,0.13254100754857062,0.18271562218666076,0.15556601747870447,0.11338442273437976,0.012075926354136755,0.019274114657819155,0.0065233356489625294,0.011954240361646953,0.029686576800850163,0.02788852082547237,6.198188651978853e-05,0.0034438342228895634,0.01159887148528469,0.00623560709256708,0.006203666767587493,0.01433555137433359,0.020972393295733128,0.02052666495142148,0.02281962915390977,0.021568260075782747,0.0030687445391686195,4.6017558252060555e-05,0.0028685703645896865,0.0017264759385761863,0.0029051004395523705,0.018072973938888025,0.007817179526700784,0.004538528457069333,0.008654729344907536,0.02970083814299869,0.014762257010515896,0.019944626875185348,0.019324857488127237,0.00522683324139507,0.007737062685073397,0.004412817026532139,0.017501604701192264,4.447752239684632e-05,0.00504255036658833,0.004982599280933755,0.009701269100823993,0.005671459356499327,0.004906223483012582,0.008356659014098114,0.016330205025205942,0.006979947532499864,0.02365490850961578,0.011809614422327286,0.009065262786989478,0.00500678944570609,0.013135232784698019,0.010114997389791824,0.004957771813378713,0.010463642993490794,0.0238393695736886,0.009620499698703497,0.016660245262455645,0.0020468235477255803,3.9374290449814e-05,0.004300979996951355
ROI6,0.13570387743413448,0.11367645309306681,0.15812165901064873,0.001700743119818071,0.12776303745806217,0.1320407684147358,0.3388827693462372,0.011263057571886748,0.009277938607401665,0.02175903175975691,0.022707418367735953,0.00828275768984895,0.012091256400453857,0.004708492570516682,0.012860874181205873,0.008072882217911683,0.008526638676414677,0.005599474461050704,0.03078220893166872,0.03248673296769994,0.04981649938621558,0.0073135764463859235,0.016915389903133474,0.019194833837264013,0.006557458708248305,0.011630707636850274,0.0009540386916160059,0.027045346690210862,0.0027724696815948848,0.007007509916329582,0.016071625746335486,0.011196243150325245,0.008147591210763494,0.017375489163814564,0.06957775484770537,0.01985288004325412,0.011882497447659261,0.009776269957119438,0.022618938005598464,0.007740681325594778,0.02628951419108489,0.00017389943942362152,0.020277690841066943,0.009410423464814813,0.005732232782120264,0.018887111337862736,0.0018905971286039857,0.020294741224515748,0.004678993380512111,0.014163957374494203,0.014757872641166615,0.022269853231518935,0.011519021619933482,0.008498694887020975,0.005053175502009708,0.0103385125072964,0.020387297556335397,0.019986743513527472,0.0015463073555292794,0.02483464012591867,0.006000960296541962,0.00883086863801509,0.0026728354605438653,0.029312158658285625
ROI7,0.12885628409683705,0.12361202269792557,0.09601259931921959,0.04763318862766028,0.08106788530945779,0.1547528810799122,0.03750697589195624,0.04216048277914524,0.027479248320232727,0.016947467018353563,0.03077812646235543,0.007453636554719196,0.013650114666388618,0.003067477783133654,0.023342332365755284,0.0008893806756805133,0.03662903451264356,0.004092191783674934,0.041157526763036,0.03254381460163131,0.0032351443744619247,0.01325372096907813,0.012736391814651143,0.014564351784156316,0.021982708706236736,0.04304765641245467,0.025113952894334945,0.028435328457817377,0.006651450353328983,0.008168159143860976,0.007219130203161513,0.011900578030890755,0.03097646266076481,0.1636119720339775,0.09195103012025356,0.011519308559700221,0.011286530841880449,0.029919135119307612,0.03553869283394306,0.003926707941318454,0.012840117927426035,0.010737112977526522,0.011094727343397608,0.00530807161224402,0.03545166875839641,0.018041078171172557,0.006889249531332098,0.005910820045396576,0.0078445192752406,0.03909020189561488,0.03423389690249678,0.04621350962608631,0.05335864327847958,0.040709670406067745,0.044391407617840745,0.03697132544124543,0.022987752491335414,0.047025218431372195,0.0008836158640042413,0.05142966821789741,0.05527848957106471,0.06826670350506901,0.08598699674010277,0.04690904707182199
ROI8,0.003470602538827734,0.005324505899284304,0.006809023496280133,0.0040729398291114195,0.00649480939084242,0.005502117037376592,0.004104576223671757,0.004838788684837709,0.10518913716077805,0.07526994552463293,0.058682564641349015,0.02902547560595849,0.04650008904747665,0.04403699194001092,0.05628382113069165,0.021275814867276494,0.0051189086019076055,0.016573680971632712,0.00916049139756069,0.005721727356194606,0.012614202853383176,0.009738116660755622,0.001067994828335941,0.01772468282326372,0.0028238478708681215,0.0008602874735606747,0.00052103545578575,0.0009930376815555065,0.003023370320906906,0.008534410873508022,0.012553580968078676,0.009936555743558983,0.007540877444862417,0.001666831891734546,0.0015848239735169044,0.006101412791613256,0.0019377633970452735,0.001019335540559041,0.002843798583373882,0.008768220617266707,0.011129455529826374,0.05272599905729294,0.0910203430056572,0.0036073981903246024,0.021518628559524588,0.31596609205007553,0.08579978704452515,0.006090290014672064,0.0029467323336325535,0.011121191733673185,0.008432143996615196,0.011802151575102471,0.0021714879349565308,0.004273327840664933,0.011300892232593469,0.030764008801088493,0.0006464864847475837,0.002949316454214568,0.004299373165986253,0.002350898540767048,0.015156167471395747,0.003346359235692944,0.00040470734334576266,0.008622639645163872
ROI9,0.017663970375842837,0.00041951513511321535,0.024396110420875628,0.023133536915638617,0.012470877811447281,0.0051274821911101755,0.017759020947269163,0.008439248305573983,0.010902401151606683,0.14835860028862954,0.19261664927005767,0.16170459672808646,0.15091180329211057,0.06845954248696216,0.1788431602716446,0.020491875654652176,0.03012347952779237,0.008708919190539746,0.00906542749477694,0.012452318462101175,0.009525612978131903,0.009788336930268997,0.010916568340762751,0.0020485378358716844,0.01230087154874127,0.0008341381455466035,0.0083468761894801,0.010149317225041159,0.010306476532841771,0.0070992433798164715,0.01505352567681257,0.015998168349765366,0.013555374659590598,0.012455828270831262,0.002165041148182354,0.019586125570203877,0.02404442397213643,0.010269456510486634,0.008858878288065171,0.013952775387915608,0.013158723213555277,0.0009499905521715846,0.0009031146970301052,0.013479275636973398,0.007791009319898876,0.0073662618086927974,0.014740163447822852,0.016256631430269407,0.01615867590797279,0.005145856416020251,0.020618677092552388,0.023498342437669635,0.042154252192813144,0.006401892197013695,0.006808322276565377,0.01613560336345472,0.011750025629116862,0.012020073045514437,0.022506800022329118,0.002926544569681937,0.007643361314003414,0.020561072763230187,0.007077036952159688,0.01715889154492288
