,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63
ROI0,1.0,0.94,1.0,0.58,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROI1,0.86,1.0,0.5,0.9,0.1,0.88,0.94,1.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
ROI2,0.98,0.86,0.96,0.8,0.68,0.98,0.38,0.96,0.0,0.04,0.02,0.0,0.14,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.1,0.04,0.02,0.0,0.0,0.0,0.02,0.0,0.18,0.0,0.0,0.2,0.64,0.04,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.02,0.04,0.0,0.02,0.04,0.0,0.02,0.02,0.0
ROI3,0.56,1.0,0.02,0.3,0.2,0.52,0.08,1.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.02,0.0,0.02,0.0,0.0,0.18,1.0,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROI4,0.94,0.68,0.72,0.98,1.0,0.78,1.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.06,0.0,0.54,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.04
ROI5,1.0,0.86,0.6,0.84,0.98,1.0,0.98,0.96,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
ROI6,0.96,0.8,1.0,0.0,0.94,0.94,1.0,0.0,0.02,0.02,0.04,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.08,0.02,0.2,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.36,0.0,0.02,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.0,0.02,0.0,0.02,0.0,0.04
ROI7,0.96,1.0,0.8,0.0,0.54,1.0,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.06,0.0,0.06,0.04,0.0,0.0,0.0,0.02,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.02,0.12,1.0,0.82,0.0,0.0,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.02,0.02,0.2,0.06,0.04,0.12,0.0,0.0,0.08,0.0,0.08,0.18,0.42,0.68,0.02
ROI8,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.9,0.44,0.2,0.02,0.1,0.12,0.2,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.04,1.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROI9,0.0,0.0,0.06,0.06,0.0,0.0,0.06,0.0,0.0,1.0,1.0,0.98,0.94,0.46,1.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.0,0.02,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.12,0.02,0.0,0.02,0.02,0.02,0.04,0.0,0.0,0.06,0.0,0.04
ROI10,0.0,0.06,0.1,0.0,0.1,0.2,0.02,0.0,0.04,0.74,1.0,0.98,0.64,0.66,1.0,0.04,0.1,0.0,0.02,0.04,0.08,0.04,0.02,0.04,0.02,0.0,0.16,0.0,0.08,0.1,0.04,0.06,0.06,0.02,0.1,0.02,0.02,0.06,0.06,0.12,0.1,0.0,0.02,0.02,0.02,0.0,0.0,0.12,0.04,0.18,0.02,0.06,0.04,0.02,0.06,0.12,0.04,0.02,0.02,0.0,0.1,0.0,0.0,0.04
ROI11,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.88,1.0,1.0,0.88,1.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.04
ROI12,0.06,0.0,0.04,0.0,0.0,0.02,0.02,0.02,0.0,0.98,0.68,0.92,1.0,0.38,0.78,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.1
ROI13,0.28,0.0,0.02,0.0,0.0,0.06,0.04,0.0,0.04,0.44,1.0,0.96,0.6,1.0,1.0,0.0,0.04,0.0,0.14,0.0,0.04,0.0,0.12,0.02,0.0,0.04,0.0,0.04,0.0,0.02,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.08,0.0,0.0,0.0,0.2,0.0,0.0,0.14,0.02,0.06,0.02,0.02,0.24,0.02,0.06,0.16,0.0,0.0,0.06,0.12,0.02,0.02,0.06,0.14,0.0
ROI14,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.98,0.76,0.64,0.66,0.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.0,0.02,0.04,0.0,0.0
ROI15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.06,0.5,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROI16,0.0,0.0,0.0,0.02,0.06,0.0,0.0,0.0,0.02,0.02,0.0,0.04,0.0,0.08,0.0,0.02,0.98,0.98,0.98,0.86,0.52,0.12,0.76,0.78,0.08,0.04,0.0,0.0,0.02,0.0,0.08,0.0,0.02,0.0,0.0,0.04,0.02,0.0,0.02,0.0,0.0,0.0,0.16,0.02,0.02,0.08,0.0,0.0,0.06,0.0,0.0,0.02,0.04,0.0,0.0,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROI17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.9,1.0,0.78,0.08,0.64,1.0,0.06,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.0,0.0,0.0,0.1,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
