sample_id,dataset,mode,split,num_variables,sequence_length,observed_variable_count,hidden_variable_count,ground_truth_edges,predicted_edges,auroc,auprc,f1,accuracy,shd,runtime_sec,threshold,native_binary_f1,native_binary_accuracy,native_binary_shd
sample_00250,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7384727845254161,0.09755977454316506,0.0,0.96484375,144,49.73684542393312,0.3947333693504334,0.17222222222222222,0.92724609375,290
sample_00251,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7095229560278903,0.09802933278199549,0.0,0.96484375,144,44.48800822207704,0.3947333693504334,0.19791666666666666,0.88720703125,448
sample_00252,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7399031432748538,0.1035156594634383,0.0,0.96484375,144,42.96168770082295,0.3947333693504334,0.19791666666666666,0.88720703125,450
sample_00253,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7215351580071975,0.10328876520890251,0.0,0.96484375,144,43.16859568702057,0.3947333693504334,0.2152777777777778,0.8896484375,440
sample_00254,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7080802968960864,0.09647617932683905,0.0,0.96484375,144,43.187841903883964,0.3947333693504334,0.2048611111111111,0.88818359375,445
sample_00255,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7182614991003149,0.10163100832449236,0.0,0.96484375,144,42.94166752928868,0.3947333693504334,0.2222222222222222,0.890625,436
sample_00256,simulated_fMRI,latent,test,64,240,64,4,144,0,0.717458459851552,0.09565673094285596,0.0,0.96484375,144,43.21071717888117,0.3947333693504334,0.1875,0.8857421875,454
sample_00257,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7219463422177238,0.10106161894200567,0.0,0.96484375,144,43.33048006892204,0.3947333693504334,0.19791666666666666,0.88720703125,449
sample_00258,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7200960132703553,0.105204732083163,0.0,0.96484375,144,43.266004387289286,0.3947333693504334,0.20833333333333334,0.888671875,442
sample_00259,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7364766081871345,0.10542899520018212,0.0,0.96484375,144,43.37085250625387,0.3947333693504334,0.2152777777777778,0.8896484375,436
sample_00260,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7263516363022942,0.10092781261488734,0.0,0.96484375,144,43.35712454235181,0.3947333693504334,0.19444444444444445,0.88671875,449
sample_00261,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7244099330859199,0.09606538529659371,0.0,0.96484375,144,43.43130729300901,0.3947333693504334,0.21180555555555555,0.88916015625,444
sample_00262,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7345173329959515,0.0963434820495035,0.0,0.96484375,144,43.498537563253194,0.3947333693504334,0.19791666666666666,0.88720703125,445
sample_00263,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7188466458614485,0.10045279360232268,0.0,0.96484375,144,43.43040063371882,0.3947333693504334,0.20833333333333334,0.888671875,440
sample_00264,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7411560250787225,0.1064885685351264,0.0,0.96484375,144,44.46234006388113,0.3947333693504334,0.22916666666666666,0.8916015625,433
sample_00265,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7517554402834008,0.10434247561318756,0.0,0.96484375,144,43.63109150528908,0.3947333693504334,0.2048611111111111,0.88818359375,442
