,X0,X1,X2,X3,X5,X6,X7,X8,X9,X10,X11,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X43,X44,X45,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67
X0,1.2071996924384286e-219,0.27803353895417937,0.0024784891126647625,0.012127403549794384,0.06988545157246041,0.19767409465888205,0.026363524483694535,0.10106214351963443,0.059337282546064,0.38766085005459894,0.8182796452332192,0.4478155579417,0.02805070739317447,0.4495910930924872,0.05097269757489388,0.37402757761849886,0.13061800014313668,0.3437906044231973,0.42735448721028246,0.5430994938554108,0.03485386705399943,0.19780020544668156,0.3247673543764124,0.09042257624810024,0.08871797609655262,0.008485282464585246,0.04132519926642761,0.22507233899971893,0.08907694773072218,0.2618771823012635,0.5177834805124257,0.34585700128759433,0.17761358315905304,0.39968191915088697,0.14178066651617505,0.43205374429517207,0.038077083372366156,0.09697721186935743,0.042242371906563804,0.51347695404397,0.09620568831146677,0.3815843828643018,0.14702938625110484,0.4090069247239008,0.1801540413956453,0.18561309020772687,0.26178008486433196,0.12234427966431032,0.01690002920225571,0.21506171143830047,0.15508635761249748,0.09033498521005717,0.14572501468398158,0.5423711110009006,0.2741361237981519,0.09360859446506829,0.11693333176803532,0.7395996391515075,0.016641113527551023,0.08895987213865476,0.28236288747920324,0.22228559573480053,0.3484479359237181,0.4212927172729931
X1,0.17049555266669625,1.8073054584166947e-192,0.06829946894735364,0.12496053229789948,0.11861503434002872,0.6094772406749778,0.006354080818836327,0.1373437902646133,0.04275311391470618,0.4244168531807425,0.04296871926759463,0.25018195950784416,0.44174650663196663,0.19774504214471222,0.0035143695279157027,0.3526008836619711,0.06506613189571536,0.0451759929491267,0.017367455594937277,0.5679371569644834,0.1622445472522924,0.5469877896781785,0.16327086645465852,0.3281187170449139,0.4377458086297805,0.0823888393886646,0.2504584821189559,0.6141065466161967,0.010374545430432206,0.09980570694699331,0.3926096096124503,0.32823463408006065,0.2376175759150253,0.3985068065473271,0.05269334186886852,0.4099534561752556,0.26270657071249115,0.023226621086855064,0.1686443060232432,0.10081727926610541,0.2899407002176997,0.07330532025862369,0.10475361440487346,0.0538432898180331,0.17886345364518225,0.185940785821828,0.7095654981801458,0.3367735580443449,0.17998589306519772,0.2923343585462143,0.2009531134679362,0.08865728620129251,0.5359081929200339,0.38850010744898167,0.38090506931052565,0.1739709642879416,0.39064797800135315,0.4070908409525803,0.4190455494582149,0.14161948605054703,0.1385269632431498,0.10598398929836016,0.4066782519721831,0.12852061383307065
X2,0.07232261005647167,0.024475267309456244,1.1602403243456853e-193,0.7335024446690126,0.22189097976484082,0.5820688819186377,0.18691747135337528,0.05947042421781464,0.006430949628812819,0.33688314514490175,0.14667854392727311,0.10598840304827103,0.8318981335034031,0.04036835391018888,0.14474294128986537,0.1284205736957103,0.04576153552538644,0.05842755823467833,0.17524115415381275,0.040198203798060904,0.3192728004722496,0.3164273936262246,0.214790567198777,0.19870575322462766,0.20936299455992863,0.27556693525448467,0.13086516764378434,0.008274804941177083,0.0026246565054858484,0.21369437890671797,0.2444899977395773,0.3484077969197338,0.05898185139403502,0.05541790369688068,0.033067486743695675,0.1922423512575196,0.10978999250156428,0.2551214406750187,0.35024380039348474,0.518585187967509,0.3219973281646213,0.40015525343805597,0.45678640685478206,0.1342292421356426,0.3024786711995013,0.4411615914564473,0.27745585277269125,0.23685838191426037,0.039392905585391734,0.45057449654813714,0.33294574448721076,0.7158703297523269,0.35248877733014544,0.004613815157976909,0.25114769505319867,0.24923086073436704,0.5613412410861465,0.28375648759277483,0.35731379942957164,0.016570798923663546,0.29274102411023234,0.16196629441265056,0.008380393408563273,0.49346342218759737
X3,0.06579543947886943,0.43450342645448137,0.3150313525087833,6.076765433688606e-224,0.5759220924420466,0.22829003730000305,0.003390510595961302,0.1396498808812437,0.06314374460881765,0.24480673647644896,0.13971296575310446,0.21996774849089507,0.12776341365270752,0.15045867866361173,0.16619504655591588,0.7379410377688798,0.07589604941199651,0.38441126130336695,0.10756323841045967,0.3949297592460574,0.38608336691007733,0.03199729906382516,0.0018020324928448078,0.2259197812479969,0.10443211054759509,0.49399069329066386,0.7412944802798926,0.3656791771686533,0.20234399352201557,0.16595761363176187,0.15940654622429967,0.13476984116297083,0.07337907234141887,0.18038399814251355,0.0766526342639845,0.06526502408211148,0.14083573968643362,0.12973615899574945,0.18838690283083875,0.01433598569680317,0.17861837729530972,0.3292878523836081,0.1373220885558235,0.11001421362795365,0.37119679737218,0.18178401275039888,0.11332630018792066,0.1487060278724239,0.12576192477585746,0.1213043677588084,0.5373294499789676,0.10745029752727853,0.06899200387997637,0.37670538319810604,0.40979984644660394,0.11060789599809222,0.0036304284123132055,0.39989746439217816,0.002325567565632032,0.5019489799889515,0.28419436956835403,0.36445536252851246,0.20357057181156563,0.09546124515906075
X5,0.7450002945055906,0.37149499924339147,0.14392728888381667,0.33465444232201363,4.964772299776986e-230,0.46972301153490026,0.15529441469649327,0.11708682396549516,0.15943623234074975,0.23181565244109828,0.030642716856565798,0.6154403777520469,0.2903458720418201,0.0228820133855388,0.14951295900573597,0.014579031474927803,0.5824495394113253,0.21356891411190773,0.07154459787309862,0.12661281809612193,0.25645530412961276,0.1305793758522822,0.3744328876674302,0.6106146481889729,0.023760146197169037,0.585767050090406,0.5029930248405848,0.3845944129734287,0.46502342089292864,0.09341350572414595,0.43973482836246025,0.16852244125567564,0.015675147081406705,0.20310577552063733,0.5133874221351146,0.19083604524607867,0.31036743004896566,0.12556934401421324,0.5190608521726365,0.005342426436857411,0.30322709525446245,0.004552973605160289,0.5850642693520615,0.6872104811483333,0.01564529777168765,0.0937944184705875,0.4243961348569675,0.41856711890834664,0.2688829957990825,0.18189502822845943,0.02447878571356965,0.121032829201731,0.00047975282212645357,0.07712492686476936,0.5518354694260553,0.44618741058101685,0.04270965306216303,0.02306640772213384,0.5090944116907031,0.04458117839873234,0.024300946638778995,0.04059728104105721,0.1120431264399538,0.2112941428090526
X6,0.5981949541740716,0.026441264478141782,0.09899787217701907,0.006528194646628945,0.04710815195315356,7.248346460082707e-194,0.09694099532868371,0.12966321395460986,0.45090156009804777,0.04965419561741051,0.25497891104969345,0.6045757036021214,0.058496262247061385,0.09361865695813874,0.2790771514294789,0.0014368459304780067,0.10114295947438376,0.04076313060364436,0.41426966076227706,0.2855051277885192,0.19487554809783073,0.24047834701723128,0.09091987436404562,0.06353494332738045,0.10674503274792972,0.08115751710888545,0.19214645967521501,0.15637049936031103,0.09665901984999019,0.03287617648029103,0.14468947945071162,0.3173832524012091,0.09942811293597925,0.13206552566608948,0.06624578107427884,0.18974481979456004,0.33164477104617673,0.01319512031043057,0.25670405596894824,0.21711902511786596,0.5054509968163124,0.026273808332062026,0.481858893508204,0.3352816080132678,0.1074720079644697,0.6406480762976196,0.17973404799719708,0.38148114200298466,0.028947423857661855,0.3378809476160864,0.1138644274969988,0.0022400467013187126,0.4143604685182005,0.09180986634646073,0.002315438105406309,0.12183717450395481,0.3608425097294141,0.05939206576459363,0.04578814370421248,0.6520242466822758,0.0983800150112611,0.059805784241556886,0.06892768858742733,0.5340594070145475
X7,0.3704008257398539,0.1350047719901932,0.10847256452918308,0.007251815742443,0.196450462378006,0.26942906854586846,8.251272949855729e-202,0.04488501742620377,0.2267491092030772,0.06928733286132303,0.11946186431684688,0.15216268912122108,0.40722894485610706,0.3670043383046178,0.44640143889631645,0.21213146793526969,0.15106355777505112,0.18554142280772445,0.20979300286964556,0.8669225696924936,0.359127012904463,0.09185189516525182,0.205056730247409,0.0816959799468595,0.22028438396765604,0.02083767440676852,0.03348769424041263,0.06585819182883083,0.15011624404740004,0.7022416053238971,0.5027647302891718,0.5324767568967713,0.06588380131711721,0.018817970228797554,0.3166641658074322,0.09881516119137262,0.17126479973192546,0.2818314659485097,0.24433718384526618,0.16644748430703393,0.5885241218058294,0.5777853576441713,0.13423661347642712,0.2866617239710163,0.08597239771598823,0.062286392995975375,0.11984513824646933,0.10691308821962774,0.6110554719094355,0.09979922924870985,0.21096776569027215,0.17634922512143336,0.3302693215659203,0.17165181111581926,0.37636654914299594,0.05908704528271709,0.0048041630797885275,0.18617165162006558,0.10846141773765934,0.5749285100826234,0.04548257683767214,0.3241802088575419,0.5529956225423541,0.13484562817136223
X8,0.19178053711062457,0.02151550484291938,0.06538570158951816,0.0025071825688658517,0.06424066854553849,0.17447251947078823,0.004823945408207455,9.906871058497981e-219,0.15840774864100443,0.41874693487482034,0.2016750889699539,0.033588015214575086,0.24798674905870127,0.5199993672155376,0.08762599919198079,0.08142335197495908,0.08781550507578971,0.20799818854938792,0.17700834245730113,0.5666093546715772,0.1877465425990033,0.613287975759235,0.42021279404230943,0.1282926254002631,0.22524893739168242,0.1933694175939184,0.06727643699239637,0.16346281232894377,0.6512292899376577,0.14328180990553815,0.03013700276867453,0.030856160504240622,0.5903157962484122,0.6097135800728603,0.19110329677934243,0.36194695226066603,0.3536196658797058,0.027375293538595896,0.14117624592975508,0.05046802287099799,0.12976237127122528,0.11772026388372193,0.2918497521166981,0.060831255912274736,0.7481678783595974,0.024689819209178107,0.4444754696246159,0.0068973804717032084,0.07662531095418665,0.26130366358714463,0.6287511348908252,0.5369584559944159,0.0012542685637602102,0.15630733285435092,0.1191649644492221,0.15202734593421677,0.21026424350759412,0.3693353724259463,0.4888841376333773,0.26689565918594627,0.03389163358058656,0.4333512731082805,0.09621083342552869,0.26357435624951536
X9,0.05168738139201423,0.5851651906048102,0.258473254653676,0.12452912074502356,0.12451941009480512,0.07272623507937245,0.04307464777177866,0.07474268194914001,1.242052411562699e-220,0.07205840974749073,0.24493634391793326,0.2997829525308964,0.11728303819525769,0.2052693877565224,0.20306239500881118,0.35903214730822935,0.31221229505852205,0.07660698174587381,0.29070201933938566,0.016922328835926776,0.705367950345174,0.03983649212407177,0.21711818203048894,0.09513080718413358,0.38105579173659165,0.4481612360681315,0.02190995406844278,0.034138089692532264,0.37014409186428227,0.30534297574569225,0.10892561442248687,0.1488547921953992,0.05047175632167097,0.5250798020360903,0.5064439037320662,0.03472458366375576,0.06295931722690733,0.13143599761040653,0.07929527364435843,0.7109683600112513,0.033775508458194846,0.2763995441257358,0.22555005213605298,0.11757472679711185,0.2760436909152532,0.1796492971557763,0.15708364378093917,0.15813719959750225,0.32051181711296317,0.02173118760054808,0.1100719624638948,0.10259151842091747,0.22843107430154344,0.3926433302343079,0.0004939197309052507,0.2531489115615611,0.08201293194514146,0.6445404107142679,0.1130354198777962,0.8552116633429077,0.39305055238595116,0.06308909478959279,0.02132271649688007,0.27494772681705976
X10,0.2423249285704618,0.027285560325359098,0.5059128083052333,0.10534585758441485,0.1386530559606338,0.06039318932496287,0.1271718767496594,0.5055404137115904,0.37380386921624975,3.5268802470753904e-210,0.005735047935841927,0.27651125702470497,0.5816001931268701,0.17024592076512327,0.12898612495868594,0.3087156459920253,0.17051537371454173,0.37250712116446805,0.19660624884234207,0.06179380088588343,0.3394713242248607,0.6487729780254934,0.48031087329958144,0.14422542705014554,0.27919707614657274,0.43387530463254365,0.08840090529267962,0.2318659381685307,0.42615007852764125,0.5003603866872869,0.23865201349968665,0.2330465112943579,0.36047928712774896,0.16969441231950286,0.0922526745879902,0.23811164726083894,0.3321175020901807,0.010741996543056251,0.06020085138825534,0.34054416644978863,0.3907444206030086,0.17069583033619845,0.3944329763973923,0.41676283534728303,0.8736571771711047,0.19894730843234043,0.2607672852269036,0.3225778949813774,0.44586810277489924,0.021466388451659626,0.24736035334497636,0.2642001126100289,0.2502240789542838,0.2300148448450407,0.22548397746461565,0.006495721122779999,0.18743481271146709,0.5982159826783439,0.11636165193393275,0.33024617924162464,0.23804060739038518,0.5744273705077139,0.0019781683684768556,0.02198795079352634
