sample_id,dataset,mode,split,num_variables,sequence_length,observed_variable_count,hidden_variable_count,ground_truth_edges,predicted_edges,auroc,auprc,f1,accuracy,shd,runtime_sec,threshold,native_binary_f1,native_binary_accuracy,native_binary_shd
sample_00240,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5269047305534199,0.08273041686991268,0.0,0.924072265625,311,57.39044275507331,300.00000000000006,0.08849557522123894,0.874267578125,505
sample_00241,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5559217931673087,0.08791152207539309,0.0,0.924072265625,311,55.60872166790068,300.00000000000006,0.05607476635514018,0.876708984375,486
sample_00242,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5285944262977483,0.08026153032320552,0.0,0.924072265625,311,57.02364011062309,300.00000000000006,0.0816326530612245,0.879150390625,479
sample_00243,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5286419994308215,0.08083918139446285,0.0,0.924072265625,311,58.39105841005221,300.00000000000006,0.06844106463878327,0.88037109375,474
sample_00244,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.49641290081426515,0.07525984944583058,0.0,0.924072265625,311,57.05448046326637,300.00000000000006,0.06593406593406594,0.87548828125,495
sample_00245,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5087598278872008,0.07752407550975544,0.0,0.924072265625,311,58.40186046110466,300.00000000000006,0.061041292639138246,0.872314453125,505
sample_00246,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5484528112748326,0.0928055951947721,0.0,0.924072265625,311,55.104603291954845,300.00000000000006,0.11191335740072203,0.8798828125,473
sample_00247,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.508984101228831,0.07655326526558758,0.0,0.924072265625,311,56.59162534121424,300.00000000000006,0.07355516637478109,0.870849609375,515
sample_00248,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5166552689368679,0.0802078071972757,0.0,0.924072265625,311,55.59313462814316,300.00000000000006,0.064030131826742,0.878662109375,482
sample_00249,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5190908434461637,0.07998732739927614,0.0,0.924072265625,311,57.014210623688996,300.00000000000006,0.08208955223880597,0.8798828125,476
sample_00250,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5008117165830597,0.07386791157090383,0.0,0.924072265625,311,59.52942712698132,300.00000000000006,0.040665434380776334,0.873291015625,508
sample_00251,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5081218381918812,0.07697431936858569,0.0,0.924072265625,311,57.756721726153046,300.00000000000006,0.05148514851485148,0.883056640625,468
sample_00252,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5258725634697804,0.07892156093673687,0.0,0.924072265625,311,57.60989966383204,300.00000000000006,0.059233449477351915,0.8681640625,523
