,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63
ROI0,2.4283561181802462e-60,0.006681603286250753,0.006255390956956663,0.003501799016813003,1.7407547737067512e-09,0.034413750367533844,0.0007479034284636393,0.005181892967948951,0.28946223303920554,0.027615665695302504,0.5299338994420225,0.19313642572946624,0.03374742419807639,0.01699133632609249,0.5605216881661439,0.09400678305949947,0.20536662327077732,0.20972475929108264,0.11755646927235275,0.18587295068050103,0.09233837955492778,0.027252775043217454,0.34146129104986694,0.4712628313751056,0.2580871001322325,0.06103331638799615,0.14177978209162279,0.27793945967597655,0.31009854989901037,0.5266852032891055,0.05678609475009733,0.7154791477670605,0.08187346354042942,0.5139734328710698,0.4299896338644891,0.3757280338648608,0.010407237954920075,0.43162429308825356,0.031174656029391724,0.18091936382581847,0.25324261181862356,0.02180511616427916,0.05992871345227982,0.33398939257265386,0.16084180799537245,0.013615653021608732,0.28616446573268584,0.44431299542447616,0.2619522332480067,0.28955583699375814,0.041238343885030684,0.06880216643461251,0.06588338858739883,0.02065018034512667,0.48529724963112575,0.026309497717974303,0.012071618994553631,0.05407284260181501,0.0005693112685143474,0.0006732741258569804,0.11038882023906854,0.11781570267223786,0.016120843061411434,0.2589652372347496
ROI1,0.0012234660539435164,1.3760528651100293e-78,0.033663161321864095,2.1227635003341378e-26,0.0013871462017213882,0.030212051969045934,0.00011331545885524507,9.476618522129778e-26,0.0049066603591651275,0.047404267833908845,0.714016830811491,0.47472437963945846,0.024149755171967692,0.11827893472786208,0.14616827380769248,0.3197427100306294,0.05058949006050907,0.3422869547489211,0.5128499819929708,0.3233570090989674,0.4013550567708999,0.036170914591550356,0.43026738235582057,0.0031231330660441447,0.4378595619052303,0.061915462142903735,0.17916607766234116,0.07862896485330753,0.04724329805325416,0.25282133545677316,0.1915781725470936,0.00407483750507525,0.027714270069774373,0.0002284069438899414,1.924909971021e-06,0.10793981118468167,0.15376130367242657,0.0786914806490731,0.04905256504202673,0.2129615976031169,0.42996385810339666,0.14051119203088952,0.4371118014793746,0.6841192357702328,0.3672158764517555,0.01449254971981878,0.42264090869927257,0.08862323335808807,0.3059033551043335,0.09852689770035512,0.05912110104026335,0.31152270872411275,0.2621778966669509,0.174391534587874,0.2240084237133738,0.30811240413463736,0.29677843677223126,0.3859887226061637,0.2246573325365011,0.1974404996285337,0.4690120559106778,0.18910025098911293,0.3325045260577649,0.1547098418897832
ROI2,0.011416176111836323,0.0021193376041103635,1.5652533920553731e-58,0.063282014345404,0.17823483329491766,0.029130025059187017,0.004516981257216769,0.004048695161620973,0.20066434266660102,0.1601619620930649,0.33713413129830455,0.407827684278673,0.044080776763118716,0.09579726615379842,0.2988525399289832,0.2292300014975977,0.38674010275958065,0.17426152791819538,0.023495655513690126,0.026663047804761114,0.5097070246501217,0.39750386714031394,0.012085354442516008,0.049297704574640694,0.19051447666394922,0.0797013612686245,0.6803087064559717,0.049226274051838374,0.056268086363093765,0.12824563679884673,0.13785748447278484,0.2920648234986841,0.2937070058280979,0.3225412852915862,0.6220111701991293,0.4795500047201576,0.15737640313004483,0.08781855641634331,0.3096102619761341,0.37960357666017974,0.0837589843172337,0.2808425272089547,0.24585548839826288,0.44455522508198575,0.40454630733755464,0.4229973717973562,0.47034505592447756,0.05741280319021562,0.7080698596188735,0.4459006681679901,0.22934436314427972,0.17349095238362386,0.24351449910699452,0.09751630800548604,0.08812099705097427,0.015174170102163782,0.18399975384055686,0.7484133923070002,0.15763192392056363,0.11480961432838789,0.519110941844979,0.1712012526563774,0.06594917933381146,0.04785907863801076
ROI3,0.25212669497687423,0.0889767236901893,0.012039927340875852,3.875582802544233e-18,0.07339504941055004,0.28255667576883947,0.47664265509967324,1.1350423846864952e-10,0.08823338253803763,0.1701079039419889,0.11879003933592383,0.5592708388988401,0.1775468902779985,0.1412013972236105,0.284939861578315,0.36964825326958545,0.0521585646335096,0.1875647042916669,0.07946997901647278,0.466929377318479,0.05963040929338122,0.00013802794962138466,0.3962108194384976,0.19194533600608465,0.20508221402246046,0.2226536027841529,0.1493451181776319,0.26711726326479124,0.04312272817594992,0.1315680514350282,0.01005565499109781,0.09767186473493145,0.011836789465494636,0.006520512439187573,0.5273917034060732,0.033142864614626164,0.1558157381773269,0.0532344704153945,0.014281728769076442,0.24213440555473842,0.07404569032037879,0.4218936535511781,0.11641066709198333,0.4198418169921291,0.24150525235972425,0.5466576213112195,0.17365148291981228,0.02325510739604952,0.32987492813300023,0.08935802020496622,0.08425674993489767,0.14906665160542001,0.5228136199883385,0.10267655118438379,0.356160473469809,0.5069275487678937,0.056196603588245346,0.3463602856161803,0.04901382726180137,0.311404651636122,0.25760766821755504,0.08531244798259663,0.12053523970290637,0.37088985649098105
ROI4,0.726093756195572,0.060832126871522285,0.011603978597547563,0.25463920677387686,2.2955231267345093e-62,0.23800255306959367,0.0560643637401591,0.4266336391424712,0.01350929168295118,0.23023002985564148,0.7703500076086919,0.520883758314132,0.23485593770903698,0.6307320532721605,0.22374380320004236,0.14457609897834384,0.12996081401447038,0.06402350160091495,0.48915957779792457,0.11531815013969128,0.00791335167901091,0.3385046043889958,0.014578641163075692,0.1214570563523106,0.41337421517264045,0.40463382074784,0.06911070999621031,0.14285454563335753,0.0914106376926668,0.6912577980902,0.5411069339073753,0.16599730663630774,0.06722170490896837,0.02005455093661798,0.09913825709945366,0.22280324061004958,0.05639354425299255,0.017584596396605985,0.10826535896719104,0.026505895949485454,0.0542237428996509,0.5695053874465931,0.005157332519610997,0.22848459579743538,0.3979706816987096,0.0892671120476075,0.09104615646002488,0.052583314182061136,0.1322615012656392,0.3779700313192662,0.26422611655535516,0.23487668028572356,0.23611610850587147,0.08334554049397565,0.594885035438257,0.13464799788380633,0.6620168831632115,0.21287024395285284,0.0533676073903917,0.15045668398589054,0.12885689094057878,0.07019096042113172,0.2355343963038065,0.35932840937230764
ROI5,0.35746556372570154,0.0002684365325152507,0.00528435165968911,0.02751448056184583,1.2338253140415797e-06,3.92718741613079e-60,2.8977780988953444e-05,0.00445637988158785,0.2658791358346492,0.04944085727609787,0.37046340830940594,0.03437881931804681,0.020358699932092567,0.14459529147433908,0.19145197639552877,0.3630799992361264,0.08606211619829592,0.2948984979419152,0.13490121221627024,0.18172357075979909,0.1678852546862682,0.15497277427009268,0.1817175943974509,0.12549120055289015,0.15683893526363493,0.2895694350601492,0.10805388365852348,0.08527942875363183,0.0447667925254365,0.15242921554092023,0.43867326969345116,0.005306988473105823,0.4616327374742258,0.6722187329448333,0.0005893322416445789,0.3690305023553649,0.4103338778103033,0.3534180810299976,0.0007854779011592129,0.151288307225277,0.2005870273252161,0.04022487228475377,0.23763502623323515,0.6903476124245389,0.24437993956890758,0.17888179002300772,0.12947705564492104,0.3880914681694218,0.537555885562723,0.16675192903348984,0.000380249040816876,0.20734830386503025,0.38806556160196853,0.07005276615195093,0.4722481761950721,0.27663519950364834,0.11162241811030837,0.12443323919257136,0.24820763324810244,0.5795449942218713,0.7479249832699426,0.013971392555295335,0.14068126192259175,0.06640606106060352
ROI6,2.7028438297851494e-06,0.003093469371391106,0.022648003128770924,0.008913731357768066,1.530649606605778e-05,0.0016040402666735428,3.3332880498270466e-66,0.0006527259162237293,0.06349408142307482,0.13331124380468296,0.4465545360206565,0.3367662183813693,0.15845925253875986,0.11225291210838739,0.05765355588622749,0.19684497161850875,0.15313072175610568,0.09334662261357955,0.0656774805567394,0.02988566927905836,0.10951448242331445,0.04441224770592848,0.14053877463966016,0.03717638868195278,0.09516749993843845,0.5713959154210649,0.08573163977393969,0.4262197454095396,0.38414846761733235,0.21753751698529813,0.015954228102907215,0.3364344753088698,0.2698687053991411,0.01567829415274183,0.1451103890837376,0.2548016063231915,0.24591147787383508,0.20755386310263493,0.07469357924752905,0.03359895450545208,0.19416219844989108,0.23458036899714105,0.025494324293269168,0.2721503915346387,0.26748176633967097,0.07751951927788688,0.011632438592139591,0.13741562339548283,0.16469520315566885,0.286090893335637,0.20633808073506388,0.280947608671306,0.1580387608298546,0.03409146748609061,0.14595864768820727,0.5544305080398958,0.08131877809079825,0.1350568154489786,0.394101767198127,0.21656569646020726,0.08506837020875425,0.4711878126750588,0.2110603274873486,0.14414415015308704
ROI7,0.010095550143650876,0.07555501731461463,0.2611625897497767,1.8272892583851678e-11,0.024055123413547538,0.03778750827502252,0.03068946839411753,6.078738270387375e-37,0.5929491207328693,0.16189373577505559,0.4206248119675744,0.02877876993926843,0.15516415554558685,0.14294822493572704,0.058728817866579845,0.01788892208001585,0.060299120199495196,0.2972398815014248,0.16426947768392644,0.48018470275657965,0.017524385892419697,0.037098026633376455,0.28035812229003737,0.28842196783951046,0.4124772392436929,0.1723248287841209,0.24787499091373774,0.9077973808213435,0.16424273843579237,0.16128006571608697,0.13542429009596152,0.07486529058307909,0.38860429945261277,0.029073260570741045,0.07476251592703831,0.1300656748778609,0.572610801164079,0.2538741215356677,0.2789700680378369,0.6342828392881348,0.3112680001739977,0.09434595332975931,0.3161843393539977,0.08015189573476549,0.2950425150020345,0.4117371511129812,0.29490526997080035,0.10560273916989722,0.3737630232887421,0.3933251555462728,0.16361113430646532,0.35260423241719324,0.5985243710880428,0.3769278939785176,0.34633183756593156,0.5077312140742851,0.02728189601794989,0.45268103427186146,0.009039334915624562,0.02754011446209136,0.008279860293291067,0.13347268422335315,0.12561415249342237,0.14124844427667999
ROI8,0.1694873547511528,0.15910467614835794,0.1769475424836764,0.616472458949041,0.3054403125182577,0.023585201462557548,0.21256936924030384,0.1855721569014662,4.2067743061389487e-63,0.18979788588675253,0.2996277707534944,0.3309155130034538,0.2184110267282194,0.22644401899068123,4.08615606830951e-05,4.070227745918821e-19,0.05584649395659271,0.06647883098604387,0.05230472562291026,0.1742762539285116,0.11743854260603503,0.14620466802470164,0.032672482392587146,0.0644119154692129,0.4429821546515318,0.26370220016270424,0.000614802946374945,0.07173902397093174,0.19612217894771997,0.2739282186856826,0.009126136928783864,0.36531057461672817,0.10452585381604773,0.78961819401297,0.1229732702782171,0.613087223355284,0.16754166619755329,0.21817534822281442,0.12453894879789,0.07150666523049533,9.189301795367955e-06,6.83814119267852e-10,0.22740055447951682,0.45015715312240034,0.09778819221460396,0.019761970071105243,0.001446005288982118,0.3160267771694026,0.25742331481028885,0.05705301438149175,0.02399007572017552,0.37915183046443274,0.07469161769534823,0.5214311923017313,0.002047205831018394,0.03425058029746377,0.602933950979533,0.24730305756695395,0.13044389622093397,0.009019651095004598,0.048660928637477445,0.3846910596533606,0.003839228811352537,0.31831602968515377
ROI9,0.17870214040778526,0.3983415100001946,0.25214044566143523,0.5195458330201757,0.3685409134647105,0.08932749012471831,0.16727484157622177,0.7395006967370105,0.053643582614814785,1.6616064699569966e-57,0.0035358499058443893,0.030925840180429678,0.056523223806652784,0.005318035465851744,0.011061786215520177,0.0003977467294626135,0.48882276498713334,0.5058466786754611,0.11416292816564547,0.248566230988862,0.515036832377474,0.5883989884846116,0.009173346131345737,0.04073205203330411,0.3216276973799284,0.23777056489553863,0.01528249768758826,0.05069041154788251,0.060940417842285294,0.011149521627001792,0.012311979148377724,0.0017980939538687363,0.14848400828994607,0.3962873042589323,0.02841267446671265,0.07994693327996859,0.12441502510385526,0.11712105456453067,0.2530420615923769,0.24775109266942708,0.13719124561461996,0.29194435763801807,0.37608326717342655,0.27975116297492253,0.030487823356854512,0.08846614749256769,0.0028781280388430505,0.5933492571151027,0.10176901734114989,0.6779626818218493,0.28893619294400885,0.406532323065204,0.2483768615470938,0.31962650406859805,0.22714339277663775,0.061808444266128304,0.24069847079696322,0.07790316366950922,0.1702795209718867,0.06659638011786692,0.21407497453497176,0.39870386117295786,0.028166472827470465,0.09800234890477699
