sample_id,dataset,mode,split,num_variables,sequence_length,observed_variable_count,hidden_variable_count,ground_truth_edges,predicted_edges,auroc,auprc,f1,accuracy,shd,runtime_sec,threshold,native_binary_f1,native_binary_accuracy,native_binary_shd
sample_00240,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7648867801908872,0.22932699665760056,0.0,0.924072265625,311,72.46062253881246,4.347411632537843,0.0,0.907958984375,377
sample_00241,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7245396662235003,0.21038229268083156,0.0,0.924072265625,311,71.14267421979457,4.347411632537843,0.0,0.907958984375,377
sample_00242,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7455126217468685,0.20168912442367895,0.0,0.924072265625,311,71.1805436857976,4.347411632537843,0.0,0.9072265625,380
sample_00243,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7351518729797347,0.2001200078436432,0.0,0.924072265625,311,71.24923338508233,4.347411632537843,0.0,0.90771484375,378
sample_00244,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7241896638873196,0.21423334085976345,0.0,0.924072265625,311,70.89247336098924,4.347411632537843,0.0,0.90771484375,378
sample_00245,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7578298156116333,0.21715089963005152,0.0,0.924072265625,311,71.0888433624059,4.347411632537843,0.0,0.907470703125,379
sample_00246,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.726887740148751,0.20910249278396326,0.0,0.924072265625,311,70.97417556680739,4.347411632537843,0.0,0.908203125,376
sample_00247,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7575273864085258,0.2312479282179907,0.0,0.924072265625,311,70.98121668025851,4.347411632537843,0.0,0.907958984375,377
sample_00248,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7604777701792912,0.2134326257517697,0.0,0.924072265625,311,77.23566581681371,4.347411632537843,0.0,0.906494140625,383
sample_00249,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7561095371389008,0.22831107049167998,0.0,0.924072265625,311,71.24047996196896,4.347411632537843,0.0,0.907470703125,379
sample_00250,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7482259893725018,0.21185829728990682,0.0,0.924072265625,311,71.13286305591464,4.347411632537843,0.0,0.907958984375,377
sample_00251,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7604429398497199,0.22875261596350369,0.0,0.924072265625,311,71.36104165622965,4.347411632537843,0.0,0.908203125,376
sample_00252,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7525763824879899,0.21204441048508707,0.0,0.924072265625,311,71.06430721422657,4.347411632537843,0.0,0.905517578125,386
sample_00253,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7728586780615647,0.23085778814520064,0.0,0.924072265625,311,71.29285656893626,4.347411632537843,0.0,0.907958984375,377
sample_00254,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7481155517421536,0.21381802406648842,0.0,0.924072265625,311,71.08307984378189,4.347411632537843,0.005291005291005291,0.908203125,376
sample_00255,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7373963054365047,0.19458456027770965,0.0,0.924072265625,311,71.14778109779581,4.347411632537843,0.0,0.9072265625,380
sample_00256,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7571238642976379,0.22035192221173006,0.0,0.924072265625,311,71.1792329158634,4.347411632537843,0.0,0.906982421875,380
sample_00257,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7596418422695782,0.22899309966195294,0.0,0.924072265625,311,71.16155296191573,4.347411632537843,0.005277044854881266,0.907958984375,377
sample_00258,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7579283599587133,0.21978627509132811,0.0,0.924072265625,311,71.22595792496577,4.347411632537843,0.0,0.908203125,376
sample_00259,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7447234174499952,0.21327024864633276,0.0,0.924072265625,311,71.15089249704033,4.347411632537843,0.0,0.9072265625,380
sample_00260,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7595076180726934,0.22633184812527551,0.0,0.924072265625,311,71.2016393719241,4.347411632537843,0.0,0.90771484375,378
sample_00261,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7536850063926398,0.2276218674785846,0.0,0.924072265625,311,71.31114270212129,4.347411632537843,0.0,0.907958984375,377
sample_00262,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7497755142783114,0.2203507701141558,0.0,0.924072265625,311,71.16916275722906,4.347411632537843,0.005263157894736842,0.90771484375,378
sample_00263,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.754123358833099,0.21040959949223262,0.0,0.924072265625,311,71.23849521903321,4.347411632537843,0.005154639175257733,0.90576171875,385
sample_00264,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7549966656330838,0.21442767505132296,0.0,0.924072265625,311,71.11385340290144,4.347411632537843,0.0,0.907470703125,379
sample_00265,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7531498086455675,0.2223505759620744,0.0,0.924072265625,311,71.19215624500066,4.347411632537843,0.0,0.90673828125,382
sample_00266,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7449510888725592,0.2105471107048628,0.0,0.924072265625,311,71.29938110616058,4.347411632537843,0.0,0.907470703125,379
sample_00267,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.719783202436424,0.1996539438583185,0.0,0.924072265625,311,71.20072144269943,4.347411632537843,0.0,0.90771484375,378
sample_00268,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.768872729126226,0.22774484703520884,0.0,0.924072265625,311,71.2712901099585,4.347411632537843,0.0,0.907958984375,377
sample_00269,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.759785411189031,0.22342283353673958,0.0,0.924072265625,311,71.1714943619445,4.347411632537843,0.0,0.908203125,376
sample_00270,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7570185237886904,0.22250295564899544,0.0,0.924072265625,311,71.22938854014501,4.347411632537843,0.0,0.908203125,376
sample_00271,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7612143042216908,0.22972332481830043,0.0,0.924072265625,311,71.24964617891237,4.347411632537843,0.0,0.908203125,376
sample_00272,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7636711167368229,0.21325914006542063,0.0,0.924072265625,311,71.27536985138431,4.347411632537843,0.0,0.907958984375,377
sample_00273,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7495971150292872,0.21911428645622355,0.0,0.924072265625,311,71.33953362284228,4.347411632537843,0.0,0.907958984375,377
sample_00274,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7863550060103557,0.23709282128697146,0.0,0.924072265625,311,71.28036147821695,4.347411632537843,0.0,0.907470703125,379
sample_00275,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7445458677212045,0.2159529825646705,0.0,0.924072265625,311,71.40958446403965,4.347411632537843,0.0,0.907958984375,377
sample_00276,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7557433939182846,0.23035734616191317,0.0,0.924072265625,311,71.25240155495703,4.347411632537843,0.0,0.908447265625,375
sample_00277,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7359487229587091,0.197818256772667,0.0,0.924072265625,311,71.28528312686831,4.347411632537843,0.0,0.906982421875,381
sample_00278,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7360795490746601,0.20002703566697802,0.0,0.924072265625,311,71.31783773610368,4.347411632537843,0.0,0.908447265625,375
sample_00279,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.7406397736878098,0.21154084095613096,0.0,0.924072265625,311,71.30327751208097,4.347411632537843,0.0,0.90771484375,378
