,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63
ROI0,3.488708329200745,1.6196540546417237,1.7951684045791625,1.252962212562561,1.65056786775589,1.2949323812127114,1.3668773996829986,-0.6749045258760452,-0.16219279760494829,0.16207339063286783,0.1963794871175196,0.1913798253238201,0.3254407841525972,0.17264558364637195,0.05562931207939983,0.08812191350385547,0.2731962280906737,-0.11608230768702925,0.15194271460175515,-0.011560411490499974,0.15103308292338624,0.11899256654083729,-0.04646937899291515,0.3530353318224661,0.3354231580067426,-0.1491524337232113,-0.021536563094705342,0.8865060103870929,0.04428781639784574,-0.031184302382171153,0.2612339024303947,0.19884602211415767,0.13509545016102492,-0.6383072265982628,0.792089463043958,-0.04726690277457237,0.13547279987484218,-0.048541761469095945,0.41365567354368976,0.23349356276914476,0.16936033260077238,-0.15880240585654973,0.09044120773673058,0.24250050978502258,0.1546418795734644,-0.009476834014058112,0.11280537500977517,0.5800641185883433,0.052613356858491896,0.09965863158926368,0.16361713461577893,0.2397057050652802,0.1333349065668881,0.04687367488630116,0.09156349318102003,-0.19087442043237388,0.15023001851979642,0.17660961204441264,0.27274562254548074,0.13475682542251888,0.06909293063916266,0.24947019439190626,-0.18138871729373932,0.18091220073401929
ROI1,1.801352059841156,3.2451451230049133,1.712046971321106,2.42705748796463,1.4889341402053833,1.2497576139867306,1.2886399799585342,1.5292117257160134,-0.0838249154901132,0.1976436719018966,0.18821202423423528,0.13026067722588777,0.31429494835436345,0.301600597538054,0.08118433105759322,0.16593355539720506,0.20294002113863827,-0.042493007332086566,0.16090499366633593,0.026509668724611402,0.09472237259149552,0.2641718550026417,0.007623215187340975,0.2581839372497052,0.29028123622760177,-0.1368845135346055,-0.03386902006343007,1.1027030611038209,0.026330382172018288,-0.01651384558994323,0.2883539790660143,0.33237583179958163,0.14284755520522593,-0.5033857108652592,2.7820195150375366,-0.06758325062692165,0.04659978141426109,-0.06001689074561,0.5848954055737704,0.23219352369662374,0.06918684748059604,-0.009089836105704307,0.03952068693935871,0.37424145196564496,0.24261049437336624,-0.028716872408986092,0.21752901365980506,0.21946660049743513,0.12307461486198008,0.09973413383588195,0.09507044224068523,0.14658582106465473,0.08952774289995431,0.12056927673518658,0.05696174593642354,-0.10415001340559683,0.10238226722925901,0.5291252260655165,0.7090202546399087,0.6675901786237955,0.1856918778270483,0.22689057530835272,-0.10224087852984667,0.182432683063671
ROI2,1.8784941482543944,1.673574628829956,3.2759344005584716,1.2918167436122894,1.667731900215149,1.3363655807077885,1.4842744743824006,-0.5002758115157485,-0.05496101272292435,0.339501704312861,0.23401467733085154,0.32290649769827723,0.484848276078701,0.32800325997173785,0.12923241056501866,0.1475293356180191,0.31398144640028475,0.01038866037502885,0.21220939981285483,0.1969073826447129,0.2401462873769924,0.16855379728600384,0.06440174512099475,0.32180985682178287,0.2322571759391576,-0.010260898182168602,0.07599126741290092,0.9366141963005066,0.10968764324206859,0.158558281455189,0.3951203639153391,0.4118278654839378,0.259401945611462,-0.5052646742880461,0.8990147978067398,0.05630157491192222,0.17871989207564185,0.14518666780437342,0.509699205905199,0.39784623158164323,0.1670494048297405,0.04930412393063307,0.16019897147081794,0.30200894698966296,0.18282035841140895,0.06496136432513594,0.18788090628571807,0.1602616188302636,0.1750700580421835,0.1331681501865387,0.1641172735346481,0.2349427840858698,0.20301285514608025,0.13448757341364398,0.1699956955993548,-0.10413780299946666,0.27779278069734575,0.27597323645139116,0.49255649135564455,0.25162547949701547,0.16775075279641896,0.4266022716835141,-0.035143873719498515,0.2703521025273949
ROI3,1.6164248275756836,2.212968547344208,1.5652076601982117,2.388928842544556,1.4794455027580262,1.0256967590376735,0.8058318015933037,3.2525272440910338,0.15073585288599134,0.36064451163169,0.3343295343220234,0.32920975279062986,0.38223292701877654,0.29791304470971225,0.2959440891444683,0.2243176669953391,0.2449558462947607,0.16212784796021878,0.3614065701514482,0.2313955816999078,0.2786272370815277,0.26769021634012463,0.1807748110126704,0.4417872874066234,0.3490877798572183,0.09694438394159079,0.12092854303307832,1.2546789419651032,0.14795145709067584,0.25560340888335303,0.4467115354537964,0.35179179308936,0.3187946143001318,0.8865407191962004,2.4377218675613403,0.10328433915739879,0.19531583584845066,-0.07787716998718679,0.6227377639710903,0.24648195459507405,0.31239095421973617,0.12273309955140575,0.1943937534186989,0.4126493120356463,0.27324282854795456,0.1603766310820356,0.4624805784970522,0.42287556673865767,0.2956906648911536,0.2711562175117433,0.32178623917512594,0.437351208999753,0.25842122015310454,0.25531235392205415,0.2946608708053827,0.12504676511976867,0.33443797543644904,0.7300874467939138,0.9773671919107437,0.9228340847697108,0.21646123096346856,0.36619648631894963,0.1654516314715147,0.28106079272809437
ROI4,1.7760450839996338,1.278785742521286,1.7079712653160095,1.1179707109928132,3.544824175834656,1.1372833608090878,1.461937553882599,-0.7101049357652665,-0.06655339417979121,0.19652550542494282,0.1954690272687003,0.23647596269845964,0.3522266157204285,0.18426253876648843,0.15076510775834323,-0.00795796312391758,0.2980078816227615,-0.0465819437848404,0.23890479244291782,0.12151954693370498,0.21179353676736354,0.13979385733604432,0.1244143320992589,0.48522471491247415,0.34257913045585153,-0.01958369040861726,0.1483210614975542,0.853986089527607,0.052941110115498305,-0.003199612721800804,0.24775615207850932,0.3238199349865317,0.16733780785580166,-0.4834703528136015,0.5850460832566022,0.08679543105885386,0.2490656573884189,0.18923384584486486,0.4499867420643568,0.2566947497986257,0.31092268411826807,0.0439390612533316,0.30424095012713226,0.23894293554127216,0.14864094041287898,0.021800906586868223,0.1561333012394607,0.29619918562471864,0.12533815380185842,0.15027421288192272,0.1020453092455864,0.19739927691873163,0.1531506504956633,0.12797612089663743,0.15018427355214953,-0.17500719301402567,0.13108655949123205,0.14387532603926956,0.27962066402542407,0.3047959900647402,0.29621729996753854,0.3715308956056833,0.04925650391727686,0.34925752551294864
ROI5,1.9278979063034059,1.7136900687217713,1.7803999614715575,1.3940491855144501,1.637699851989746,3.08884388923645,1.5080580973625184,-0.3231523046642542,0.09454607596853748,0.3559924444521312,0.3149433554150164,0.38944378178566696,0.49529211388900873,0.3758707127440721,0.28575161458924414,0.13126701673492788,0.3742848337814212,0.23879565990529955,0.22669381914660336,0.1678996750654187,0.37071996526792644,0.9658689594827592,0.1181299000326544,0.367280162749812,0.33588475091382863,0.0843179468717426,0.15004708773689346,0.9990806898102165,0.17755106173455715,0.19497790029039608,0.38187651683576407,0.46006475780159234,0.33972449200227856,-0.3399558746442199,0.9484604758396745,0.24212454352527857,0.3613895283429883,0.3416163883078843,0.5104095138609409,0.3823697599733714,0.35985878862207754,0.13951489022001623,0.2927503421576694,0.33375122863799334,0.3575256502791308,0.2158330934168771,0.3397297775372863,0.36042165315710006,0.2516490691434592,0.30186012216843666,0.3510900776573544,0.40882733257487414,0.21955196894938125,0.22530615562573075,0.25199791367165747,0.16426818994805217,0.3918495288910344,0.35105047484859825,0.5261828505969607,0.40369123965501785,0.4227637930959463,0.49097160272765905,0.11970194134861231,0.4225473469868302
ROI6,1.9497201013565064,1.5025970935821533,1.944087587594986,0.8205023474991322,1.7859325766563416,1.677215821146965,2.793716216087341,-0.5445696503669023,-0.2320663234964013,0.25442649548873303,0.3869172631204128,0.39016581883654,0.5913508274406195,0.3600349213927984,0.06528517706319689,0.037164351232349874,0.32993239894509313,-0.13224473427981137,0.30135679617524147,0.09705921974033117,0.23692228138446808,0.4279254760220647,0.12593866572715343,0.45789089865982535,0.3687189461104572,-0.22763545314781367,-0.010608438048511743,0.8395035168831236,0.267799339084886,0.1674328767322004,0.3357662883680314,0.47244693223387,0.2924510801769793,-0.2972596390172839,0.5320551110710948,0.07977638192474842,0.2730323383957148,0.25205988477449864,0.7077438625879586,0.4230535674840212,0.3790712721645832,-0.23287819389253855,0.2830878357589245,0.4493684885464609,0.1292208735551685,0.06907991169020533,0.0017067057639360429,0.48709829784929753,0.19720813823863864,0.21124206264968962,0.1951510492525995,0.3126337655354291,0.3756530374288559,0.336322400085628,0.30845834873616695,-0.13405956285685533,0.35907557475846263,0.30104983823373915,0.519191538412124,0.5616982024163008,0.14580270006670618,0.6110897958278656,-0.18568259313702584,0.5356518688797951
ROI7,1.6003944706916808,2.2678945994377138,1.594342794418335,2.707714333534241,1.4112945628166198,0.596059188246727,0.8643554385751486,0.44064794555306436,0.09382529998198151,0.28847973348572853,0.23894654784351588,0.29930309802293775,0.41261035852134226,0.2652778849750757,0.24354839603765868,0.20369105212390423,0.20958292815601454,0.14724554772023113,0.2937836542539298,0.19286115556955338,0.2332650940399617,0.2709565383710651,0.16926837029866873,0.5023000509105623,0.3406556025799364,0.0495752993109636,0.05459637197200209,1.0926363560557366,0.1273315323004499,0.23136755725368857,0.40753217894583943,0.26008035250008105,0.23839682090096176,0.7573840659856796,2.380243854522705,0.06956521482672542,0.25161468299105766,-0.17668584750499577,0.5176867518574,0.2948662641644478,0.23665098236873747,0.0938412437774241,0.1733020397159271,0.39904585087439043,0.3075352095067501,0.10944335147854872,0.37340592466294764,0.22019915387034417,0.279275856805034,0.25415880587417633,0.22839909787289797,0.3640304660052061,0.25042839171364906,0.24697530342265964,0.2493629113584757,0.11739799423143267,0.261651374399662,0.6804876398853957,0.884891981780529,0.8539812241494655,0.24903710030484943,0.33418691786006094,0.10807138020172716,0.2869840289559215
ROI8,0.5199362527951599,0.18729277797974647,0.32019274683203547,0.5838917537033558,0.8200079062581063,0.21295459529384972,0.23428274441510438,0.11316926546394825,3.840550351142883,1.564948766231537,0.9385948497056961,1.0548847891390323,1.3084698751103132,1.3442380583286286,1.1389203614555299,1.3516639003157616,0.35844788760878143,0.21299293572083117,0.23199658844096122,0.18724542774260045,0.34045269574970005,0.8765518172830343,0.12468628013506532,0.30623205977492035,0.5251552355242893,0.1993130476400256,0.2758662196143996,0.5659776424989105,0.29995057672262193,0.2596249884009012,0.4720150769874454,0.6029042902588845,0.33495449857320636,0.1703321985900402,0.18441682181321084,0.286461140634492,0.32018753261305394,0.3403656431566924,0.4298114235699177,0.38499847989529373,-0.42625054858624933,2.1109360599517824,1.3174512588977814,1.0947439980506897,0.5624759456515313,2.602600054740906,1.596878798007965,0.13251193329691888,0.3012922819703817,0.28912897750735284,0.46069339871406556,0.7531674774177373,0.30263922981917857,0.2243702877126634,0.2612967073917389,0.6131419205432758,0.27294034192338584,0.5409279460459948,0.8390356198325754,0.6983286234654952,0.3108194835484028,0.7268378081917762,0.17529005901888012,0.5459648099914193
ROI9,0.6172448331862688,0.24484454207122325,-0.04005956212058663,0.17731466982513666,0.7129214704036713,0.122023075055331,0.1606531209871173,-0.17739091940340587,0.41586384061723947,3.1602622652053833,1.8051435256004333,1.5845843660831451,1.7271855297684668,1.6359986090660095,1.2026495337486267,0.37573080610483883,0.11840424619615078,-0.03907510458957404,0.20303971588611602,0.10086727627844085,0.3576959402812645,0.22717500455677508,-0.04485246239230037,0.31863875038921835,0.40428710758686065,-0.16963941395282744,0.24709657872095703,0.5724446527566761,0.24759359139250592,0.040600284971296786,0.5652686357218772,0.5681809992482886,0.25978448867797854,-0.08591326037421823,-0.01014598935842514,0.16516455046832562,0.020886943936347963,0.23817024797201156,0.5660185622703284,0.37668839257210496,0.3215279689617455,-0.07625042710453273,0.5151671608537436,0.24975673395209014,0.1135776349902153,-0.0029397737234830856,0.30394308708608153,0.25633772272616623,0.04389821629971266,0.12232498526573181,0.13897378034889699,0.582314075101167,0.22933223351836204,0.20272842168807984,0.16566330794245004,0.032660389067605135,0.3185603824071586,0.01736364235635847,0.15129134213551879,0.3573768255673349,0.15545578049495817,0.5151323494687676,-0.039025388043373826,0.550719492956996
