sample_id,dataset,mode,split,num_variables,sequence_length,observed_variable_count,hidden_variable_count,ground_truth_edges,predicted_edges,auroc,auprc,f1,accuracy,shd,runtime_sec,threshold,native_binary_f1,native_binary_accuracy,native_binary_shd
sample_00250,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7628661999550157,0.10598200505903448,0.0,0.96484375,144,86.75658964412287,5.443373680114747,0.03738317757009345,0.94970703125,206
sample_00251,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7696524966261808,0.10984596953020306,0.0,0.96484375,144,84.54625847283751,5.443373680114747,0.019047619047619046,0.94970703125,206
sample_00252,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7706945147323436,0.11655083204934627,0.0,0.96484375,144,84.14887662231922,5.443373680114747,0.018867924528301886,0.94921875,207
sample_00253,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7718577794646874,0.11336328198122497,0.0,0.96484375,144,84.11717178998515,5.443373680114747,0.028846153846153848,0.95068359375,202
sample_00254,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7393039389338731,0.10213970217143359,0.0,0.96484375,144,84.28364094207063,5.443373680114747,0.01923076923076923,0.9501953125,204
sample_00255,simulated_fMRI,latent,test,64,240,64,4,144,0,0.749555429037337,0.1053369825197519,0.0,0.96484375,144,84.12752585625276,5.443373680114747,0.03809523809523809,0.95068359375,200
sample_00256,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7131269680611786,0.09919305411403742,0.0,0.96484375,144,84.30063399299979,5.443373680114747,0.018779342723004695,0.948974609375,209
sample_00257,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7457827260458839,0.1041324919303444,0.0,0.96484375,144,84.56966849882156,5.443373680114747,0.028169014084507043,0.949462890625,207
sample_00258,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7568144118308592,0.11411076895586986,0.0,0.96484375,144,84.37232259102166,5.443373680114747,0.03809523809523809,0.95068359375,202
sample_00259,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7894279970760234,0.10917043593731511,0.0,0.96484375,144,84.51033551897854,5.443373680114747,0.028169014084507043,0.949462890625,207
sample_00260,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7757517290823212,0.11064529418014103,0.0,0.96484375,144,84.38544757198542,5.443373680114747,0.028037383177570093,0.94921875,206
sample_00261,simulated_fMRI,latent,test,64,240,64,4,144,0,0.739010486954566,0.09902203499942851,0.0,0.96484375,144,84.28681913018227,5.443373680114747,0.03827751196172249,0.950927734375,200
sample_00262,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7346315508322088,0.0959627859241028,0.0,0.96484375,144,84.66320044873282,5.443373680114747,0.018867924528301886,0.94921875,207
sample_00263,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7698334879667117,0.10906290245491064,0.0,0.96484375,144,84.56712434394285,5.443373680114747,0.02870813397129187,0.950439453125,203
sample_00264,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7729823858524516,0.11016964555332505,0.0,0.96484375,144,84.71004737308249,5.443373680114747,0.03809523809523809,0.95068359375,201
sample_00265,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7813571890463338,0.112580919406355,0.0,0.96484375,144,84.40311325993389,5.443373680114747,0.018867924528301886,0.94921875,207
sample_00266,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7689443460413855,0.10513276327747687,0.0,0.96484375,144,84.17057823576033,5.443373680114747,0.028301886792452827,0.94970703125,206
sample_00267,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7383620810841206,0.09766038733438163,0.0,0.96484375,144,84.2947510490194,5.443373680114747,0.018779342723004695,0.948974609375,207
sample_00268,simulated_fMRI,latent,test,64,240,64,4,144,0,0.765045124831309,0.11246314990710893,0.0,0.96484375,144,92.05378159601241,5.443373680114747,0.028436018957345967,0.949951171875,204
sample_00269,simulated_fMRI,latent,test,64,240,64,4,144,0,0.763590165317139,0.11796372177105655,0.0,0.96484375,144,85.05985619872808,5.443373680114747,0.028436018957345967,0.949951171875,205
sample_00270,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7361550410481331,0.10039002272763337,0.0,0.96484375,144,84.92044263100252,5.443373680114747,0.028985507246376812,0.950927734375,200
sample_00271,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7585874240890689,0.1068997614082616,0.0,0.96484375,144,85.1787988813594,5.443373680114747,0.028037383177570093,0.94921875,206
sample_00272,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7590021226945569,0.10645414686969028,0.0,0.96484375,144,84.30229924805462,5.443373680114747,0.0462962962962963,0.94970703125,206
sample_00273,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7575120192307693,0.10483200588005641,0.0,0.96484375,144,84.08698992384598,5.443373680114747,0.018867924528301886,0.94921875,208
sample_00274,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7559199983130904,0.10273035077328613,0.0,0.96484375,144,84.69457645202056,5.443373680114747,0.018518518518518517,0.9482421875,212
sample_00275,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7405181623931624,0.10532756076063532,0.0,0.96484375,144,84.15855127293617,5.443373680114747,0.028846153846153848,0.95068359375,202
