,X0,X1,X2,X3,X5,X6,X7,X8,X9,X10,X11,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X43,X44,X45,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67
X0,0.6974248886108398,0.0,0.0,0.0012386937160044909,0.0,0.0,0.02713211253285408,0.0,0.0,0.004933071788400412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005513718933798373,0.0,0.0,0.0,0.0,0.0044763279147446156,0.0,0.0,0.010883502662181854,0.0,0.0005807752604596317,0.0,0.0,0.0,0.0,0.0,0.0,0.013379654847085476,0.0008545766468159854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X1,0.0,0.6644871234893799,0.026368888095021248,0.0,0.008825572207570076,0.0,0.0,0.0,0.005918505135923624,0.0,0.020808208733797073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003144496586173773,0.0,0.0,0.001985020935535431,0.006549124140292406,0.001071009086444974,0.0,0.0,0.0028761415742337704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X2,0.0,0.0,0.6499432921409607,0.0,0.0,0.01298605464398861,0.017665022984147072,0.015137908048927784,0.012524474412202835,0.0018997606821358204,0.011890405789017677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X3,0.0016051200218498707,0.0,0.005486170761287212,0.6396092176437378,0.003999225329607725,0.023701298981904984,0.0,0.022110706195235252,0.01584196649491787,0.0,0.026209888979792595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002248601522296667,0.004317134153097868,0.0,0.0015986160142347217,0.0,0.0,0.0,0.0,0.0,0.0008847827557474375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X5,0.0010819730814546347,0.012879006564617157,0.0,0.0,0.6708455681800842,0.0,0.003964609932154417,0.0,0.0,0.0,0.021488294005393982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X6,0.0,0.0,0.007551888003945351,0.019967524334788322,0.0,0.6823615431785583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025507931131869555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014706309884786606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008926673792302608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006703594233840704,0.011639932170510292,0.019445177167654037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X7,0.0,0.018373558297753334,0.03249412402510643,0.013865726999938488,0.04686757177114487,0.0,0.5269366502761841,0.007315197493880987,0.009536347351968288,0.0,0.0932348221540451,0.0,0.0,5.4793428716948256e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006579776760190725,0.0,0.013316312804818153,0.0,0.0001747668720781803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X8,0.0,2.1723099052906036e-06,0.0,0.0,0.0,0.006013440899550915,0.0032020851504057646,0.6893260478973389,0.0,0.016474846750497818,0.0,0.0,0.0,0.0,0.0,0.0,0.002205571159720421,0.0022085891105234623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X9,0.0,0.0,0.025779664516448975,0.026764480397105217,0.0010273258667439222,0.0,0.006913288030773401,0.0,0.676623523235321,0.0,0.011566082946956158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049477918073534966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X10,0.004254463128745556,0.0,0.015021155588328838,0.0,0.0,0.0024269497953355312,0.0,0.024684395641088486,0.0,0.6688398718833923,0.017507169395685196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020614195615053177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007481570355594158,0.0,0.0,0.0,0.0054336837492883205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004569485317915678
