,X0,X1,X2,X3,X5,X6,X7,X8,X9,X10,X11,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X43,X44,X45,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67
X0,0.7085728645324707,0.0033838178038422483,0.0026202913199085743,0.00598378517315723,0.002610957928845892,0.0004978673096047714,0.008273009592812741,0.0025310545781394465,0.0019149131632730132,0.004156876874208138,0.0005309627624228597,0.00037301745069271417,0.0004113114642677829,0.0003091126913204789,0.0003827195323538035,0.00035684380859493106,0.0005279612903905217,0.00026015434123110025,0.00015326786087825893,6.41453479829579e-05,3.750569885596633e-05,0.00011003059335052967,4.287889751140028e-05,0.0,1.8415588601783384e-05,5.48827257262019e-05,0.00016218257369473576,6.0969138576183465e-05,0.0,0.0,3.189717826899141e-05,0.00016787293134257197,0.0005579993143328465,0.0003231577487895265,0.0008754268172197043,0.0006772591994376853,5.724497023038566e-05,0.00041554906783858314,0.00014590026103178388,0.0002554729173425585,9.906073100864887e-05,0.0005746965332946274,0.0005886848433874547,0.00034219624649267644,0.0005167932598851621,0.00029749437235295775,0.0006189596113472362,0.00044617913372348996,0.0005699380315490998,9.54582359554479e-05,0.0004588167299516499,0.0003193551965523511,9.733705228427425e-05,0.0,0.0,7.717970875091851e-05,0.0,0.0,5.8881171571556476e-05,0.00012131402618251741,0.0,4.071767325513065e-05,0.00017500993562862276,9.655649773776531e-05
X1,0.00826346956891939,0.670906999707222,0.027068657637573778,8.709929534234107e-05,0.004533526096929563,0.0039102063052268935,0.007550425053341314,0.001129330592812039,0.007914150541182607,0.002412836524490558,0.00612005447037518,0.0005403330782428384,3.612354921642691e-05,0.0003079552436247468,4.986664898751769e-05,0.00015813663485459984,8.018325825105421e-05,7.808667724020779e-05,0.0004575526281769271,0.00013090609572827817,0.0,1.4684844063594938e-05,0.0001034317712765187,1.9607135618571193e-05,0.0,2.2962978619034404e-06,0.0,0.0,0.0,0.0,9.676166519057006e-05,0.0,0.00029030634032096715,0.0007500637781049591,0.0003369144047610462,0.0002642340987222269,0.00018812159541994333,0.0006674600474298132,0.0003057838941344926,0.0006452609406551347,0.0008101320534478873,0.006856691555003636,0.00011999289272353053,0.00028625293634831905,0.000108216836633801,0.00032065500854514537,0.0004867681534960866,6.554546853294596e-05,0.00028337367111817,0.00047896025935187934,0.00030487511030514726,0.0001064819807652384,0.0,1.420229091309011e-05,0.0,6.402298749890179e-05,0.0,8.660996099933982e-05,0.0,0.0,0.0,4.982831887900829e-06,0.0,0.0
X2,0.0013795595805277117,0.0010748507163953036,0.6703168869018554,0.0010775457776617259,5.045305588282645e-05,0.008996202917478513,0.00826787855476141,0.005782406945991169,0.011990714490457322,0.009170238007209263,0.012718333245720715,0.0,9.643526582294725e-05,0.0001844457961851731,0.00017607340851100162,0.0,0.0,4.2030678014270964e-05,0.0002589229625300504,0.0,2.068125904770568e-05,0.0,0.0,0.0,0.0,4.83257113955915e-05,0.0,0.0,0.0,0.0,0.0,2.2838534277980215e-06,4.7067241393961015e-05,0.00030474066734313964,0.0005917712289374322,0.0002935092488769442,0.0,0.000129785698663909,5.200105078984052e-05,1.790333044482395e-05,0.0,3.1187065178528425e-05,0.0001259561046026647,0.0,0.00025231007020920515,1.2817070819437504e-05,3.636348992586136e-06,0.0006261923495912925,2.0899722585454583e-05,0.00016438306192867458,0.0,0.0,0.0,3.1071365810930727e-06,0.0,6.93582227540901e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X3,0.0020128874595684463,0.0006046095742021862,0.01136228246614337,0.6510876148939133,0.002638066653162241,0.021525568037759513,0.007946049846577808,0.015518367793993093,0.0117659220675705,0.002074639585043769,0.0202380059636198,2.939663900178857e-05,6.432656082324683e-05,0.0001084062880181591,0.00010082037188112736,8.764548110775649e-05,0.0002511718834284693,0.00017181348812300712,0.00020591464272001758,7.174113125074655e-05,0.0,0.0,0.0,0.0,1.8672551959753037e-06,0.0,1.3689463958144189e-05,0.0,0.0,0.0,0.0,0.0001093921804567799,0.00039308048289967703,0.00031398945866385476,0.0007049376567010768,3.501464379951358e-05,0.00029249564104247836,0.0003852920443023322,0.0001660841458942741,0.0009246596542595853,0.000960767877404578,3.49417059624102e-06,0.0002155797090381384,0.00014270984393078835,0.000863347272388637,0.00018439171835780144,0.00014156379038468003,0.0006862566980998964,9.186623501591384e-05,0.0009688437625300139,8.094877703115344e-05,3.161284839734435e-05,1.2001162394881248e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X5,0.0016397074912674725,0.010742532392032444,0.007818730807048268,0.00018792977498378606,0.672329118847847,0.003575369593454525,0.010220487728656736,0.0001672191545367241,0.00016118039784487336,0.0038598130588070488,0.01261416326451581,0.00016681117776897735,0.0001666240394115448,0.0012265435594599693,0.00034794133971445264,0.0001858533621998504,0.002712678728494211,0.0010408468080640887,0.00023687129141762852,0.0001419577281922102,0.0,0.0,0.0,0.0,3.2395916059613226e-05,0.00012789490865543484,4.270468198228627e-05,0.00012567780213430525,3.786114684771747e-05,0.0,0.0,0.0,0.00011976387177128344,0.00019343130989000202,0.0004931284347549081,0.0001813472801586613,6.447588675655425e-05,8.407613495364786e-06,0.00020098077948205173,6.870144279673696e-05,0.0003175478894263506,0.0002745607227552682,0.00020488302689045668,0.0,0.00014654422411695123,0.00014869464212097228,0.000385683320928365,0.0004893465695204214,0.0,4.9962670891545714e-05,0.00020107174641452729,0.00010279796551913024,0.0,0.0,0.0,4.468328188522719e-06,0.0,0.0,0.0,0.0,0.0,5.148283089511097e-05,3.987189484178089e-06,0.0
X6,0.0004263465118128806,0.000912698736647144,0.00223041387507692,0.009747184164007194,0.0023946870293002575,0.6790369227528572,0.0036681022553239017,0.00020450861047720536,0.00644804600669886,0.0027343054447555915,0.01058790088573005,0.00020050096791237592,6.020022556185722e-06,0.0011218857907806523,0.0003255320363678038,0.00014381984947249294,0.00019376991549506782,0.0006376032484695316,0.0003840855017188005,0.00013702342985197902,8.219217415899039e-05,1.923884847201407e-05,1.2373103527352213e-05,0.00017269347154069692,1.1798529885709286e-05,4.9225201655644925e-05,0.00011981400602962821,0.00015544490888714791,0.0001429195166565478,3.950001555494964e-05,0.0002081187441945076,2.3546587908640503e-05,0.0001486832567024976,0.0002844700764399022,0.00015511767287534894,0.00023198522358143238,0.0010258136435368215,0.0004659953934606165,0.0004959264537319541,0.0005216427729692441,0.000551830412587151,0.0003452281758654863,0.0007265821157488972,0.001776216522193863,0.002160004887264222,0.00019346742774359882,0.00021095792762935162,0.0026777542429954337,0.001125901215709746,0.002273742925899569,6.809377227909864e-05,0.0003970686451793881,0.0,0.00010496828472241759,3.864391474053264e-05,0.00013063091028016062,0.00015162309864535928,4.7952504246495664e-05,8.700847683940083e-05,4.7241183347068726e-05,0.00021515385597012938,4.699489218182862e-05,5.46256938832812e-05,0.00017491631442680954
X7,0.0013520986394723877,0.007402939299936406,0.030931681406218558,0.005223286454383924,0.015557918359991162,0.006100100123148877,0.5694143451750279,0.005025938740800484,0.026324020273750647,0.0034094043425284327,0.09096755988430232,0.0001983893453143537,5.244691856205463e-05,4.765990879604942e-05,0.0003315129433758557,0.00010211439948761835,0.0003993476493633352,0.0002527377859223634,9.865760221146047e-05,0.0001260476594325155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005903175013372674,0.0009105623466894031,0.0008758875832427293,0.0007803809363394976,2.2222736151888967e-05,0.00038436797349277184,0.0005195489778998308,0.00033596708672121165,4.1176332160830494e-06,0.0,0.0014993257354944944,0.0015536947437794879,0.0012048136268276721,0.0011033251154003664,0.0004246969474479556,0.0018531144232838415,7.236950332298875e-05,0.0010361259777710075,0.0004988587053958327,0.0006413780611183029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X8,0.0007150761870434508,0.0018328462057979778,0.0004528846926405095,0.003519067185698077,0.0027141113132529426,0.0014934211809304542,0.0071610507817240435,0.6942921936511993,0.00014787709224037827,0.006993858888745308,0.004850776384409982,3.966529038734734e-05,0.00032032341696321966,0.00023002031157375312,0.0017269658506847917,0.0007749524171231315,0.001047613943228498,0.0010631816621753387,0.00015730839222669602,0.00014151778450468555,5.283257632981986e-05,1.8967140931636095e-06,0.0,1.4750695845577866e-05,0.0,6.580449116881937e-05,0.00029364823712967335,0.0010032401791249868,0.0,9.81170538580045e-05,6.027985364198685e-07,0.00010273035150021315,0.0004012382989458274,0.00015844159061089157,1.1474463826743886e-05,7.18844237326266e-06,1.2753793271258473e-05,0.0002791718710795976,0.00035214092349633574,0.00022220021928660573,0.0003289119689725339,8.046386210480705e-05,0.0002266905445139855,0.00010209374886471778,0.00015956309653120115,2.7945930196437984e-05,0.0003882909717503935,0.00010364694753661752,3.673464452731423e-05,0.00030412066771532407,0.00015185694828687702,4.641004925360903e-05,9.320201934315264e-05,0.0,0.0,1.740814186632633e-05,1.0440882761031389e-06,0.00013124553952366115,0.0,0.0,3.753977644009865e-05,0.0,0.0,0.0
X9,0.003582999487844063,0.00031988258051569575,0.019950305169913918,0.024151143617928028,0.002696121530607343,0.0006749528460204601,0.05241048284224235,0.0009266938577638939,0.6348862633109092,0.0003485710709355772,0.004846945800636604,0.0002553759724833071,0.0006891852346598171,0.0005306639126501977,0.0006345979927118606,0.0005672367056831718,0.0005996002029860393,0.0003837170806946233,0.00036768622521776706,8.386731497012079e-05,6.474129040725529e-05,0.0,6.997404270805418e-05,0.0,5.440897075459361e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.4841225240379573e-06,0.0006718600983731448,0.00016315157772623935,0.0005496946221683174,0.00013781054876744748,0.0005850787158124149,0.00026994636646122673,0.00042231682746205477,0.00024042376899160444,0.00011834236211143434,0.0,0.0006207668746355921,0.000767015217570588,0.00047073781897779556,0.00037887079524807633,0.0004888895055046305,9.606247767806053e-05,0.0002586062648333609,0.0001785738073508014,0.0006907129609317053,0.0004335736266511958,6.723162387061166e-05,4.382838087622076e-05,0.0,3.0650582630187275e-06,0.0,0.0,0.0,1.1858833750011399e-05,0.0,0.0,0.0,0.0
X10,0.008477910996589344,0.00032284075277857485,0.030042724648956208,0.0004913499404210597,0.008197429109713994,0.004247931644204073,0.04100122999225277,0.02156802099198103,0.0008339550462551415,0.6257149383425713,0.008154310620739125,8.287059681606479e-05,0.00019220578251406551,8.549731428502128e-05,0.0006933740805834532,9.785757320059929e-05,9.456984698772431e-05,0.00023959609679877759,0.0003426471549573762,0.0002800600268528797,0.00033418024540878835,4.171309992671013e-05,0.0007071899628499523,0.00037894538836553694,5.397861241362989e-05,0.022430947539396583,5.345948738977313e-05,0.0,0.0,0.0,1.8541055032983424e-05,0.0,0.0005433182755950839,0.00046058634034125135,0.0007459708365786355,0.0004618754624971189,0.0006348387978505343,0.0005948136968072504,0.0006821042159572243,0.00019607296562753617,0.00023215870296553476,0.00015733409090898932,0.00031875371641945096,4.0177896153181795e-06,0.00014466778957284988,0.00018921619339380414,0.000782957038609311,0.00024047144688665867,0.000660720223095268,0.0005424804578069598,0.00029622557922266425,0.0006008712225593626,0.0,0.0,2.743210643529892e-05,8.630939992144704e-05,0.0,2.4275778559967876e-05,3.240774967707694e-05,0.0,8.621262313681654e-05,0.00019667162268888205,6.961165345273912e-05,0.00013290276401676238
X11,0.004848897363990546,0.00032178205728996547,0.006359481142135337,0.0047354215173982086,0.022231484932126476,0.001340756048739422,0.08965960658242693,0.004903587049921043,0.0017806821793783455,0.01760446833795868,0.5884630940854549,0.00024826758308336137,0.00011512162745930254,0.0012797411240171642,0.0006887408526381478,0.00013521196960937233,0.0004643675172701478,0.00011382182419765741,0.0008603973314166069,0.00011163109447807074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024475460850226227,0.0007557559925771784,3.789719194173813e-05,0.00020952644990757108,0.0004998795979190618,9.669455466791988e-05,0.00031443678890354934,0.000826016889186576,0.00048165931948460636,0.00032008604175643996,0.00040254897612612695,0.00046469416993204503,0.00014121185522526504,0.0002575286693172529,0.0005625452540698461,0.000956428173230961,0.0006796663627028465,0.0005964573356322944,0.0002466270700097084,0.00012181193451397121,0.0,0.0,0.0,3.412215737625956e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X13,0.0003947559860534966,0.0003679228597320616,6.922553875483572e-05,0.00037514822906814516,0.00010439005018270109,0.0,0.00014099148102104665,0.00032454108877573163,0.0006474556517787278,0.0002884324814658612,0.0005563485268794466,0.695876894891262,0.00071608045254834,0.0016973477759279377,0.016777440026635303,0.00014467816217802464,0.02291893422952853,0.004818652212270536,0.00482346483040601,0.0036481913601164708,0.00023077514742908534,0.00032462450908496974,0.0002596537204226479,0.00012445052270777525,0.0015969564599799923,0.0007432680402416735,0.0,0.00020332983112893998,1.243407023139298e-05,0.001535644159594085,0.00033324332289339507,0.00019336329423822463,0.00015704550314694644,5.7532725622877476e-05,0.00017115508089773356,5.092175269965083e-05,0.0003649635589681566,1.3752315135207028e-05,4.2870836114161645e-05,0.00012533075059764087,0.00024484448731527665,0.00020533469505608083,0.0007172307425207692,0.00024931526204454715,0.00034159490023739637,0.00021848998439963908,0.0015962360455887392,4.631296033039689e-05,0.0007363733253441751,0.00013102447992423548,0.0004894967540167272,0.007343573596153874,6.715065101161599e-05,0.0,0.0,9.232196025550365e-05,0.00010153534822165966,0.0,0.0,0.0,4.34314162703231e-05,0.0,9.114417480304837e-05,0.0
X14,4.096748307347298e-06,0.00021086959168314934,0.00010074725141748787,0.00012623280636034906,0.0003529041074216366,6.367149762809277e-05,3.852733061648905e-05,3.403793525649235e-05,0.0002686466003069654,5.930033148615621e-06,0.00026491056487429885,0.0023145196377299727,0.6924078956246376,0.003091751487227157,0.017631801904644816,0.003320775275642518,0.013792364537948743,0.013752547325566411,0.001648675528122112,0.004135760910321551,0.0001337272464297712,3.045404446311295e-05,0.0,3.47151595633477e-05,0.0,0.0,5.965691525489092e-05,0.0,4.6881144226063046e-05,0.0,6.566079100593925e-05,0.0,0.00017111521447077394,9.061385062523187e-05,2.139921998605132e-05,0.0004285110626369715,0.0005132161779329181,2.9451248701661824e-05,0.00013419644965324552,0.00018116693099727853,0.0002541220121202059,0.0004392793358420022,0.0015896733617410063,0.0007456704006472137,0.001120116710808361,8.094323566183448e-05,0.00022932494030101225,0.0007075423302012496,0.0006074594140955015,0.0006872328580357134,0.0004452837689314038,0.0,0.00013121131632942706,0.0,0.0,0.0,0.0,0.00010619982458592858,0.0,0.0,4.528660792857409e-06,0.0,3.1822151504457e-05,0.0
X15,0.0002206338191172108,0.0004557073007163126,0.0005087194600491785,0.0009063720644917339,0.00018253052548971026,0.0008403031737543642,0.0009698870097054168,0.0005772367119789123,0.004430547283845954,0.00024806405417621136,0.003361513785785064,0.001564520459214691,0.0011279070866294205,0.6824099272489548,0.003762137971352786,0.002410769110429101,0.008247408375609666,0.003577795359888114,0.024652265117038042,0.002640837630315218,0.0002627827692776918,0.00010281253489665687,0.00030229166441131383,0.0004064176588144619,0.00021863236324861645,0.0003855059614579659,0.000636285328073427,0.0007966753270011395,0.0004596661714458605,0.0012481458266847766,0.00011387587292119861,0.0003105972369667143,0.0004348310350906104,0.00041385749391338323,0.000601814216497587,0.00012765572610078378,0.00029957775841467084,0.0001311345215071924,0.0004396674587042071,0.00018311773310415448,0.0007913582670880714,9.89208318060264e-05,0.000890432829328347,0.00016360451409127563,0.0003693583159474656,0.0003414998122025281,0.00047719790309201925,0.0005245036096312106,0.000690442840277683,0.00041872432120726444,0.0004994053742848337,0.0007168097188696265,0.0001010826788842678,2.545780735090375e-05,8.426218410022557e-05,8.982744147942868e-05,2.7612142730504274e-05,8.307504467666149e-05,9.986993391066789e-05,0.000124419794883579,0.0001165305613540113,0.00018654877785593272,0.0,3.124842514807824e-05
