,X0,X1,X2,X3,X5,X6,X7,X8,X9,X10,X11,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X43,X44,X45,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67
X0,1.0,0.375,0.425,0.55,0.375,0.2,0.725,0.3,0.275,0.525,0.05,0.1,0.075,0.1,0.125,0.125,0.15,0.075,0.05,0.125,0.025,0.025,0.025,0.0,0.075,0.075,0.025,0.075,0.0,0.0,0.025,0.05,0.175,0.125,0.2,0.125,0.05,0.125,0.075,0.1,0.025,0.15,0.075,0.125,0.075,0.1,0.25,0.1,0.175,0.075,0.125,0.1,0.1,0.0,0.0,0.05,0.0,0.0,0.05,0.075,0.0,0.05,0.075,0.075
X1,0.825,1.0,1.0,0.075,0.525,0.525,0.575,0.275,0.65,0.375,0.45,0.125,0.025,0.125,0.075,0.075,0.075,0.075,0.175,0.025,0.0,0.025,0.05,0.025,0.0,0.025,0.0,0.0,0.0,0.0,0.075,0.0,0.1,0.25,0.1,0.1,0.075,0.2,0.1,0.125,0.175,0.8,0.1,0.075,0.05,0.15,0.125,0.075,0.075,0.075,0.125,0.075,0.0,0.025,0.0,0.05,0.0,0.025,0.0,0.0,0.0,0.025,0.0,0.0
X2,0.275,0.2,1.0,0.2,0.075,0.825,0.625,0.725,0.825,0.825,0.8,0.0,0.075,0.075,0.1,0.0,0.0,0.025,0.125,0.0,0.025,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.05,0.125,0.1,0.075,0.0,0.125,0.05,0.025,0.0,0.075,0.025,0.0,0.05,0.025,0.025,0.1,0.025,0.05,0.0,0.0,0.0,0.025,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X3,0.4,0.225,0.925,1.0,0.35,0.975,0.525,0.95,0.775,0.425,0.875,0.05,0.025,0.1,0.025,0.05,0.05,0.1,0.1,0.05,0.0,0.0,0.0,0.0,0.025,0.0,0.025,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.175,0.025,0.1,0.15,0.075,0.2,0.3,0.025,0.05,0.125,0.225,0.125,0.025,0.175,0.025,0.15,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X5,0.325,0.925,0.775,0.05,1.0,0.425,0.7,0.025,0.05,0.55,0.85,0.05,0.075,0.225,0.075,0.1,0.6,0.325,0.05,0.05,0.0,0.0,0.0,0.0,0.025,0.025,0.025,0.075,0.025,0.0,0.0,0.0,0.075,0.05,0.1,0.075,0.05,0.025,0.075,0.025,0.05,0.175,0.05,0.0,0.05,0.075,0.075,0.15,0.0,0.05,0.05,0.025,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.0
X6,0.1,0.2,0.225,0.625,0.275,1.0,0.3,0.1,0.5,0.325,0.65,0.075,0.05,0.35,0.1,0.025,0.075,0.25,0.15,0.025,0.05,0.025,0.025,0.1,0.025,0.075,0.05,0.075,0.1,0.05,0.025,0.025,0.1,0.1,0.125,0.1,0.175,0.15,0.075,0.15,0.15,0.125,0.125,0.425,0.325,0.05,0.075,0.4,0.2,0.4,0.025,0.2,0.0,0.075,0.025,0.075,0.05,0.025,0.05,0.025,0.125,0.075,0.05,0.075
X7,0.275,0.7,1.0,0.425,0.675,0.675,1.0,0.55,0.875,0.35,1.0,0.05,0.025,0.075,0.05,0.05,0.15,0.075,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.125,0.1,0.1,0.025,0.125,0.15,0.125,0.05,0.0,0.275,0.325,0.275,0.225,0.1,0.425,0.05,0.25,0.175,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X8,0.225,0.45,0.1,0.35,0.475,0.375,0.625,1.0,0.05,0.7,0.525,0.025,0.125,0.125,0.375,0.275,0.225,0.45,0.05,0.075,0.05,0.025,0.0,0.025,0.0,0.075,0.1,0.35,0.0,0.05,0.025,0.05,0.15,0.05,0.025,0.05,0.025,0.15,0.05,0.05,0.125,0.1,0.1,0.05,0.075,0.05,0.125,0.05,0.05,0.15,0.075,0.05,0.025,0.0,0.0,0.025,0.025,0.025,0.0,0.0,0.05,0.0,0.0,0.0
X9,0.475,0.1,0.975,0.925,0.325,0.25,0.75,0.225,1.0,0.075,0.45,0.15,0.175,0.15,0.2,0.1,0.125,0.1,0.2,0.05,0.025,0.0,0.05,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.125,0.1,0.1,0.05,0.15,0.075,0.15,0.075,0.075,0.0,0.15,0.2,0.15,0.125,0.15,0.05,0.075,0.125,0.175,0.175,0.05,0.025,0.0,0.025,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0
X10,0.75,0.1,1.0,0.075,0.725,0.475,0.7,0.975,0.1,1.0,0.625,0.05,0.075,0.075,0.225,0.1,0.075,0.075,0.125,0.1,0.1,0.025,0.1,0.15,0.025,1.0,0.025,0.0,0.0,0.0,0.025,0.0,0.15,0.15,0.2,0.2,0.125,0.125,0.125,0.1,0.15,0.1,0.1,0.025,0.075,0.1,0.15,0.075,0.15,0.15,0.15,0.125,0.0,0.0,0.075,0.05,0.0,0.025,0.025,0.0,0.075,0.125,0.05,0.05
X11,0.625,0.15,0.55,0.375,0.9,0.275,1.0,0.375,0.225,0.85,1.0,0.05,0.1,0.275,0.225,0.05,0.125,0.075,0.175,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.175,0.05,0.1,0.15,0.075,0.125,0.15,0.15,0.15,0.125,0.15,0.05,0.175,0.15,0.15,0.15,0.075,0.075,0.05,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X13,0.1,0.15,0.05,0.1,0.05,0.0,0.075,0.125,0.125,0.1,0.2,1.0,0.175,0.4,0.95,0.05,0.975,0.525,0.6,0.575,0.125,0.075,0.15,0.1,0.425,0.275,0.0,0.125,0.025,0.35,0.175,0.075,0.05,0.05,0.1,0.05,0.075,0.025,0.05,0.05,0.125,0.075,0.2,0.1,0.1,0.075,0.35,0.025,0.125,0.1,0.2,0.75,0.025,0.0,0.0,0.05,0.075,0.0,0.0,0.0,0.025,0.0,0.05,0.0
