,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63
ROI0,0.5021471977233887,0.05281941592693329,0.07799552381038666,0.0,0.003341199830174446,0.08416499942541122,0.22746847569942474,0.0,0.0,0.01395806111395359,0.0,0.0,0.0,0.0,0.0,0.026492757722735405,0.009537900798022747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04745600372552872,0.0,0.0,0.007200233638286591,0.0,0.005418300628662109,0.02981102466583252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017861301079392433,0.0043676323257386684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006429606000892818,0.0,0.0,0.0
ROI1,0.08352308720350266,0.6382452249526978,0.13073861598968506,0.046300966292619705,0.009592854417860508,0.18042461574077606,0.3139013946056366,0.04562964662909508,0.012402568012475967,0.060693394392728806,0.0,0.0,0.01663307473063469,0.01756153255701065,0.007889067754149437,0.0116822998970747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00697550131008029,0.17036163806915283,0.0,0.0,0.0,0.016634514555335045,0.0,0.0,0.0012592090060934424,0.0007229505572468042,0.0,0.0,0.0,0.0019656792283058167,0.0,0.0221540704369545,0.018656400963664055,0.0,0.029825763776898384,0.004101181402802467,0.0,0.010239873081445694,0.0,0.0,0.0,0.0,0.0,0.01873139850795269,0.0,0.0,0.03338070213794708
ROI2,0.08255941420793533,0.13463275134563446,0.5500195622444153,0.03520682081580162,0.016649514436721802,0.1329820156097412,0.13359078764915466,0.0016623050905764103,0.0,0.03083859570324421,0.0,0.0,0.042115386575460434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007328417268581688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010646916925907135,0.0,0.0,0.0,0.0,0.0030761919915676117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022358503192663193,0.0,0.000716994924005121,0.001387973316013813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROI3,0.0,0.4204334318637848,0.10902173817157745,0.11322718858718872,0.0,0.09408823400735855,0.12598633766174316,0.02554135024547577,0.0,0.0,0.02061227150261402,0.0,0.0149654196575284,0.0,0.0,0.040112558752298355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215482696890831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011972666252404451,0.0,0.0,0.0,0.005145941860973835,0.0008444583509117365,0.0,0.0,0.0,0.03236077353358269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROI4,0.1312718242406845,0.0,0.09143992513418198,0.0,0.47899556159973145,0.1698293834924698,0.18780480325222015,0.0,0.0,0.058464691042900085,0.0,0.0,0.0,0.0,0.0,0.028030652552843094,0.0,0.0,0.0,0.0,0.0,0.02248685620725155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021365202963352203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018162298947572708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008037557825446129,0.029805615544319153,0.03411075472831726,0.0,0.0
ROI5,0.01293027214705944,0.00011535780504345894,0.10125061869621277,0.0,0.009916453622281551,0.5717687010765076,0.1784147024154663,0.0,0.007888932712376118,0.0006824471056461334,0.0,0.0,0.0028764400631189346,0.0450250506401062,0.0,0.006606562063097954,0.03751051425933838,0.0,0.0,0.0,0.006591211073100567,0.0,0.009364042431116104,0.0,0.0,0.0,0.0,0.0,0.0,0.0036523614544421434,0.0,0.005224835127592087,0.0,0.032025665044784546,0.0,0.0,5.454011261463165e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004790176171809435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROI6,0.0,0.012001756578683853,3.2326208838640014e-06,0.0,0.03366928920149803,0.04023967683315277,0.7335584759712219,0.0,0.0,0.09019133448600769,0.0,0.0,0.0,0.0,0.0,0.06416221708059311,0.0,0.0,0.0,0.020552970468997955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004438623785972595,0.0,0.011599000543355942,0.0,0.0,0.0,0.0,0.0,0.0,0.004237424582242966,0.0,0.0,0.0,0.00438818009570241,0.0,0.0,0.02989736571907997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044722285121679306
ROI7,0.06567975133657455,0.36763516068458557,0.1302843689918518,0.053941063582897186,0.0,0.03596221283078194,0.16668756306171417,0.12245159596204758,0.0,0.016423555091023445,0.0,0.0,0.0,0.0,0.0,0.01649845391511917,0.0,0.0,0.0,0.0,0.0,0.0,0.0016350671648979187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23772135376930237,0.0,0.0,0.0,0.0,0.0,0.0,0.0070959837175905704,0.0,0.0,0.0,0.0,0.0017042816616594791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026767238974571228,0.0,0.0,0.0,0.0,0.0,0.005338615737855434,0.0,0.0,0.0
ROI8,0.0,0.0,0.0,0.0,0.007257321383804083,0.0,0.0,0.0,0.3679724931716919,0.017376819625496864,0.08001566678285599,0.0,0.12270882725715637,0.0,0.0,0.009658396244049072,0.0,0.0,0.0,0.0028099389746785164,0.0,0.07426220178604126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010926758870482445,0.0,0.024384938180446625,0.0,0.0,0.0,0.011675985530018806,0.0,0.0,0.0,0.023340541869401932,0.0,0.0,0.0,0.3877984881401062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009301080368459225,0.0,0.0,0.0,0.01938408985733986,0.0,0.010192062705755234
ROI9,0.0,0.0,0.0,0.0,0.0,0.0,0.001975525636225939,0.0,0.02341766469180584,0.14801986515522003,0.33926624059677124,0.24859952926635742,0.23476901650428772,0.22740302979946136,0.13005828857421875,0.0781349241733551,0.0,0.0008364740642718971,0.02718135342001915,0.018589219078421593,0.0,0.0,0.0,0.044651180505752563,0.00074590282747522,0.015518860891461372,0.02444128692150116,0.09972787648439407,0.01631251350045204,0.019360404461622238,0.027496296912431717,0.09185430407524109,0.02079407125711441,0.0,0.0,0.0,0.015792855992913246,0.015526940114796162,0.03179583698511124,0.020754266530275345,0.0,0.012325177900493145,0.029926631599664688,0.0,0.04018264263868332,0.0,0.02320786379277706,0.03300130367279053,0.005166156217455864,0.0,0.0006397594697773457,0.00044563415576703846,8.034078200580552e-05,0.0,0.00019034207798540592,0.002650690730661154,0.017407307401299477,0.0004977716598659754,0.005642913281917572,0.0,0.0,0.005472606047987938,0.0077198161743581295,0.0
