,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63
ROI0,0.4940788185596466,0.14428680267184973,0.07799893151968718,0.022699888146016745,0.046144722139288205,0.08666680905036628,0.24928785502910614,0.017068284591368867,0.0017367904866114258,0.008304383675567805,0.008056339281611145,0.0039137524669058624,0.003987565459683537,0.006839293465018273,0.0033608345268294217,0.011187622291181469,0.008182024909183383,0.001472652512602508,0.007019755109213293,0.0032086092649842614,0.005272601828910411,0.0026490597146039364,0.013143170482944697,0.002353714304044843,0.00440614644670859,0.002805727049999405,0.008037601621472277,0.0058398682670667765,0.005263342270482098,0.007823027922422626,0.009295967174693942,0.0033368630101904273,0.006511812787503004,0.005147995353472652,0.009540866427123547,0.0065750322258054435,0.0028757156000938267,0.008210757421329618,0.007163328889291733,0.005588649874262046,0.005072328333044425,0.00038649252615869045,0.0039262483408674595,0.011133504286408424,0.013069013406056911,0.0045775131532172966,0.004076914099277929,0.0073610836872830985,0.00590575432870537,0.004146820595487952,0.008344614133238792,0.007825174850877374,0.006709812530316412,0.0029511577865923757,0.00362502463394776,0.0027299071755260227,0.005047040292993188,0.008599790059961379,0.0008634138572961092,0.002692992207594216,0.0030477328831329943,0.0035294570191763343,0.0012561912927776574,0.004557030801661313
ROI1,0.06430728539824486,0.6002147275209427,0.06883080137893557,0.08161569762043655,0.05624743857885733,0.07861153366975486,0.23299781911075115,0.08391235281713307,0.004486992936581374,0.0069922788813710215,0.007064569177455269,0.006618322785943747,0.004777303859591484,0.007586867222562433,0.009147696511354298,0.007198487378191203,0.012961984570138156,0.009430276341736316,0.006899711135774851,0.0041438526424462906,0.0046945116308052095,0.00559199282550253,0.013294883365815621,0.005415582497371361,0.00867968264967203,0.01609848217558465,0.00701809504999801,0.011031540314434096,0.005135165331885219,0.00795149637851864,0.0060079689719714224,0.008167770388536156,0.004023112948052585,0.02955619719810784,0.11488297209143639,0.009556779051199555,0.011560188010334968,0.015080978153273463,0.016432279916480184,0.011027475840674015,0.004193049967288971,0.0029788553691469134,0.010779348253272474,0.00967685280367732,0.007448044479824603,0.008738383837044238,0.0034248727886006234,0.00992576653836295,0.006315759369172156,0.010833115139394067,0.009816741976537742,0.009419421493075788,0.006849985592998565,0.0052907141856121595,0.005221796520054341,0.005015173759311438,0.006469571944326163,0.006005818154662847,0.010263676476024558,0.011284244730486535,0.008054615911096335,0.008727946113795041,0.007071309895254671,0.01276945272111334
ROI2,0.10812218013452365,0.16287848025560378,0.45891487926244734,0.028225804306566717,0.0523602310824208,0.08173935150261968,0.2604836684465408,0.014434459663461893,0.003281892770901322,0.006141490815207362,0.010831717229448258,0.0034923855983652174,0.006274547532666474,0.004075603191740811,0.003639036686508916,0.007842706281226129,0.004215790963498876,0.0032483148016035556,0.009859197154873982,0.004829631135798991,0.008971516229212283,0.004637866299599409,0.010115249749505893,0.00591131625638809,0.0019028810039162635,0.0037991890823468565,0.0031478984700515867,0.005274726059278692,0.0030810298887081443,0.009674196601845325,0.005689644624944776,0.007180471599567682,0.0035133587347809226,0.009921365696936846,0.01514603806193918,0.007696035059634596,0.0019158484402578323,0.0062403300078585746,0.00721955506132872,0.007869458696804941,0.006941952230408788,0.002915280316956341,0.005167877711355687,0.0030154746863991022,0.010676850694580934,0.0038301725080236793,0.005370506895706058,0.00943592821713537,0.006919036768376827,0.002232740558683872,0.008670413601284963,0.0036001551942899824,0.003968985474202782,0.003312562587670982,0.0068667961645405735,0.005964479562826455,0.007969766915630316,0.01287816627882421,0.004479809533804655,0.002547579491510987,0.003365076668560505,0.006597903412766754,0.005889734220691025,0.003501753476448357
ROI3,0.015487060367595404,0.4454794180393219,0.039942965600639584,0.15841660045087338,0.02033937174361199,0.03510298939421773,0.14064951352775096,0.08771890461444855,0.0009206969803199172,0.0038715946092270316,0.005576844266615808,0.003872988340444863,0.003768001887947321,0.005451516504399479,0.0026479087676852943,0.007024225585628301,0.00533320963382721,0.0019062547071371228,0.0017485634330660104,0.00021516795270144938,0.0015840436657890678,0.0014698932645842433,0.01026131076272577,0.0011084788013249636,0.001615569347050041,0.004443995754700154,0.010948356334120035,0.013307588943280279,0.001660865619778633,0.0044260198179836155,0.0033600296545773746,0.006978736398741603,0.004516507815569639,0.032993759689852596,0.18440730057656765,0.005969889471307397,0.002962337979115546,0.003393981782719493,0.005088169486261904,0.002967933234758675,0.0029026663256809114,0.00040429234504699705,0.0008738522604107856,0.0026550875790417195,0.003081942731514573,0.0027113385032862423,0.0023876847786596044,0.008315779719268904,0.004216336505487561,0.0006793514685705304,0.009367935438640417,0.00835419620387256,0.0054601032054051755,0.0048763663601130245,0.0024757925700396297,0.0011445476114749907,0.001335970798972994,0.0009719647630117834,0.015017822425579651,0.008645973978564142,0.003868426741391886,0.006721734586317325,0.0017499464424327016,0.007999015455206973
ROI4,0.0843061380670406,0.07289128779433668,0.09883556491709897,0.005270487703382969,0.4819295859336853,0.09710150347091258,0.244898881316185,0.023072884529829026,0.0006130067771300674,0.007100249910727143,0.011379561531357467,0.0030076333042961777,0.002562397192232311,0.0039341258956119415,0.002926271631149575,0.007834147269022651,0.005321445446461439,0.0014168369048275053,0.006589843295514584,0.004242058731615543,0.006254455469315872,0.0018525308649986983,0.016795925101614557,0.006246123830787837,0.0017874352913349867,0.012160031571984291,0.0038138630660250784,0.002594019649550319,0.003237421582452953,0.0028753243152459616,0.007209535257716198,0.0028271458484232428,0.012612420856021345,0.009365820162929594,0.001853091303491965,0.006170836868768674,0.003084188839420676,0.005268279099836946,0.0019587585609406235,0.0027416636142879726,0.0025444221310317516,0.0008689361158758402,0.001680478238267824,0.004374772883020342,0.009658889184356667,0.005759697904577479,0.005015843174187466,0.003623744687065482,0.004042539689617115,0.0009292176179587841,0.006088505134684965,0.0057336109224706885,0.00492824891814962,0.007278937849914655,0.001590601489879191,0.004032927770167589,0.006041680104099214,0.016617120313458144,0.00289333387510851,0.004872790155932307,0.00416202425956726,0.006080596914980561,0.008433183720335365,0.007187135396525264
ROI5,0.09517748264595866,0.16061081719584763,0.07352286918088793,0.026973760728724303,0.05534769484773278,0.47061377137899396,0.24497813642024993,0.020952628278173506,0.004915571352466941,0.007899070028215646,0.01242060820106417,0.0046818089531734585,0.00585692741908133,0.006856894976226613,0.005759874465875328,0.00975808672610583,0.01478883278556168,0.02321763661690056,0.011900945155575755,0.009867605031467974,0.015540654985234142,0.011136067295446993,0.010541918694507331,0.006168927904200245,0.004504409082146594,0.004521888305898756,0.006950160858395975,0.0032547823362256167,0.005374705395952333,0.006314029362984002,0.011324265808325436,0.0030589739128481595,0.007254388807341456,0.010163639442180284,0.00760295279789716,0.008160012557636947,0.005962608344852924,0.00986671334132552,0.01081189296208322,0.005677461754530668,0.004110117116943002,0.00783239096403122,0.007669633398763836,0.0077938891435042025,0.009776078368886373,0.005965756261721253,0.0028704839196871034,0.008663345830864273,0.010484372740611434,0.003151854155657929,0.007856657116208225,0.006611129795201123,0.0076902295323088765,0.007931580623999252,0.005474583604373038,0.008882333966903388,0.00565744923427701,0.01589716173708439,0.004366969745606184,0.007277727606706321,0.007554891975596547,0.005447417390532791,0.009003116262611001,0.004426749667036347
ROI6,0.05044880238361657,0.10928715717047453,0.07450556349941052,0.018729275716468693,0.07614647729322314,0.07641578678041697,0.8268117922544479,0.031171679394028616,0.005850502168759704,0.013339174744323827,0.012502864045127354,0.007516074692830443,0.007010517967864871,0.013963216072879732,0.006511568887508474,0.014777683587599313,0.007468549590557813,0.008729701074771582,0.015174488264601677,0.008718440467491746,0.010249321397859603,0.010155559387058019,0.015722289811819792,0.008698901403695345,0.0069121768570039425,0.007748744974378496,0.007341570751741529,0.016034314842545427,0.014590843659971143,0.009404508417937905,0.013423624318093061,0.017419293452985585,0.005554242841899395,0.014729463974945248,0.01472630662843585,0.005878975074738264,0.006200421748217195,0.014296646157745271,0.008770679906010628,0.0097688604099676,0.011727775747422129,0.005834783734753728,0.005249347476637922,0.012625533691607415,0.010146356351760914,0.006376030268729665,0.006645912346430123,0.011761382000986486,0.008618336627187091,0.01065274036489427,0.012180571267381311,0.009497143514454364,0.009777917971368878,0.00939412298379466,0.007524618208408356,0.00964121825993061,0.012096673796186223,0.009904218812007457,0.00429376278509153,0.005721095392946154,0.010355267510749399,0.01243416132114362,0.005539230490103364,0.014612494260072708
ROI7,0.05173042646667454,0.4091358080506325,0.044091484914533796,0.08481365771614946,0.01365416050888598,0.025649569546803832,0.14655696134082974,0.16343702821061015,0.001793624944984913,0.002325117936125025,0.005623622601851821,0.0031397370831109583,0.003165331780910492,0.006270967847085558,0.0023701357003301383,0.005124962923582643,0.0012299247935879975,0.0013798527326434851,0.0037196695106104017,0.0020668217726051807,0.0022401835722848772,0.00025957732927054164,0.011011281639730442,0.0026754367700777947,0.0014159016334451735,0.007617769630160183,0.007233026851899922,0.010517444820143282,0.0035145895334426315,0.004095990564674139,0.0009065541578456759,0.004386238818988204,0.003914836564799771,0.037688052280573175,0.20306189777329564,0.002125969980843365,0.0019427452934905887,0.007286526230163872,0.0031124707986600695,0.003615483082830906,0.0006056455848738551,0.0013869929080829024,0.0002992232795804739,0.0056696964707225565,0.0018180227745324374,0.002143201603903435,0.0004220249131321907,0.0029331744322553276,0.003085987404920161,0.0008847343968227505,0.004020720906555653,0.004466094768140465,0.004745909590274096,0.003639679713814985,0.0017788653855495796,0.004079332873225212,0.001167307907016948,0.0028708435874432326,0.006808922830969095,0.015220680676866322,0.0026128370163496584,0.004412676664069295,0.0010319743119180202,0.005669375788420439
ROI8,0.0042351349256932735,0.0008787142159417271,0.002932395162060857,0.002946952460333705,0.003278337826486677,0.005136289151851088,0.010608325288631022,0.0008120730018708855,0.2962931835651398,0.04004256692249328,0.060953057194128635,0.04356145241734339,0.0691071106120944,0.04226644389331341,0.03647630170919001,0.022980937936808915,0.011727066608436872,0.03486216280143708,0.003409837782382965,0.005737872971221805,0.007952379952184856,0.01270701556932181,0.011064910273998975,0.003885577814653516,0.003693980015814304,0.0005710412189364433,0.0010066465148702265,0.003739470047876239,0.0011621337896212936,0.006808607527054846,0.004219542355276645,0.0054982736334568474,0.00501225097104907,0.0012388659175485372,0.003618475589901209,0.0031560350023210047,0.002682713713729754,0.0034847436542622743,0.0018565353099256755,0.004924970262218267,0.015137543138116598,0.0683366993907839,0.016459824480116368,0.009804061851464213,0.01608026761561632,0.39055937618017195,0.018370473105460406,0.012920176973566413,0.003383739893324673,0.00546071145683527,0.0046997190918773414,0.001050619101151824,0.003632533452473581,0.003440232836874202,0.007328544610645622,0.02042149462737143,0.005559010221622885,0.0023255330603569745,0.003050638008862734,0.002205345346592367,0.004085694244131446,0.005942392661236227,0.0006847899849526584,0.005525523768737912
ROI9,0.002408468634857854,0.003704675794579089,0.0034560156986117364,0.005391424084082246,0.011899057296104729,0.004840949554927647,0.0067923518130555745,0.003930083774030209,0.004401138082612306,0.6090220990777016,0.19187341317534445,0.10317932990845292,0.09175858419388533,0.11558419330045581,0.051094110133126376,0.02016657658852637,0.00840677593369037,0.0006014740688260645,0.006938593341037631,0.0031496888934634624,0.008205144312232732,0.0018357536103576421,0.009399782674154266,0.00970420113299042,0.0019374505791347474,0.0031409267574781553,0.004347330303862691,0.006889819009811618,0.007406677016988396,0.0051466085202991965,0.005054250516695902,0.0121882891561836,0.00977235435973853,0.0018949640775099397,0.004915034596342594,0.007250171871855855,0.005595400969032199,0.007218625964596868,0.01451041997410357,0.007130654663778841,0.00849048926960677,0.0026138319727033376,0.004849870502948761,0.009803743611555546,0.007614081403589807,0.006382428244978655,0.0021992459893226623,0.008387960932450369,0.00838651361875236,0.004172880151309073,0.005897140437737107,0.007822559988708235,0.006188940578285837,0.004229740967857652,0.00648670295951888,0.006234504673629999,0.0036675760948855895,0.008585030218819156,0.004975382555276155,0.0009635229175910353,0.009225239761872218,0.0052166103711351755,0.0025430218316614627,0.007431482324609533
