,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63
ROI0,1.0,1.0,0.7,0.46,0.74,0.84,1.0,0.42,0.16,0.4,0.3,0.26,0.26,0.26,0.14,0.5,0.36,0.14,0.32,0.22,0.26,0.18,0.44,0.12,0.3,0.2,0.38,0.3,0.26,0.36,0.38,0.26,0.3,0.36,0.3,0.32,0.2,0.3,0.34,0.34,0.26,0.06,0.32,0.38,0.48,0.26,0.2,0.32,0.3,0.26,0.42,0.3,0.34,0.24,0.22,0.14,0.3,0.44,0.1,0.22,0.18,0.22,0.18,0.26
ROI1,0.78,1.0,0.8,0.88,0.96,0.82,1.0,0.9,0.2,0.38,0.28,0.28,0.28,0.34,0.46,0.46,0.52,0.34,0.36,0.38,0.32,0.36,0.52,0.36,0.36,0.54,0.38,0.48,0.32,0.36,0.46,0.34,0.28,0.6,0.88,0.44,0.44,0.46,0.54,0.54,0.32,0.2,0.36,0.46,0.32,0.46,0.18,0.48,0.3,0.44,0.48,0.44,0.44,0.34,0.3,0.26,0.3,0.22,0.48,0.5,0.36,0.38,0.34,0.48
ROI2,0.86,1.0,1.0,0.48,0.72,0.78,1.0,0.42,0.2,0.3,0.44,0.24,0.32,0.24,0.26,0.4,0.26,0.3,0.44,0.28,0.42,0.24,0.44,0.26,0.28,0.28,0.18,0.32,0.2,0.38,0.32,0.46,0.3,0.42,0.32,0.4,0.18,0.32,0.36,0.42,0.32,0.18,0.26,0.2,0.36,0.26,0.3,0.3,0.34,0.22,0.4,0.24,0.34,0.14,0.34,0.32,0.48,0.54,0.24,0.3,0.28,0.4,0.28,0.24
ROI3,0.34,1.0,0.44,0.98,0.5,0.46,0.98,0.76,0.14,0.22,0.32,0.24,0.2,0.16,0.2,0.32,0.26,0.18,0.12,0.04,0.1,0.08,0.42,0.1,0.2,0.4,0.34,0.48,0.12,0.26,0.22,0.3,0.34,0.46,1.0,0.24,0.2,0.2,0.32,0.2,0.16,0.04,0.12,0.22,0.2,0.18,0.18,0.32,0.22,0.1,0.42,0.4,0.3,0.3,0.16,0.16,0.12,0.1,0.46,0.5,0.26,0.38,0.14,0.26
ROI4,0.84,0.86,0.84,0.18,1.0,0.78,1.0,0.34,0.08,0.32,0.44,0.18,0.26,0.3,0.16,0.36,0.34,0.12,0.28,0.22,0.3,0.18,0.56,0.3,0.14,0.36,0.24,0.18,0.2,0.26,0.4,0.14,0.48,0.36,0.18,0.3,0.26,0.32,0.16,0.26,0.16,0.08,0.22,0.28,0.34,0.24,0.3,0.22,0.2,0.06,0.34,0.24,0.28,0.28,0.2,0.24,0.4,0.54,0.26,0.32,0.22,0.36,0.34,0.32
ROI5,0.82,1.0,0.66,0.46,0.74,1.0,1.0,0.44,0.16,0.46,0.38,0.26,0.3,0.3,0.24,0.48,0.58,0.56,0.5,0.4,0.5,0.3,0.5,0.26,0.3,0.2,0.32,0.24,0.24,0.3,0.46,0.28,0.36,0.44,0.28,0.32,0.32,0.3,0.4,0.3,0.22,0.3,0.3,0.3,0.44,0.18,0.1,0.36,0.34,0.26,0.42,0.26,0.4,0.36,0.2,0.26,0.24,0.6,0.2,0.32,0.28,0.24,0.34,0.16
ROI6,0.8,0.88,0.78,0.62,0.9,0.88,1.0,0.62,0.22,0.44,0.52,0.3,0.34,0.48,0.34,0.46,0.3,0.32,0.42,0.46,0.4,0.36,0.46,0.36,0.38,0.22,0.28,0.38,0.44,0.4,0.44,0.52,0.3,0.54,0.32,0.24,0.28,0.48,0.3,0.36,0.38,0.24,0.36,0.48,0.46,0.26,0.3,0.38,0.38,0.44,0.36,0.36,0.38,0.46,0.38,0.36,0.46,0.46,0.22,0.26,0.42,0.42,0.22,0.38
ROI7,0.58,1.0,0.5,0.82,0.46,0.38,0.98,1.0,0.1,0.28,0.36,0.26,0.22,0.36,0.2,0.28,0.08,0.06,0.24,0.18,0.14,0.08,0.5,0.22,0.18,0.48,0.34,0.38,0.24,0.16,0.12,0.26,0.32,0.46,0.98,0.16,0.1,0.4,0.18,0.12,0.12,0.12,0.06,0.26,0.14,0.2,0.08,0.12,0.14,0.12,0.26,0.3,0.28,0.24,0.16,0.2,0.14,0.12,0.38,0.52,0.24,0.26,0.1,0.28
ROI8,0.2,0.14,0.2,0.24,0.22,0.26,0.38,0.1,1.0,0.68,0.96,0.74,0.92,0.74,0.58,0.64,0.46,0.74,0.18,0.32,0.34,0.56,0.32,0.22,0.18,0.02,0.08,0.22,0.12,0.44,0.34,0.28,0.26,0.12,0.22,0.2,0.16,0.22,0.12,0.26,0.34,0.7,0.4,0.32,0.42,1.0,0.28,0.34,0.22,0.24,0.28,0.12,0.2,0.18,0.26,0.58,0.36,0.24,0.18,0.2,0.18,0.3,0.1,0.32
ROI9,0.28,0.22,0.2,0.3,0.46,0.3,0.3,0.24,0.28,1.0,1.0,0.88,0.86,0.86,0.68,0.62,0.38,0.12,0.28,0.26,0.36,0.18,0.4,0.4,0.14,0.28,0.26,0.28,0.4,0.3,0.28,0.38,0.42,0.26,0.28,0.36,0.3,0.36,0.52,0.36,0.36,0.16,0.34,0.42,0.44,0.26,0.14,0.36,0.4,0.28,0.32,0.38,0.36,0.26,0.34,0.3,0.22,0.34,0.32,0.12,0.4,0.4,0.26,0.42
