sample_id,dataset,mode,split,num_variables,sequence_length,observed_variable_count,hidden_variable_count,ground_truth_edges,predicted_edges,auroc,auprc,f1,accuracy,shd,runtime_sec,threshold,native_binary_f1,native_binary_accuracy,native_binary_shd
sample_00250,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7653262764282501,0.10936509228748319,0.0,0.96484375,144,45.94705390604213,1.2198462486267092,0.08954179783140959,0.364501953125,2593
sample_00251,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7771100427350427,0.11451196147938465,0.0,0.96484375,144,45.875445645302534,1.2198462486267092,0.08991150442477876,0.372314453125,2559
sample_00252,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6778362924538911,0.08627638152600459,0.0,0.96484375,144,61.13815708691254,1.2198462486267092,0.1385964912280702,0.76025390625,965
sample_00253,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6982478983918129,0.09364004511689034,0.0,0.96484375,144,53.46851568296552,1.2198462486267092,0.12696148359486448,0.701171875,1208
sample_00254,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6799053924876294,0.08486621193935046,0.0,0.96484375,144,61.05230510421097,1.2198462486267092,0.12527634487840825,0.710205078125,1163
sample_00255,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7284646662730544,0.09812893172722444,0.0,0.96484375,144,53.46883124066517,1.2198462486267092,0.14285714285714285,0.7158203125,1154
sample_00256,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6682938315339632,0.07954423065071024,0.0,0.96484375,144,61.065398308914155,1.2198462486267092,0.13266162888329136,0.747802734375,1012
sample_00257,simulated_fMRI,latent,test,64,240,64,4,144,0,0.766589701417004,0.10849101598011388,0.0,0.96484375,144,45.75615016883239,1.2198462486267092,0.09381663113006397,0.37744140625,2542
sample_00258,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7192771592442645,0.09889479387721169,0.0,0.96484375,144,53.490451814141124,1.2198462486267092,0.14488188976377953,0.73486328125,1070
sample_00259,simulated_fMRI,latent,test,64,240,64,4,144,0,0.675603773054431,0.07552226681371821,0.0,0.96484375,144,60.90669013513252,1.2198462486267092,0.12612612612612611,0.7158203125,1145
sample_00260,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6759727845254161,0.08289126920088627,0.0,0.96484375,144,68.59616928594187,1.2198462486267092,0.14246575342465753,0.770751953125,924
sample_00261,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6282490581421503,0.07171265428679414,0.0,0.96484375,144,60.900720664765686,1.2198462486267092,0.11301369863013701,0.7470703125,1018
sample_00262,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7586629835807467,0.10986771997855688,0.0,0.96484375,144,45.78381474176422,1.2198462486267092,0.08966725043782837,0.365478515625,2587
sample_00263,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7056193418241116,0.08853456441766733,0.0,0.96484375,144,61.02172794286162,1.2198462486267092,0.15398230088495576,0.7666015625,940
sample_00264,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7166237910481331,0.09613929403811497,0.0,0.96484375,144,61.28303695609793,1.2198462486267092,0.15189873417721522,0.754638671875,990
sample_00265,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7309800944669366,0.09970800238355361,0.0,0.96484375,144,53.34020397486165,1.2198462486267092,0.13855843247025895,0.699462890625,1217
sample_00266,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6704358552631579,0.08776247623806563,0.0,0.96484375,144,76.40849314816296,1.2198462486267092,0.13523131672597866,0.7626953125,950
sample_00267,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6714849021592443,0.0847728114018186,0.0,0.96484375,144,61.03752727108076,1.2198462486267092,0.1341358555460017,0.754150390625,987
sample_00268,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6820992535425101,0.09459004939566368,0.0,0.96484375,144,83.76843058411032,1.2198462486267092,0.13884007029876974,0.7607421875,961
sample_00269,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6838116424876294,0.08756753620787619,0.0,0.96484375,144,61.07862727576867,1.2198462486267092,0.14519056261343014,0.77001953125,922
sample_00270,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7146487010796221,0.09270242838827795,0.0,0.96484375,144,53.433647193945944,1.2198462486267092,0.13843888070692192,0.71435546875,1146
sample_00271,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6337605080409356,0.07441253696162534,0.0,0.96484375,144,61.042760647367686,1.2198462486267092,0.11692844677137873,0.7529296875,991
sample_00272,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7640610942420153,0.10620878959149921,0.0,0.96484375,144,45.807005394250154,1.2198462486267092,0.08856848609680741,0.351806640625,2647
sample_00273,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6680935110211426,0.07984802559604978,0.0,0.96484375,144,76.30357572296634,1.2198462486267092,0.1371326803205699,0.763427734375,947
sample_00274,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7162389647998201,0.09526916887156672,0.0,0.96484375,144,61.02879474684596,1.2198462486267092,0.15062761506276148,0.752197265625,994
sample_00275,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7269578694331984,0.10089442908567833,0.0,0.96484375,144,53.530456053093076,1.2198462486267092,0.1388690050107373,0.706298828125,1180
sample_00276,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6935201585695007,0.09446942085859787,0.0,0.96484375,144,61.04712463961914,1.2198462486267092,0.1426086956521739,0.75927734375,972
sample_00277,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6664927041160594,0.08129662721196625,0.0,0.96484375,144,83.94235878111795,1.2198462486267092,0.13718411552346568,0.7666015625,937
sample_00278,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6829769736842105,0.08520950453949724,0.0,0.96484375,144,68.67586150299758,1.2198462486267092,0.1415929203539823,0.76318359375,947
sample_00279,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7260432481443995,0.10049884368254393,0.0,0.96484375,144,53.406519546639174,1.2198462486267092,0.14328808446455504,0.72265625,1122
sample_00280,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7718762300382366,0.1173258948741642,0.0,0.96484375,144,45.65923069184646,1.2198462486267092,0.08931082981715895,0.36767578125,2576
sample_00281,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7656144568151148,0.10940543044116996,0.0,0.96484375,144,45.75821973895654,1.2198462486267092,0.0889801505817933,0.35009765625,2652
sample_00282,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7417754371907332,0.10765594283390371,0.0,0.96484375,144,53.4011379997246,1.2198462486267092,0.14183381088825217,0.70751953125,1180
sample_00283,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7315968707827261,0.0968725009457637,0.0,0.96484375,144,53.42665104800835,1.2198462486267092,0.15165876777251183,0.73779296875,1064
sample_00284,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7504709289248763,0.10794565255799264,0.0,0.96484375,144,45.82215807121247,1.2198462486267092,0.08652127279227743,0.376220703125,2539
sample_00285,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6162403705578048,0.06444577974019661,0.0,0.96484375,144,114.51879673218355,1.2198462486267092,0.11607992388201713,0.773193359375,905
sample_00286,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6877301928699955,0.09403458438580475,0.0,0.96484375,144,61.043203179724514,1.2198462486267092,0.1444043321299639,0.7685546875,927
sample_00287,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6357101186459739,0.07237920233285468,0.0,0.96484375,144,61.23123983480036,1.2198462486267092,0.11437908496732026,0.7353515625,1061
sample_00288,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7746359086819613,0.1094329850839702,0.0,0.96484375,144,45.623223966453224,1.2198462486267092,0.09455070371706965,0.387451171875,2502
sample_00289,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7738565915991903,0.1184928243495918,0.0,0.96484375,144,45.73080447129905,1.2198462486267092,0.08958333333333333,0.35986328125,2612
sample_00290,simulated_fMRI,latent,test,64,240,64,4,144,0,0.639718286099865,0.07574366815699189,0.0,0.96484375,144,76.28824592195451,1.2198462486267092,0.12778315585672798,0.780029296875,876
sample_00291,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6905118364822312,0.08462517203739435,0.0,0.96484375,144,53.46722368290648,1.2198462486267092,0.1359683794466403,0.733154296875,1074
sample_00292,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7696604040148448,0.11168947418117457,0.0,0.96484375,144,45.774349021259695,1.2198462486267092,0.09090909090909091,0.3603515625,2613
sample_00293,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6275444219523167,0.07491086824848707,0.0,0.96484375,144,76.4254803606309,1.2198462486267092,0.11888782358581015,0.775634765625,902
sample_00294,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6259409792510121,0.06645522485129507,0.0,0.96484375,144,83.86785235069692,1.2198462486267092,0.11375212224108658,0.7451171875,1018
sample_00295,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6545463970422852,0.08449647368208289,0.0,0.96484375,144,106.93833816703409,1.2198462486267092,0.13269230769230772,0.77978515625,877
sample_00296,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6482459654745839,0.07528342135128341,0.0,0.96484375,144,99.44131241599098,1.2198462486267092,0.12957746478873242,0.773681640625,902
sample_00297,simulated_fMRI,latent,test,64,240,64,4,144,0,0.7137639521479981,0.09567162981475136,0.0,0.96484375,144,61.0778442309238,1.2198462486267092,0.1545138888888889,0.76220703125,958
sample_00298,simulated_fMRI,latent,test,64,240,64,4,144,0,0.762312682748538,0.11095228046867084,0.0,0.96484375,144,45.77265912108123,1.2198462486267092,0.08949011446409989,0.359130859375,2613
sample_00299,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6496561164529915,0.07481806804210439,0.0,0.96484375,144,98.96952659916133,1.2198462486267092,0.13745019920318724,0.78857421875,847
