,X0,X1,X2,X3,X5,X6,X7,X8,X9,X10,X11,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X43,X44,X45,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67
X0,0.011987686157226562,0.010540008544921875,0.009199142456054688,0.013017654418945312,0.0,0.0037174224853515625,0.014270782470703125,0.0,0.009897232055664062,0.0,0.0066852569580078125,0.0,0.005847930908203125,0.0,0.00116729736328125,0.0019550323486328125,0.0037899017333984375,0.0023479461669921875,0.002056121826171875,0.0019626617431640625,0.0,0.0,0.0,0.0,0.0,8.58306884765625e-05,0.0,0.0,0.0002880096435546875,0.0,0.0010700225830078125,0.00128173828125,0.003787994384765625,0.0,0.006267547607421875,0.0034637451171875,0.0006237030029296875,0.0,0.0035762786865234375,0.0019168853759765625,0.0,0.0020904541015625,0.0,0.0,0.0,0.00589752197265625,0.0017490386962890625,0.0,0.0,0.0018863677978515625,0.0030460357666015625,0.000377655029296875,0.0009784698486328125,0.002559661865234375,0.0023784637451171875,0.0,3.4332275390625e-05,0.0,0.00063323974609375,0.0,0.000385284423828125,0.0004062652587890625,0.0001964569091796875,0.0
X1,0.0,0.008098602294921875,0.0,0.0,0.0,0.00103759765625,0.0,0.0,0.015745162963867188,0.0,0.009765625,0.0,0.0002269744873046875,0.0,0.001220703125,0.000213623046875,0.0032806396484375,0.00069427490234375,0.000476837158203125,0.0,0.0,0.0,0.0008716583251953125,0.0,0.0004711151123046875,0.0,5.14984130859375e-05,0.001491546630859375,0.0,0.0,0.0014934539794921875,0.0019359588623046875,0.0,0.0,0.000396728515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005950927734375,0.0,0.0022907257080078125,0.0,0.001964569091796875,0.0002899169921875,0.0003795623779296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0010318756103515625,0.0023555755615234375,0.00131988525390625,0.0,0.0,0.00078582763671875,0.0005016326904296875,0.0,0.0
X2,0.0,0.0039958953857421875,0.0047149658203125,0.016290664672851562,0.002292633056640625,0.0,0.010921478271484375,0.0,0.012441635131835938,0.03948974609375,0.003444671630859375,0.0,0.0,0.0,0.0,0.0012378692626953125,0.0,0.0,0.0,0.000171661376953125,0.000782012939453125,0.0013179779052734375,0.0011348724365234375,0.00140380859375,0.0001163482666015625,0.00218963623046875,0.0,0.0,0.000583648681640625,0.0,0.00115966796875,0.0014667510986328125,3.814697265625e-06,0.0,0.00255584716796875,0.0,0.0,0.00032806396484375,0.0,0.0,0.0,0.0,0.0,0.0015735626220703125,0.0,0.00286102294921875,0.0,0.0,0.00203704833984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0006389617919921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X3,0.0,0.004734039306640625,0.004474639892578125,0.025278091430664062,0.0,0.0,0.01035308837890625,0.0,0.0075435638427734375,0.01860809326171875,0.015531539916992188,5.14984130859375e-05,0.0002346038818359375,0.0,0.0,0.0008449554443359375,0.0,0.0,0.0022220611572265625,0.0,0.0011730194091796875,0.002437591552734375,0.00049591064453125,0.000370025634765625,0.0,0.0006122589111328125,0.0004940032958984375,0.0,0.000423431396484375,0.0008792877197265625,0.001068115234375,0.0,0.0,0.000476837158203125,0.000347137451171875,0.0043849945068359375,0.0,0.001331329345703125,0.0007152557373046875,0.0037689208984375,0.0,0.0,0.0003719329833984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002899169921875,0.0,0.0,0.000244140625,0.0,0.0003509521484375,0.0,0.0005359649658203125,0.0,0.0001277923583984375,0.00018310546875
X5,0.0072002410888671875,0.011846542358398438,0.0,0.0,0.0,0.0,0.012248992919921875,0.0,0.010805130004882812,0.02790069580078125,0.009830474853515625,4.76837158203125e-05,0.0003833770751953125,0.0,0.0,0.0,0.0,0.0008983612060546875,0.0074710845947265625,0.002300262451171875,0.0,0.000423431396484375,0.000705718994140625,0.0,0.000209808349609375,0.0,0.0,0.0,0.00049591064453125,0.0,0.0014801025390625,0.0,0.0,0.0,0.000553131103515625,0.0006427764892578125,0.00041961669921875,0.0,0.0036716461181640625,0.0,0.0,0.0,0.0,0.0,0.0,0.006412506103515625,0.000728607177734375,0.0003147125244140625,0.0012187957763671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011577606201171875,0.0,0.0002727508544921875
X6,0.00888824462890625,0.0052356719970703125,0.017515182495117188,0.0125885009765625,0.0034637451171875,0.0,0.0063953399658203125,0.0,0.0027866363525390625,0.018232345581054688,0.0,0.0038318634033203125,0.009189605712890625,0.0,0.001079559326171875,0.0,0.0,0.0,0.0027256011962890625,0.003299713134765625,0.0,0.0,0.0,0.0009670257568359375,0.0013866424560546875,0.0,3.814697265625e-05,0.0,0.00072479248046875,0.0,0.0,1.9073486328125e-06,0.000881195068359375,0.0,0.0,0.002758026123046875,0.0041637420654296875,0.0,0.0012760162353515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011882781982421875,0.0,0.00066375732421875,0.00273895263671875,0.0069522857666015625,0.0,0.0,0.0002574920654296875,5.340576171875e-05,0.0037708282470703125,0.0,0.0012645721435546875,0.0,0.0,0.0,0.00104522705078125,0.000659942626953125,0.0
X7,0.0,0.0,0.0,0.002925872802734375,0.0,0.0,0.0,0.0,0.020803451538085938,0.0037593841552734375,0.0,0.003124237060546875,0.0,0.0,0.0,0.0,0.00095367431640625,0.00250244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012836456298828125,0.0,0.0,0.0,0.0,0.000583648681640625,0.0,0.0,0.0,0.002834320068359375,0.0033245086669921875,0.0012264251708984375,0.000652313232421875,0.0014190673828125,0.0034942626953125,0.0,0.0,0.0,0.0,0.0,0.00030517578125,0.00421142578125,0.0,0.0030040740966796875,0.0,0.0009593963623046875,0.00890350341796875,0.0,0.0,0.0,0.0,0.0009441375732421875,0.0,0.0,0.0,4.57763671875e-05,0.000583648681640625,0.000858306884765625,0.0
X8,0.0,0.0070896148681640625,0.0060176849365234375,0.012783050537109375,0.0039825439453125,0.0,0.013105392456054688,0.0,0.016065597534179688,0.024242401123046875,0.015260696411132812,0.0010395050048828125,0.0037899017333984375,0.0012111663818359375,0.0,0.0007152557373046875,0.0,0.0,0.0,0.0,0.0,0.0001010894775390625,0.0,0.000457763671875,0.0,0.0,0.0,0.0001277923583984375,0.0,0.0,0.000263214111328125,0.001392364501953125,0.0003337860107421875,0.0,0.0015850067138671875,0.0,0.0,0.0,0.0,0.0,0.000926971435546875,0.0,0.0,0.0005779266357421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0009250640869140625,0.00103759765625,0.0,0.0,0.0,0.0002422332763671875,0.0,0.0,0.0011386871337890625,0.0,0.0001087188720703125,0.00090789794921875,0.0,0.0
X9,0.0,0.0,0.0018100738525390625,0.0,0.0,0.006740570068359375,0.0,0.005390167236328125,0.0,0.0,0.014190673828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038051605224609375,0.0008754730224609375,0.0025463104248046875,0.002124786376953125,0.002681732177734375,0.0015316009521484375,0.000560760498046875,0.0,0.0,0.0,0.0,0.0,0.0,0.010560989379882812,0.0,0.0,0.0,0.0,0.00095367431640625,0.0,0.001338958740234375,0.0,0.002826690673828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017070770263671875,0.00067901611328125,0.0,0.00011444091796875,0.0,0.0020618438720703125,0.0003871917724609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X10,0.0,0.0068798065185546875,0.0,0.0058765411376953125,0.0,0.002994537353515625,0.003448486328125,0.0,0.024019241333007812,0.0,0.010334014892578125,0.0,0.0011119842529296875,0.0,0.0,0.0,0.0,0.0,3.4332275390625e-05,0.0005626678466796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001811981201171875,0.0002765655517578125,0.00025177001953125,0.0,0.0005340576171875,0.0,0.0,0.0046329498291015625,0.0027561187744140625,0.0,0.0,0.0001239776611328125,0.0022602081298828125,0.0,0.0002536773681640625,0.0,0.00017547607421875,0.0007114410400390625,0.0,0.0,0.000789642333984375,0.0,0.0015277862548828125,0.000850677490234375,6.29425048828125e-05,0.0,0.0,0.0,0.0,0.0,0.00055694580078125,0.0006923675537109375,0.0,0.0,0.0,0.0
