,X0,X1,X2,X3,X5,X6,X7,X8,X9,X10,X11,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X43,X44,X45,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67
X0,0.011507749557495117,0.008616828918457031,0.004260206222534179,0.009172010421752929,0.0018415451049804688,0.002393150329589844,0.010784435272216796,0.0011799335479736328,0.004189157485961914,0.0021880626678466796,0.008578920364379882,0.00051727294921875,0.0014842033386230468,0.002727699279785156,0.002089977264404297,0.0007013320922851562,0.0009448528289794922,0.0008877277374267578,0.0022070884704589845,0.001059579849243164,0.0002205371856689453,0.0003756046295166016,0.0005365371704101563,0.00017023086547851562,0.00013637542724609375,0.0006486415863037109,0.00021548271179199218,0.00024089813232421874,0.0003666400909423828,0.0001784801483154297,0.0005319118499755859,0.00028533935546875,0.001538848876953125,0.0013813018798828126,0.0010855674743652343,0.001209115982055664,0.0016636848449707031,0.0020578384399414064,0.0027822017669677734,0.0011312484741210938,0.0010583877563476562,0.0023975372314453125,0.003021430969238281,0.002813863754272461,0.001158428192138672,0.002502250671386719,0.0012173652648925781,0.0016086101531982422,0.0018598079681396485,0.001612234115600586,0.00154571533203125,0.0009105205535888672,0.00031800270080566405,0.0004358768463134766,0.000542593002319336,0.0007171630859375,0.00032916069030761717,0.0007079601287841797,0.00034160614013671874,0.0004563331604003906,0.00012488365173339843,0.00031528472900390627,0.0004979610443115234,0.0001953601837158203
X1,0.0002235889434814453,0.00908961296081543,0.0005762577056884766,0.0,0.0,0.0020218849182128905,0.00016779899597167968,0.00012974739074707032,0.013009071350097656,6.0176849365234376e-05,0.008971738815307616,0.0013495922088623048,0.0003566265106201172,0.00028867721557617186,0.00132904052734375,0.00040912628173828125,0.0030886650085449217,0.0011424541473388672,0.0006261348724365234,0.00055084228515625,0.00022602081298828125,0.00040445327758789065,0.0011104583740234376,0.00013523101806640626,0.0004442691802978516,0.00014882087707519532,0.0003582477569580078,0.0004242897033691406,0.0004718303680419922,0.0002942085266113281,0.0011757850646972657,0.0008673667907714844,0.0015891075134277343,0.001779794692993164,0.0013819694519042968,0.0010457992553710937,0.0015882492065429688,0.002178382873535156,0.0005151748657226563,0.0011280059814453125,0.0004061222076416016,0.0005146980285644532,0.001547098159790039,0.0011613845825195312,0.0006505489349365234,0.0013464927673339845,0.0015459537506103515,0.0003144264221191406,0.0005116462707519531,0.0008446216583251953,0.0006439208984375,0.000838613510131836,0.0002353191375732422,0.0001239776611328125,0.00032444000244140624,0.00031218528747558596,0.0003811836242675781,0.0008312225341796875,0.0002280712127685547,0.00024871826171875,0.0004225254058837891,0.0001800060272216797,0.00021142959594726561,0.0004391670227050781
X2,0.004649448394775391,0.0035193443298339845,0.004222440719604492,0.02111220359802246,0.011272621154785157,0.001961421966552734,0.008494091033935548,0.004211902618408203,0.017661905288696288,0.04113349914550781,0.0051076412200927734,0.00031638145446777344,0.00021638870239257813,0.0008218288421630859,0.0012024402618408202,0.0004444122314453125,0.0009299278259277344,0.0002875804901123047,0.0010730743408203125,0.0003830909729003906,0.00014109611511230468,0.0005784511566162109,0.00057525634765625,0.00049591064453125,0.00013575553894042968,0.0004040718078613281,6.537437438964843e-05,4.801750183105469e-05,0.0002707958221435547,0.0002673625946044922,0.0011173248291015624,0.00031609535217285155,0.0003118991851806641,0.005271434783935547,0.0020739555358886717,0.0023346900939941405,0.0010945320129394532,0.00033402442932128906,0.0007599830627441406,0.001225900650024414,0.0010007858276367188,0.0008896350860595703,0.0007600784301757812,0.0004653453826904297,0.00025491714477539064,0.001960277557373047,0.0010323524475097656,0.0005530357360839844,0.0008384227752685547,0.0003365516662597656,0.000725555419921875,0.0006573677062988281,0.0004634857177734375,0.0001797199249267578,0.0001232147216796875,0.0004432201385498047,5.979537963867188e-05,0.0004369258880615234,0.00033059120178222654,9.064674377441406e-05,9.179115295410156e-05,0.00027074813842773435,0.0002902507781982422,5.030632019042969e-05
X3,0.0023026466369628906,0.005486869812011718,0.0044269561767578125,0.02737116813659668,0.0,0.0,0.006561851501464844,0.0020696640014648436,0.005686330795288086,0.020331668853759765,0.014549636840820312,0.00028285980224609377,0.00019702911376953124,0.0013556957244873046,0.0006525993347167968,0.00032210350036621094,0.0017449378967285157,0.00024309158325195313,0.0012036800384521485,0.0007986545562744141,0.0002494335174560547,0.0008991241455078125,0.0003214359283447266,0.00031280517578125,0.0001949787139892578,0.0005121231079101562,0.0006585597991943359,0.0001366138458251953,0.00020575523376464844,0.0002488136291503906,0.001336956024169922,0.0004815101623535156,0.002338075637817383,0.0015131473541259766,0.0007759571075439453,0.0018727302551269532,0.0006617546081542969,0.0008409500122070312,0.0012701988220214845,0.003484344482421875,0.0007650375366210938,0.0018527984619140625,0.0021902084350585937,0.00029892921447753905,8.826255798339843e-05,0.00030956268310546877,0.0005590915679931641,0.00025830268859863283,0.0006842136383056641,0.0002414703369140625,0.0003203868865966797,0.0002777099609375,0.0005083084106445312,0.00040912628173828125,0.0003269195556640625,0.000238800048828125,0.0019979953765869142,0.00026812553405761717,0.00025305747985839846,0.0001491546630859375,0.000330352783203125,0.00019097328186035156,0.000141143798828125,0.0006357192993164063
X5,0.006487655639648438,0.005618429183959961,0.0,0.00040454864501953124,0.0,7.848739624023437e-05,0.005283164978027344,0.0,0.011424541473388672,0.029976367950439453,0.012191247940063477,4.954338073730469e-05,0.00023016929626464843,0.0030705928802490234,0.002600240707397461,0.0004409313201904297,0.0026185035705566405,0.0028131484985351564,0.004342794418334961,0.0011177539825439453,0.0006150245666503906,0.00018568038940429686,0.0007351398468017578,0.0003091335296630859,0.0006953716278076172,0.0004302024841308594,0.0004912376403808594,0.0001979351043701172,0.00054779052734375,0.00014405250549316407,0.0010976791381835938,0.00038743019104003906,0.0007883071899414063,0.004491233825683593,0.0016815185546875,0.0013498306274414063,0.0026627540588378905,0.0035736560821533203,0.0011005401611328125,0.000887918472290039,0.0005446434020996094,0.0008424758911132812,0.0011513710021972656,0.0013247013092041015,0.0005538463592529297,0.0016251087188720703,0.0006243705749511719,0.0012998580932617188,0.001552581787109375,0.0004840373992919922,0.0013433933258056641,0.00035939216613769533,0.00017852783203125,1.5687942504882812e-05,0.0003251075744628906,0.00014324188232421874,0.0008765697479248047,0.00037975311279296874,0.00016922950744628905,8.792877197265625e-05,0.00015926361083984375,0.00026264190673828123,0.00025477409362792967,0.00024423599243164065
X6,0.004334115982055664,0.004740858078002929,0.010237836837768554,0.008589839935302735,0.0035963058471679688,1.1730194091796876e-05,0.008312177658081055,0.00020427703857421874,0.01022963523864746,0.015590572357177734,0.006167745590209961,0.001129484176635742,0.0017306804656982422,0.00016350746154785155,0.00039215087890625,0.00019311904907226562,0.001459026336669922,0.00047864913940429685,0.0026217937469482423,0.0007044315338134765,0.0005278110504150391,0.0003653049468994141,0.0004162311553955078,0.0005167484283447266,0.0009189605712890625,0.0001647472381591797,0.00025997161865234377,0.0002914905548095703,0.0002372264862060547,0.0005449295043945312,0.0005174160003662109,0.000792551040649414,0.0007906913757324219,0.003943872451782226,0.0013215065002441407,0.001508474349975586,0.002615547180175781,0.001468658447265625,0.0008807659149169921,0.0015076637268066407,0.0011390209197998046,0.0005128383636474609,0.003781032562255859,9.312629699707032e-05,3.523826599121094e-05,0.0007856369018554687,0.0014678955078125,0.0006840229034423828,0.003221273422241211,0.0017710208892822265,0.0039101123809814455,0.000794219970703125,0.0005138874053955078,0.0002597332000732422,0.0007321357727050782,0.0005510330200195312,0.00038990974426269533,0.00013217926025390624,0.00026841163635253905,0.00023908615112304686,7.615089416503906e-05,0.0002857208251953125,0.00017366409301757812,1.7452239990234376e-05
X7,0.001805257797241211,0.005957317352294922,0.0009987831115722656,0.002655029296875,0.0029632568359375,7.824897766113281e-05,0.0,0.0061818122863769535,0.020830106735229493,0.010007143020629883,3.376007080078125e-05,0.0015993118286132812,0.0003680706024169922,0.0002758026123046875,0.0014103412628173827,0.00022130012512207032,0.0017670154571533202,0.001039409637451172,6.909370422363282e-05,0.0004298686981201172,0.00024232864379882812,6.070137023925781e-05,0.0002665996551513672,0.0002839088439941406,1.3780593872070312e-05,0.0004192829132080078,9.393692016601562e-05,0.00023136138916015624,0.0003567218780517578,0.00011763572692871093,0.0013813018798828126,9.441375732421875e-05,0.0015488624572753905,0.0040947914123535155,0.0020357608795166016,0.0015611648559570312,0.0016818046569824219,0.0010057926177978516,0.0016251564025878905,0.002746868133544922,0.00040254592895507815,0.0014547348022460938,0.0028259754180908203,8.645057678222657e-05,2.880096435546875e-05,0.0013944149017333985,0.0008862018585205078,0.00021123886108398438,0.0015249252319335938,0.0003874778747558594,0.0013585567474365234,0.0021010875701904298,0.00035338401794433595,0.0002361297607421875,0.0002857685089111328,0.0007260322570800781,0.00048193931579589846,0.00016164779663085938,0.00015659332275390624,0.00022511482238769532,4.167556762695313e-05,7.414817810058594e-05,0.00012884140014648437,0.00015673637390136718
X8,0.0029465198516845704,0.0075436592102050785,0.0026843070983886717,0.00879974365234375,0.0028203010559082033,0.0002915382385253906,0.007936668395996094,0.00018219947814941407,0.00830669403076172,0.014532470703125,0.012553977966308593,0.001256418228149414,0.002434110641479492,0.00127410888671875,0.000662994384765625,0.0010080337524414062,0.000561380386352539,0.0001678466796875,0.000641775131225586,0.0023472785949707033,0.0003436565399169922,0.0005929470062255859,0.0007966041564941406,0.0005984783172607421,0.00031065940856933594,0.00054473876953125,0.00020008087158203126,0.00021147727966308594,0.00028357505798339846,9.503364562988282e-05,0.0006401538848876953,0.00016651153564453124,0.0011321067810058593,0.001963043212890625,0.0017055988311767579,0.001851511001586914,0.0019306659698486329,0.0009648799896240234,0.0006425857543945312,0.0010164737701416015,0.0012048721313476563,0.0013360977172851562,0.0014287471771240235,0.0010455131530761718,0.0006410121917724609,0.001706552505493164,0.0007182121276855469,0.0009961605072021484,0.0006945610046386718,0.0006621837615966797,0.0015069007873535155,0.0008857250213623047,0.0003368854522705078,0.0006695747375488281,0.00014853477478027344,0.0003661632537841797,0.0006246566772460938,0.0004901409149169922,0.0005058765411376954,0.0001247406005859375,0.000182342529296875,0.0002856254577636719,0.00021910667419433594,0.00029072761535644533
X9,0.0062907695770263675,0.0,0.0005698204040527344,0.003567218780517578,0.0005377769470214844,0.0012773990631103516,0.0,0.0018935203552246094,0.0001971721649169922,3.2949447631835935e-05,0.020336246490478514,0.0010647773742675781,0.0002922534942626953,0.0024672031402587892,0.0014029979705810548,0.0003448963165283203,0.0014893531799316407,0.0031845569610595703,0.0016939163208007813,0.0004589557647705078,0.0006110191345214844,0.00045137405395507814,0.0006050586700439454,0.0005942344665527344,0.0003635883331298828,0.00020856857299804686,0.0005267620086669922,4.792213439941406e-05,0.00019636154174804688,0.00016026496887207032,0.00038065910339355467,4.8112869262695315e-05,0.0011753559112548829,0.005430841445922851,0.0005987167358398437,0.0033502101898193358,0.0005924224853515625,0.0031806468963623048,0.002040863037109375,0.00227813720703125,0.0028216361999511717,0.0025838375091552734,0.0028182506561279298,0.0010532855987548829,0.0007275104522705078,0.0009597301483154297,0.0024358272552490235,0.0009477615356445312,0.0009959220886230468,0.0009747505187988281,0.0007956981658935547,0.0006922245025634766,0.00020394325256347656,0.0002654552459716797,0.0002598285675048828,0.0005693435668945312,0.00028171539306640623,0.0005998611450195312,0.00020470619201660157,0.0002577781677246094,2.1982192993164063e-05,0.00032787322998046876,0.00015769004821777343,0.000112152099609375
X10,0.0018573760986328124,0.006286478042602539,0.0,0.0037994861602783205,0.0,0.0015135765075683593,0.0016196727752685546,0.0,0.014073657989501952,6.966590881347656e-05,0.00553746223449707,0.0022000789642333983,0.0004836082458496094,0.0019034862518310547,0.000475311279296875,0.00014529228210449218,0.0008324623107910156,0.0003925800323486328,0.00047984123229980467,0.00025830268859863283,0.00016245841979980468,2.727508544921875e-05,1.6021728515625e-05,0.0,0.0,0.0,0.0008402824401855469,1.4209747314453125e-05,7.610321044921875e-05,0.00048046112060546876,0.00012974739074707032,6.036758422851562e-05,0.001238870620727539,0.0019410610198974609,0.0009618759155273438,0.0025270462036132814,0.0015694141387939454,0.0071849822998046875,0.002656841278076172,0.0007360458374023437,0.002370929718017578,0.0016326427459716797,0.0027078628540039063,0.00016560554504394532,0.0008801460266113281,0.0010377883911132813,0.0003895759582519531,0.0006529808044433594,0.0007519245147705079,0.0005688190460205079,0.0009066581726074219,0.0005081653594970703,0.0003939628601074219,0.0005675792694091797,0.00029234886169433595,0.0005708694458007813,0.0006985187530517579,0.00029673576354980467,0.00038065910339355467,0.0005370140075683594,9.675025939941407e-05,0.00023965835571289064,0.0002533912658691406,0.0003736972808837891
