sample_id,dataset,mode,split,num_variables,sequence_length,observed_variable_count,hidden_variable_count,ground_truth_edges,predicted_edges,auroc,auprc,f1,accuracy,shd,runtime_sec,threshold
sample_00240,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5667090010916335,0.130464353111238,0.0,0.924072265625,311,2.0818591862916946,0.05323410034179688
sample_00241,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5603380241008891,0.12446587830442218,0.0,0.924072265625,311,1.5032410779967904,0.05323410034179688
sample_00242,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5570214971095074,0.11659550227146667,0.0,0.924072265625,311,1.5047666258178651,0.05323410034179688
sample_00243,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5453665042667154,0.11135918324709362,0.0,0.924072265625,311,1.5122374258935452,0.05323410034179688
sample_00244,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5612916105629345,0.12118624962427768,0.0,0.924072265625,311,1.504495175089687,0.05323410034179688
sample_00245,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5629668644632944,0.12386113729200594,0.0,0.924072265625,311,1.5041477717459202,0.05323410034179688
sample_00246,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5450075819680835,0.11605925816056649,0.0,0.924072265625,311,1.5325358537957072,0.05323410034179688
sample_00247,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5661538396190752,0.13332498391044303,0.0,0.924072265625,311,1.5316630802117288,0.05323410034179688
sample_00248,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5553747021369682,0.11657298518646418,0.0,0.924072265625,311,1.5220399191603065,0.05323410034179688
sample_00249,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5678414115628199,0.12848596602467358,0.0,0.924072265625,311,1.5134498630650342,0.05323410034179688
sample_00250,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.546266146193937,0.12459029507668058,0.0,0.924072265625,311,1.55088021280244,0.05323410034179688
sample_00251,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5734520679446282,0.13217673732431098,0.0,0.924072265625,311,1.6509945476427674,0.05323410034179688
sample_00252,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5681956615001678,0.12664195345250337,0.0,0.924072265625,311,1.5279469499364495,0.05323410034179688
sample_00253,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5586920786485832,0.12467302742296,0.0,0.924072265625,311,1.5432255016639829,0.05323410034179688
sample_00254,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5456132898945321,0.11871366694610898,0.0,0.924072265625,311,1.5502109886147082,0.05323410034179688
sample_00255,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5459862292770158,0.1105597578404857,0.0,0.924072265625,311,1.5613444587215781,0.05323410034179688
sample_00256,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5571417042225403,0.12482447564127777,0.0,0.924072265625,311,1.550468001049012,0.05323410034179688
sample_00257,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.576148020405476,0.1342449996494078,0.0,0.924072265625,311,1.534031298942864,0.05323410034179688
sample_00258,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5541118903099475,0.1243387593429774,0.0,0.924072265625,311,1.5811034981161356,0.05323410034179688
sample_00259,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.550936808437435,0.12494271985862879,0.0,0.924072265625,311,1.5056642796844244,0.05323410034179688
sample_00260,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5508340164891877,0.11681664710901081,0.0,0.924072265625,311,1.508852045983076,0.05323410034179688
sample_00261,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5642033411630781,0.13338458327283764,0.0,0.924072265625,311,1.6245625992305577,0.05323410034179688
sample_00262,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5602845043261818,0.11992258119036621,0.0,0.924072265625,311,1.504449324682355,0.05323410034179688
sample_00263,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5496595547664457,0.11260584206385066,0.0,0.924072265625,311,1.503225159831345,0.05323410034179688
sample_00264,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5596121090614076,0.12714991854278446,0.0,0.924072265625,311,1.5138026801869273,0.05323410034179688
sample_00265,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5719972645448483,0.13411394728708773,0.0,0.924072265625,311,1.5029851379804313,0.05323410034179688
sample_00266,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5502210876407548,0.12346480318343735,0.0,0.924072265625,311,1.5034825913608074,0.05323410034179688
sample_00267,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5259222604034371,0.11831415234635943,0.0,0.924072265625,311,1.512672955635935,0.05323410034179688
sample_00268,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5495448695349302,0.12698534301675152,0.0,0.924072265625,311,1.507516129873693,0.05323410034179688
sample_00269,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5382908502423256,0.12416279273530428,0.0,0.924072265625,311,1.50261318590492,0.05323410034179688
sample_00270,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5512175748745896,0.12062951099891095,0.0,0.924072265625,311,1.5034727500751615,0.05323410034179688
sample_00271,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5335356607355995,0.12700260307233843,0.0,0.924072265625,311,1.5109608466736972,0.05323410034179688
sample_00272,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5702396071818441,0.12256660233690247,0.0,0.924072265625,311,1.5031260778196156,0.05323410034179688
sample_00273,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5680886219507533,0.12218521533719472,0.0,0.924072265625,311,1.5053337989374995,0.05323410034179688
sample_00274,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5820216032995366,0.13891552134149385,0.0,0.924072265625,311,1.502694436814636,0.05323410034179688
sample_00275,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5407451141967574,0.12468873336780129,0.0,0.924072265625,311,1.50153775094077,0.05323410034179688
sample_00276,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.557725749383036,0.12414671632476208,0.0,0.924072265625,311,1.5020639938302338,0.05323410034179688
sample_00277,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5347712879151499,0.11148878859645887,0.0,0.924072265625,311,1.5015722108073533,0.05323410034179688
sample_00278,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5498834033479593,0.11155224414663095,0.0,0.924072265625,311,1.5097691807895899,0.05323410034179688
sample_00279,simulated_EEG_68_static_v2,latent,test,64,1000,64,4,311,0,0.5583263601880838,0.12569732068601105,0.0,0.924072265625,311,1.5020046732388437,0.05323410034179688
