,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63
ROI0,0.005237579345703125,0.006661415100097656,0.013432502746582031,0.00829315185546875,0.016422271728515625,0.003475189208984375,0.010226249694824219,0.014185905456542969,0.0007600784301757812,0.0008640289306640625,0.0,0.0,0.0,0.0,0.0030870437622070312,0.00312042236328125,0.0,0.00107574462890625,0.0,0.0,0.0,0.002468109130859375,0.005809783935546875,0.0,0.0,9.5367431640625e-05,0.0002231597900390625,0.0018262863159179688,0.0,0.0006170272827148438,6.67572021484375e-05,0.0,0.00092315673828125,0.005629539489746094,0.0037136077880859375,0.0011339187622070312,0.00014781951904296875,0.003688812255859375,0.0,0.0,0.0019388198852539062,0.004177093505859375,0.0010166168212890625,0.0008726119995117188,0.0,0.0038852691650390625,0.0005435943603515625,0.00019359588623046875,0.0,0.0,0.0,0.0,0.0,0.0007190704345703125,0.0,0.0032701492309570312,0.0,0.00034332275390625,0.0006504058837890625,0.0,0.0,0.0005731582641601562,0.0009679794311523438,0.0
ROI1,0.00258636474609375,0.00331878662109375,0.003952980041503906,0.0040283203125,0.006890296936035156,0.0019445419311523438,0.005118370056152344,0.011578559875488281,0.0013408660888671875,0.0024404525756835938,0.0,0.0,0.0,0.000415802001953125,0.0010356903076171875,0.0011463165283203125,0.0025663375854492188,0.00322723388671875,4.482269287109375e-05,0.00038623809814453125,0.0,0.0024862289428710938,0.00615692138671875,0.0,0.0,0.0,0.0011310577392578125,0.0011186599731445312,0.0,0.0,0.0,0.0,0.0,0.0026493072509765625,0.0016536712646484375,0.0,0.0,0.009016036987304688,0.0007343292236328125,0.0,0.0,0.0044097900390625,0.0009012222290039062,0.00124359130859375,0.0,0.001979827880859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016937255859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROI2,0.01808643341064453,0.0020246505737304688,0.012932777404785156,0.0116729736328125,0.008872032165527344,0.012654304504394531,0.0018968582153320312,0.010544776916503906,0.0041446685791015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0020008087158203125,0.0,0.0023279190063476562,0.0,0.0,0.0,0.005367279052734375,0.0036706924438476562,6.580352783203125e-05,0.0,0.0,0.0,0.0027837753295898438,0.0,0.0020732879638671875,0.0001201629638671875,0.0,0.0005159378051757812,0.0052242279052734375,0.004811286926269531,0.0,0.0,0.0,0.0,0.0,0.0017185211181640625,0.00168609619140625,0.005368232727050781,0.0019254684448242188,0.000705718994140625,0.0034055709838867188,0.0,0.000560760498046875,0.0,0.0,0.0,0.00027179718017578125,0.0,0.0,0.0006341934204101562,0.0030126571655273438,0.0,0.0,0.0,0.0,0.0,0.0,0.0005741119384765625,0.0
ROI3,0.006670951843261719,0.010540008544921875,0.0027399063110351562,0.004200935363769531,0.011121749877929688,0.008925437927246094,0.005167961120605469,0.006008148193359375,0.0010652542114257812,0.0,0.0,0.0,0.000148773193359375,0.0,0.000370025634765625,0.00023651123046875,0.0005702972412109375,0.0007219314575195312,0.0,0.0,0.0,0.0,0.0023756027221679688,0.0,0.00022411346435546875,0.0,4.863739013671875e-05,0.0,0.000637054443359375,0.0012454986572265625,0.0010862350463867188,0.0021457672119140625,0.0,0.0009870529174804688,0.0035047531127929688,0.00024700164794921875,0.0,0.000263214111328125,0.0,0.0,0.0,0.0018873214721679688,0.0016317367553710938,0.0,0.0,0.0,0.00048160552978515625,0.00043487548828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048542022705078125,0.0,0.0007114410400390625,0.0002899169921875,0.0,0.0,0.0008363723754882812,0.0018739700317382812,0.000335693359375
ROI4,0.0014677047729492188,0.008029937744140625,0.0033721923828125,0.0056304931640625,0.0031414031982421875,0.006464958190917969,0.004828453063964844,0.005141258239746094,4.482269287109375e-05,0.0,0.0,0.0,0.00037384033203125,0.0,0.0011320114135742188,0.0014085769653320312,0.0021724700927734375,0.002105712890625,0.00017833709716796875,0.00188446044921875,0.0034322738647460938,0.0013370513916015625,0.004860877990722656,0.0,0.0,0.0,0.0,0.00160980224609375,0.0,0.0006418228149414062,0.0,0.00039577484130859375,0.0008115768432617188,0.008403778076171875,0.005810737609863281,0.0010967254638671875,0.0004863739013671875,0.0030918121337890625,0.0,0.0,0.0010824203491210938,0.0,0.0012731552124023438,0.0,0.000270843505859375,0.0,0.00020503997802734375,0.0012664794921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025491714477539062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROI5,0.006285667419433594,0.00433349609375,0.0065155029296875,0.01059722900390625,0.0049610137939453125,0.008292198181152344,0.0,0.004515647888183594,0.0014944076538085938,0.0,0.0,0.0006361007690429688,5.340576171875e-05,0.0,0.0005254745483398438,0.005032539367675781,0.0,0.0,0.0,0.0,0.0,0.00015544891357421875,0.0035505294799804688,0.0,0.000949859619140625,0.0005254745483398438,0.0,0.0006456375122070312,0.0,0.0013608932495117188,0.0,0.0,0.0,0.0075550079345703125,0.0,0.0,0.0,0.0015115737915039062,0.0005922317504882812,0.0,0.0007486343383789062,0.0008878707885742188,0.0023260116577148438,0.0,0.0,0.0021543502807617188,0.005858421325683594,0.0,0.0,8.96453857421875e-05,0.0,0.0,0.0,0.0,0.0,0.0013952255249023438,0.000682830810546875,0.0008182525634765625,0.001918792724609375,0.0009136199951171875,0.0020723342895507812,0.0016775131225585938,0.0006952285766601562,0.00022602081298828125
ROI6,0.0049571990966796875,0.010489463806152344,0.007932662963867188,0.007332801818847656,0.011920928955078125,0.010860443115234375,0.0064029693603515625,0.005124092102050781,0.0026960372924804688,0.0,2.288818359375e-05,0.0,0.0,0.0,0.0022401809692382812,0.0073680877685546875,0.0,0.00258636474609375,0.0,0.0,0.0,0.000518798828125,0.0,0.0,0.00112152099609375,0.0020008087158203125,0.0,0.0,0.0017652511596679688,0.00131988525390625,0.0,0.0,0.0009164810180664062,0.005236625671386719,0.009317398071289062,0.00142669677734375,0.0,0.0014925003051757812,0.0016803741455078125,0.0020570755004882812,0.0006237030029296875,0.0014581680297851562,0.0038042068481445312,0.0015554428100585938,0.0011119842529296875,0.00247955322265625,0.0035505294799804688,0.0016145706176757812,0.0,9.5367431640625e-05,0.0010242462158203125,0.0,0.0,0.0,0.000133514404296875,0.0038299560546875,0.0,0.0006303787231445312,2.47955322265625e-05,0.0009174346923828125,0.0,0.0010528564453125,0.0,0.0001010894775390625
ROI7,0.009473800659179688,0.0018091201782226562,0.011749267578125,0.006419181823730469,0.0058765411376953125,0.010468482971191406,0.004763603210449219,0.006440162658691406,0.0032682418823242188,0.0018901824951171875,0.0007104873657226562,0.0009250640869140625,0.0006084442138671875,0.00096893310546875,0.0021991729736328125,0.0037794113159179688,0.0004062652587890625,0.0037479400634765625,0.0,0.0,0.00078582763671875,0.007244110107421875,0.0068511962890625,0.0022916793823242188,0.0,0.0,0.0,0.00028324127197265625,0.0,0.0,0.0,0.0,0.0006551742553710938,0.0014171600341796875,0.0037031173706054688,0.0010747909545898438,0.0,0.0,0.0,0.0,0.0,0.004296302795410156,0.0,0.0,0.0,0.0029325485229492188,0.00601959228515625,0.0,0.0,0.0,0.0,0.0,0.0,0.00012874603271484375,0.0007991790771484375,0.0015058517456054688,0.0,0.0,0.0013484954833984375,0.001338958740234375,0.0,0.0007028579711914062,0.0,0.0
ROI8,0.0018129348754882812,0.0003604888916015625,0.00035858154296875,0.0005369186401367188,0.0007677078247070312,0.0,0.0,0.0,0.0021419525146484375,0.0,0.0,0.0012369155883789062,0.0,0.0025587081909179688,0.0024766921997070312,0.007842063903808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021409988403320312,0.003253936767578125,0.000568389892578125,0.0004291534423828125,0.0,0.0003814697265625,0.0017452239990234375,0.00041866302490234375,0.0018482208251953125,0.0015430450439453125,0.0030660629272460938,0.002384185791015625,0.0007305145263671875,0.0005092620849609375,0.0004062652587890625,0.005930900573730469,0.0036182403564453125,0.013161659240722656,0.0042877197265625,0.0030565261840820312,0.0034008026123046875,0.0073184967041015625,0.004055023193359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011625289916992188,0.004462242126464844,0.0015249252319335938,0.0033407211303710938,0.001407623291015625,0.0035915374755859375,0.0028562545776367188,0.0020999908447265625
ROI9,0.0042057037353515625,0.004345893859863281,0.0045928955078125,0.0066509246826171875,0.0036449432373046875,0.0,0.00162506103515625,0.0032262802124023438,0.0018768310546875,0.0015850067138671875,0.00116729736328125,0.002422332763671875,0.0003814697265625,0.0,0.0027151107788085938,0.004145622253417969,0.000194549560546875,0.00038623809814453125,0.001399993896484375,0.0003223419189453125,0.0,0.000457763671875,0.0,0.0,0.0,0.0034799575805664062,0.003528594970703125,0.000339508056640625,0.000652313232421875,0.0007038116455078125,0.0012826919555664062,0.0009279251098632812,0.0004119873046875,0.002330780029296875,0.0059871673583984375,4.9591064453125e-05,0.0024518966674804688,0.0038623809814453125,0.0015411376953125,0.0,0.004184722900390625,0.0020189285278320312,0.0053844451904296875,0.0,0.0009288787841796875,0.00185394287109375,0.006618499755859375,0.0012979507446289062,0.00047206878662109375,0.0,0.0,0.0004730224609375,0.0,0.0,7.915496826171875e-05,0.000751495361328125,0.0017080307006835938,0.0,0.0038938522338867188,0.0035638809204101562,0.00061798095703125,0.006049156188964844,0.0029726028442382812,0.001590728759765625
