,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63
ROI0,0.06624402850866318,0.062058426439762115,0.07072962820529938,0.07239512354135513,0.07035098969936371,0.07341708242893219,0.07842906564474106,0.07234607636928558,0.06631466746330261,0.06883510202169418,0.0721219927072525,0.05938706174492836,0.07317150384187698,0.055321626365184784,0.05898534506559372,0.08468145877122879,0.07221607863903046,0.07917612046003342,0.0746726542711258,0.06306974589824677,0.06169285997748375,0.0667729452252388,0.06607788801193237,0.06933004409074783,0.06835824251174927,0.07214008271694183,0.060480136424303055,0.0624503418803215,0.06693044304847717,0.060964033007621765,0.07960647344589233,0.07009357959032059,0.07384736835956573,0.0705096498131752,0.06976842135190964,0.0753256157040596,0.06682228296995163,0.0695137307047844,0.07172692567110062,0.06189575791358948,0.0687447115778923,0.06757088005542755,0.07171385735273361,0.06001047417521477,0.07092788070440292,0.05213436856865883,0.08038372546434402,0.07200415432453156,0.05423220247030258,0.07107672095298767,0.06322379410266876,0.06942809373140335,0.07278050482273102,0.062414493411779404,0.06984521448612213,0.0716700553894043,0.06286909431219101,0.07270463556051254,0.07028177380561829,0.08085854351520538,0.07921135425567627,0.06807146221399307,0.07511810958385468,0.05266221612691879
ROI1,0.05707984417676926,0.06345147639513016,0.07650188356637955,0.06088193506002426,0.06677058339118958,0.07267643511295319,0.06420155614614487,0.0624164380133152,0.056275561451911926,0.073599673807621,0.058782197535037994,0.05503181368112564,0.07265277206897736,0.06781648844480515,0.06508991122245789,0.061929430812597275,0.06603814661502838,0.06204783543944359,0.06464570015668869,0.07931020855903625,0.06806451827287674,0.07052052021026611,0.0701196938753128,0.07570090889930725,0.06721914559602737,0.08086347579956055,0.062169600278139114,0.06591397523880005,0.07512394338846207,0.06432218849658966,0.07369466871023178,0.0742105096578598,0.05611174553632736,0.06514524668455124,0.0647602453827858,0.07609526067972183,0.055268142372369766,0.06814068555831909,0.07573951035737991,0.0795835629105568,0.07398513704538345,0.0702807828783989,0.0789436623454094,0.0713048130273819,0.07090378552675247,0.06817750632762909,0.07396867126226425,0.06274454295635223,0.061758894473314285,0.061373498290777206,0.06616117060184479,0.06821999698877335,0.0647239089012146,0.060171663761138916,0.067124143242836,0.06606679409742355,0.07241892069578171,0.07865536957979202,0.060868944972753525,0.06425296515226364,0.07145436108112335,0.0637454241514206,0.07362458854913712,0.06721464544534683
ROI2,0.0718001276254654,0.06343284249305725,0.07477345317602158,0.06307446211576462,0.07880575209856033,0.05777694657444954,0.0627359002828598,0.07045836001634598,0.06602977961301804,0.07607457786798477,0.06722988188266754,0.061575960367918015,0.06104661896824837,0.06747555732727051,0.0703551173210144,0.07135311514139175,0.06863949447870255,0.061546292155981064,0.06868144869804382,0.07062475383281708,0.06876567751169205,0.06486722081899643,0.06302006542682648,0.06565038859844208,0.056357741355895996,0.06607361882925034,0.06214616075158119,0.054064881056547165,0.06391505897045135,0.0706193819642067,0.06239621341228485,0.06963086873292923,0.0712592601776123,0.06704771518707275,0.0600312203168869,0.06409674882888794,0.07608362287282944,0.07375843822956085,0.07600891590118408,0.08020380139350891,0.07749383896589279,0.07127583026885986,0.054420407861471176,0.058613795787096024,0.07599562406539917,0.07203870266675949,0.06975128501653671,0.07651957124471664,0.06850744783878326,0.07781139761209488,0.07714714109897614,0.07109412550926208,0.07497363537549973,0.0709550604224205,0.0685577541589737,0.06447146087884903,0.07139098644256592,0.06078360974788666,0.08707240968942642,0.06626244634389877,0.06260174512863159,0.07568398118019104,0.07935423403978348,0.07099860906600952
ROI3,0.06437679380178452,0.06056194752454758,0.06860814243555069,0.059250231832265854,0.07096554338932037,0.06920354813337326,0.060603685677051544,0.06052935868501663,0.06755270808935165,0.052963986992836,0.06541293859481812,0.06779436767101288,0.08000311255455017,0.068563312292099,0.05637810006737709,0.06312600523233414,0.08416536450386047,0.0708928182721138,0.07480955868959427,0.06174613907933235,0.06980746984481812,0.07095737755298615,0.06508307158946991,0.05781307816505432,0.06287689507007599,0.0682603269815445,0.06623880565166473,0.07310129702091217,0.06396482139825821,0.06954322755336761,0.06432293355464935,0.06409674137830734,0.07098381221294403,0.06393587589263916,0.05216968432068825,0.05993006005883217,0.06969773024320602,0.0761583149433136,0.06613004952669144,0.0782632827758789,0.06222525238990784,0.05735968425869942,0.062762051820755,0.064426489174366,0.08050964772701263,0.06868217885494232,0.06485835462808609,0.05927787348628044,0.06427489966154099,0.07244595885276794,0.07618328183889389,0.07839910686016083,0.0784270241856575,0.0682021826505661,0.06532794237136841,0.07214471697807312,0.07164090126752853,0.08311460167169571,0.07545853406190872,0.0747651532292366,0.07334644347429276,0.05196448415517807,0.06090165674686432,0.06289856135845184
ROI4,0.07143764197826385,0.07721173763275146,0.06273841857910156,0.06580014526844025,0.0778379887342453,0.06330879032611847,0.07249251753091812,0.06450232863426208,0.06656565517187119,0.06756053119897842,0.05719497799873352,0.08799899369478226,0.06514441221952438,0.059793293476104736,0.08320057392120361,0.06493981182575226,0.07107860594987869,0.07660790532827377,0.07218018174171448,0.06241278350353241,0.08140719681978226,0.06910309940576553,0.07281967252492905,0.06741413474082947,0.08533886075019836,0.07110544294118881,0.06762350350618362,0.07109915465116501,0.06317497044801712,0.07359388470649719,0.0682084932923317,0.07370150089263916,0.06847665458917618,0.05674247443675995,0.06790105253458023,0.0674695149064064,0.07275239378213882,0.07528126239776611,0.06246879696846008,0.0630456805229187,0.06703455001115799,0.05782957375049591,0.07238486409187317,0.07488325983285904,0.0727907046675682,0.05684665963053703,0.060159482061862946,0.06486313045024872,0.07535279542207718,0.06918874382972717,0.062288444489240646,0.07368145883083344,0.06661110371351242,0.06937455385923386,0.07199790328741074,0.06315556913614273,0.06742622703313828,0.06223785877227783,0.07918184250593185,0.06512434780597687,0.055785518139600754,0.07208698242902756,0.06825404614210129,0.07748428732156754
ROI5,0.06275273114442825,0.06261293590068817,0.06789145618677139,0.06445347517728806,0.05753638967871666,0.06824720650911331,0.05597905069589615,0.07554575800895691,0.05103190243244171,0.06807593256235123,0.06673736870288849,0.07290901988744736,0.06495711952447891,0.07304833084344864,0.05599471554160118,0.07382284104824066,0.06881112605333328,0.0678107813000679,0.06749571114778519,0.07269702106714249,0.06641419976949692,0.07240571826696396,0.07924926280975342,0.08118370175361633,0.06512521952390671,0.0696597471833229,0.07826470583677292,0.05050146207213402,0.07060562074184418,0.057025980204343796,0.08035493642091751,0.0737055093050003,0.05993112921714783,0.05858338624238968,0.08010802417993546,0.06877045333385468,0.061974313110113144,0.0673888772726059,0.07615142315626144,0.06696050614118576,0.07351846247911453,0.06824172288179398,0.0770856961607933,0.06321416795253754,0.06925571709871292,0.06252690404653549,0.06790195405483246,0.06689906865358353,0.0690690353512764,0.0726170539855957,0.06768596917390823,0.06850191205739975,0.0713859349489212,0.07317890971899033,0.06340480595827103,0.06364304572343826,0.08237612992525101,0.06701157987117767,0.05841057375073433,0.06572467088699341,0.07274827361106873,0.07318289577960968,0.06383173167705536,0.06710333377122879
ROI6,0.06192297115921974,0.06131640449166298,0.05705439671874046,0.06542663276195526,0.06347914040088654,0.06644701212644577,0.07102680206298828,0.07431495934724808,0.06878847628831863,0.06351213157176971,0.07642989605665207,0.06087912246584892,0.08301907032728195,0.06711422652006149,0.06288732588291168,0.07977647334337234,0.06272529065608978,0.05599614232778549,0.06709717959165573,0.06975681334733963,0.07119451463222504,0.06489511579275131,0.06398676335811615,0.06766092032194138,0.054212115705013275,0.06728585809469223,0.07027322053909302,0.06576678156852722,0.06911332160234451,0.06256202608346939,0.06394129246473312,0.05540385842323303,0.07919687032699585,0.06813709437847137,0.06852498650550842,0.07454503327608109,0.0711120218038559,0.07456158101558685,0.06398790329694748,0.060029588639736176,0.07537874579429626,0.055144619196653366,0.07662110775709152,0.07455690950155258,0.0639331266283989,0.06652263551950455,0.061495184898376465,0.06584589183330536,0.07371294498443604,0.07284713536500931,0.06365203857421875,0.0746564120054245,0.0687902644276619,0.06445672363042831,0.061662707477808,0.07375986874103546,0.0608028806746006,0.08371640741825104,0.0637533888220787,0.06850237399339676,0.06563451141119003,0.07820136100053787,0.07823626697063446,0.05982325226068497
ROI7,0.07002462446689606,0.0629807859659195,0.06759320944547653,0.06714439392089844,0.0790729746222496,0.054436489939689636,0.06351025402545929,0.08172851800918579,0.0617380328476429,0.06607602536678314,0.059775687754154205,0.05936158820986748,0.056277789175510406,0.055652640759944916,0.07776298373937607,0.06779512763023376,0.059807565063238144,0.07803191989660263,0.07816961407661438,0.06320925056934357,0.07615957409143448,0.06883346289396286,0.06180507317185402,0.06664711236953735,0.0698254331946373,0.057971108704805374,0.05876561999320984,0.0698886290192604,0.0761905089020729,0.06179283931851387,0.0703313946723938,0.07373841851949692,0.06258179992437363,0.07478412240743637,0.0700460821390152,0.06747758388519287,0.0680244043469429,0.0709177628159523,0.061899811029434204,0.06832390278577805,0.0592995323240757,0.06705872714519501,0.069654680788517,0.06596633046865463,0.06331421434879303,0.06960968673229218,0.07890482246875763,0.06567185372114182,0.058624494820833206,0.0644221380352974,0.0642433762550354,0.06202153116464615,0.06204553321003914,0.06476900726556778,0.060517437756061554,0.07426933199167252,0.06451194733381271,0.07650876045227051,0.0757056400179863,0.06669526547193527,0.05366755649447441,0.06545520573854446,0.051016755402088165,0.07081529498100281
ROI8,0.06006778031587601,0.05748414620757103,0.06898311525583267,0.06722383946180344,0.0679817870259285,0.07061759382486343,0.08085018396377563,0.0708215981721878,0.06596741825342178,0.07478483021259308,0.07169929146766663,0.07400048524141312,0.0692850723862648,0.06472721695899963,0.0616401769220829,0.06439898163080215,0.0722871795296669,0.06748708337545395,0.07134343683719635,0.06972689181566238,0.07418938726186752,0.07425441592931747,0.06450789421796799,0.08195969462394714,0.07454784214496613,0.06572496145963669,0.07893605530261993,0.06801501661539078,0.06979921460151672,0.07307818531990051,0.0694429948925972,0.0546325147151947,0.07351338863372803,0.0650705099105835,0.06627605855464935,0.060568585991859436,0.07291727513074875,0.06883971393108368,0.053625065833330154,0.06481155753135681,0.07089458405971527,0.06305863708257675,0.07326865941286087,0.06752067059278488,0.06628791242837906,0.05986151844263077,0.06670953333377838,0.06776012480258942,0.07925031334161758,0.07046687602996826,0.06792260706424713,0.07118198275566101,0.06326515972614288,0.08171086758375168,0.07112933695316315,0.06330149620771408,0.06906437128782272,0.07183001935482025,0.07178999483585358,0.06558622419834137,0.06920754909515381,0.06098244711756706,0.06241438537836075,0.06796465069055557
ROI9,0.07033460587263107,0.05865415558218956,0.05646834149956703,0.07325991243124008,0.07452649623155594,0.062155548483133316,0.06949829310178757,0.06570654362440109,0.06892451643943787,0.06241292133927345,0.060931384563446045,0.06976868957281113,0.07052969187498093,0.07192526757717133,0.08363859355449677,0.07360091060400009,0.07209557294845581,0.06577395647764206,0.06531020253896713,0.06784140318632126,0.07104024291038513,0.08079569786787033,0.06404980272054672,0.066068634390831,0.07516425848007202,0.06514613330364227,0.07081709802150726,0.07336337119340897,0.06572774797677994,0.05893170088529587,0.07326070219278336,0.06708063185214996,0.06597163528203964,0.07726366072893143,0.06815991550683975,0.06833367794752121,0.05979609861969948,0.07617151737213135,0.06478601694107056,0.05636736378073692,0.06852272152900696,0.0719214603304863,0.06653288751840591,0.06071612611413002,0.06303762644529343,0.07743951678276062,0.07098094373941422,0.07824017852544785,0.06592381745576859,0.07859792560338974,0.05651811510324478,0.07175279408693314,0.06699901074171066,0.06830590218305588,0.07412280887365341,0.06766150146722794,0.06281445175409317,0.064703568816185,0.05337795615196228,0.06342055648565292,0.07530929148197174,0.07316919416189194,0.060773562639951706,0.06918034702539444
