,ROI0,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12,ROI13,ROI14,ROI15,ROI16,ROI17,ROI18,ROI19,ROI20,ROI21,ROI22,ROI23,ROI24,ROI25,ROI26,ROI27,ROI28,ROI29,ROI30,ROI31,ROI32,ROI33,ROI34,ROI35,ROI36,ROI37,ROI38,ROI39,ROI40,ROI41,ROI42,ROI43,ROI44,ROI45,ROI46,ROI47,ROI48,ROI49,ROI50,ROI51,ROI52,ROI53,ROI54,ROI55,ROI56,ROI57,ROI58,ROI59,ROI60,ROI61,ROI62,ROI63
ROI0,0.004488563537597657,0.003926124572753906,0.010852127075195313,0.007243690490722657,0.012533302307128907,0.0022891426086425783,0.005996131896972656,0.011481132507324219,0.0016605186462402344,0.0014197921752929687,0.0009567451477050782,0.0008241081237792969,0.001336688995361328,0.0009178352355957031,0.0022682952880859375,0.0018738365173339843,0.0008165359497070313,0.0014219093322753906,0.0015264320373535156,0.0011638641357421876,0.0016588020324707032,0.0023274803161621093,0.004675559997558594,0.001264495849609375,0.00091888427734375,0.00173980712890625,0.0005464363098144531,0.0013059234619140624,0.0008268165588378906,0.001802806854248047,0.0010224533081054686,0.0011487960815429687,0.0009674835205078125,0.005081405639648437,0.003409671783447266,0.0011791610717773438,0.0008964157104492188,0.003290252685546875,0.002227020263671875,0.0007455635070800781,0.001287555694580078,0.0034743690490722655,0.002686023712158203,0.0013820457458496094,0.0008086013793945312,0.003294506072998047,0.000967864990234375,0.00148406982421875,0.001053924560546875,0.001226062774658203,0.0007391357421875,0.0012009239196777344,0.0012309837341308593,0.0013090324401855468,0.002061901092529297,0.0029935264587402344,0.0015792083740234376,0.003378772735595703,0.002410011291503906,0.0019220161437988282,0.002622241973876953,0.0014319229125976563,0.0015952682495117187,0.0006401824951171875
ROI1,0.0026531600952148437,0.00483551025390625,0.00391143798828125,0.006255168914794922,0.007635345458984375,0.001681060791015625,0.004470348358154297,0.013740673065185546,0.0013690757751464843,0.00126678466796875,0.00047992706298828126,0.0014144134521484374,0.001287384033203125,0.000733795166015625,0.0028175735473632813,0.0017694282531738282,0.0020819664001464843,0.004709091186523438,0.0015025711059570312,0.0012607002258300782,0.0016821670532226564,0.0035620880126953124,0.006609210968017578,0.0013762474060058593,0.0017699241638183595,0.0004185676574707031,0.00346282958984375,0.002204647064208984,0.001262969970703125,0.002813396453857422,0.0013455963134765625,0.001324920654296875,0.0020672416687011717,0.006515312194824219,0.003235321044921875,0.001366558074951172,0.0017088890075683595,0.008196296691894532,0.001117095947265625,0.0008247184753417968,0.0015436744689941407,0.003829231262207031,0.0008747291564941407,0.0016078376770019532,0.0006071090698242188,0.0033002281188964843,0.0009767532348632813,0.0007996559143066406,0.0011394119262695312,0.0010457420349121093,0.0010963249206542968,0.0010638046264648438,0.0015337181091308594,0.0008447647094726562,0.0014600944519042969,0.003025054931640625,0.001689910888671875,0.004240093231201172,0.0032590675354003907,0.0033791351318359377,0.0021289634704589845,0.002152214050292969,0.0022112464904785155,0.0020604705810546874
ROI2,0.012453250885009766,0.0017327880859375,0.010826587677001953,0.01105722427368164,0.009334926605224609,0.00906259536743164,0.001485443115234375,0.009962062835693359,0.0014520072937011718,0.0012813377380371093,0.0006971549987792969,0.0010209274291992187,0.0016071319580078125,0.0010315704345703126,0.0011698150634765626,0.0011434555053710938,0.002081489562988281,0.002078132629394531,0.0014362144470214844,0.0008778572082519531,0.0009746170043945313,0.0038486289978027343,0.0021514129638671876,0.0009853935241699219,0.001773700714111328,0.0011639595031738281,0.0015877151489257812,0.0030824089050292968,0.0013741683959960938,0.0032408905029296877,0.0011809730529785155,0.0026534271240234377,0.00042354583740234375,0.008657722473144532,0.006939983367919922,0.0016717529296875,0.0018723487854003906,0.0022762298583984377,0.002099418640136719,0.0013355064392089845,0.0008905792236328125,0.0023257064819335936,0.002572212219238281,0.0011515045166015626,0.0006137847900390625,0.0019005584716796876,0.0021865081787109373,0.0015930747985839844,0.0009625434875488281,0.0015090560913085937,0.001278247833251953,0.0016408157348632812,0.001264019012451172,0.0014865303039550781,0.0009275054931640624,0.004357109069824219,0.0011043739318847656,0.0023787498474121095,0.0022265243530273436,0.0015447807312011718,0.0018550872802734375,0.001405029296875,0.0030998802185058594,0.0008233833312988281
ROI3,0.0037591934204101564,0.009818191528320313,0.0014171218872070313,0.004332695007324219,0.007696304321289062,0.008450279235839844,0.002175445556640625,0.005353145599365235,0.0032374191284179686,0.0005532264709472656,0.0009931564331054688,0.00049163818359375,0.000991497039794922,0.0014339828491210938,0.0017527198791503905,0.0005854415893554687,0.0022415542602539063,0.0017651557922363282,0.001418609619140625,0.0007605171203613282,0.000866546630859375,0.0017470741271972657,0.0027609825134277343,0.0008764457702636719,0.0009518623352050781,0.0016739082336425782,0.0019606781005859376,0.0005432319641113281,0.00259063720703125,0.002074432373046875,0.0016324424743652344,0.0009929847717285157,0.0011551284790039063,0.001747913360595703,0.004319381713867187,0.001779632568359375,0.0008233070373535156,0.0006466484069824218,0.0011826324462890624,0.002740955352783203,0.0011645317077636718,0.0026547050476074217,0.0017840003967285157,0.0014308738708496095,0.0006005477905273438,0.0004599380493164062,0.0016025161743164062,0.0017251205444335938,0.0009780502319335937,0.00078369140625,0.0005688667297363281,0.0018412971496582031,0.00098175048828125,0.0010289955139160156,0.002814998626708984,0.0006150436401367187,0.001186676025390625,0.0010459709167480468,0.002540760040283203,0.001455974578857422,0.0009225082397460938,0.0011629867553710938,0.0019557952880859377,0.0011841201782226563
ROI4,0.0022276878356933595,0.004240074157714844,0.002743015289306641,0.001539592742919922,0.0019556236267089843,0.004671306610107422,0.004419937133789063,0.003315849304199219,0.0014229774475097655,0.0018436813354492188,0.0007429885864257813,0.0009595870971679688,0.0008360862731933594,0.0013526153564453124,0.0021872520446777344,0.0013396072387695313,0.00181365966796875,0.00281890869140625,0.00122711181640625,0.0012111854553222656,0.0016147232055664063,0.001458110809326172,0.004684581756591797,0.0011960220336914061,0.0019039535522460938,0.0011785316467285156,0.0014574241638183594,0.0011885833740234374,0.0019472694396972655,0.0026132011413574218,0.0015611839294433594,0.0017500114440917969,0.0005523300170898437,0.00927804946899414,0.005267429351806641,0.0010195159912109375,0.0007503700256347657,0.003520660400390625,0.0007515525817871093,0.0005551528930664063,0.0014885711669921876,0.0014281654357910156,0.0027280235290527343,0.001152191162109375,0.0007824134826660156,0.0009820175170898438,0.0010425186157226563,0.002531604766845703,0.00156341552734375,0.0009566307067871094,0.0007548904418945312,0.0012372398376464843,0.0009210777282714844,0.0017761802673339844,0.0019765281677246093,0.003918418884277344,0.001836090087890625,0.0014434814453125,0.0012064933776855468,0.00090850830078125,0.0007808113098144531,0.0018012428283691406,0.0023059463500976563,0.0016360855102539062
ROI5,0.006043643951416016,0.0022570228576660155,0.006562862396240234,0.007896862030029296,0.003841438293457031,0.00531747817993164,0.000402679443359375,0.0035691452026367187,0.0018332290649414062,0.0008305740356445312,0.000680999755859375,0.0008211708068847656,0.001867847442626953,0.0011077117919921875,0.0014758872985839843,0.002178440093994141,0.002857837677001953,0.003315219879150391,0.001327533721923828,0.0009220314025878907,0.0017103195190429688,0.0018442726135253905,0.004828433990478515,0.0019404029846191407,0.0007437515258789062,0.0008084487915039063,0.0020128631591796874,0.0028069114685058596,0.0010340690612792968,0.002448272705078125,0.0009251594543457031,0.0016391944885253906,0.0007266426086425782,0.00916238784790039,0.0003765487670898437,0.0008397674560546874,0.0009620094299316406,0.001692352294921875,0.0005419731140136718,0.0010365867614746094,0.00084228515625,0.002177562713623047,0.0024145889282226564,0.0011098670959472656,0.0011488533020019532,0.003018474578857422,0.0033484649658203124,0.0005579566955566406,0.0006282806396484375,0.0006867027282714843,0.0013811302185058594,0.0012774467468261719,0.001177959442138672,0.0009052085876464843,0.0033226776123046874,0.004307174682617187,0.0015444374084472657,0.0013061332702636718,0.0031711959838867185,0.0010589790344238282,0.001491413116455078,0.002484722137451172,0.0010943031311035157,0.002056789398193359
ROI6,0.004311618804931641,0.01112325668334961,0.007983436584472656,0.005515956878662109,0.01285654067993164,0.009135189056396485,0.004298133850097656,0.007135982513427734,0.002506923675537109,0.001133861541748047,0.0009677314758300781,0.0009838485717773438,0.0011932945251464844,0.00077789306640625,0.002348499298095703,0.004736156463623047,0.002242565155029297,0.0057614707946777345,0.0014905166625976563,0.0006295204162597656,0.0007157707214355468,0.0010972213745117187,0.0009370040893554687,0.0009788131713867187,0.001880645751953125,0.0035179710388183595,0.0019102096557617188,0.0003045654296875,0.002101593017578125,0.0027852439880371093,0.0014185905456542969,0.0026849365234375,0.0010301780700683594,0.006269130706787109,0.009618320465087891,0.0008617973327636718,0.0007751846313476563,0.0019213104248046876,0.0010692977905273438,0.0015046310424804688,0.00056549072265625,0.0016763877868652343,0.0023225593566894532,0.0010622406005859374,0.001062755584716797,0.0016472816467285156,0.0028003692626953126,0.0013596534729003907,0.0015476799011230468,0.0015325736999511719,0.0007348251342773437,0.002125034332275391,0.0009077262878417969,0.0013902664184570312,0.0015076637268066407,0.004020862579345703,0.0024965095520019533,0.0013779258728027343,0.0029211044311523438,0.0014483833312988281,0.0009301376342773438,0.0027114677429199217,0.0013747787475585937,0.0018933486938476562
ROI7,0.006807136535644531,0.0027956199645996094,0.006175308227539062,0.007389373779296875,0.006619434356689453,0.007682476043701172,0.0035941314697265623,0.007396945953369141,0.0025357818603515625,0.001815338134765625,0.0008167076110839844,0.0007540512084960937,0.0012240219116210938,0.001320781707763672,0.0020995330810546875,0.0029404258728027346,0.0005445671081542969,0.0035646629333496095,0.0018433189392089843,0.0015455818176269532,0.0017109489440917968,0.004659099578857422,0.0041180610656738285,0.0013156509399414062,0.0011300086975097657,0.0014867591857910156,0.0009262275695800782,0.0013515090942382813,0.0019163894653320313,0.0009506988525390625,0.001156291961669922,0.0008862686157226563,0.001519145965576172,0.004848155975341797,0.0070625686645507816,0.002114715576171875,0.00075927734375,0.003246345520019531,0.0011941146850585936,0.0014306640625,0.0017267799377441407,0.00377410888671875,0.0020796966552734373,0.0013824272155761718,0.0006859016418457032,0.0022647476196289065,0.004086341857910156,0.0025287437438964843,0.0009125518798828125,0.0008317947387695313,0.0007285118103027344,0.0014232254028320312,0.0010856246948242187,0.0011532020568847657,0.001251087188720703,0.0027035903930664063,0.001879100799560547,0.004363765716552734,0.0030337142944335937,0.0022700691223144533,0.0006625938415527343,0.0009425926208496094,0.0025144004821777343,0.0016284561157226562
ROI8,0.002171783447265625,0.0008852958679199218,0.0005959320068359375,0.0010639190673828124,0.0011280059814453125,0.0008944320678710937,0.0016017913818359374,0.001008453369140625,0.0025463294982910156,0.0014795303344726563,0.004736824035644531,0.0022316932678222655,0.003120880126953125,0.004113407135009766,0.0035388755798339846,0.009417495727539062,0.0007120132446289063,0.0022173500061035156,0.0010629653930664062,0.0006318855285644532,0.0006527900695800781,0.0019063568115234375,0.0023226165771484376,0.0015160560607910157,0.0017107009887695312,0.0023126792907714844,0.003262481689453125,0.0018842697143554687,0.0009899520874023437,0.001630229949951172,0.0028872108459472657,0.0008226585388183594,0.0007304763793945313,0.002330036163330078,0.001710338592529297,0.0012957000732421876,0.0010941886901855468,0.0011818122863769532,0.0014515495300292968,0.0012862968444824218,0.004911594390869141,0.004630069732666015,0.015267391204833985,0.005356502532958984,0.0023102188110351563,0.003870716094970703,0.008367767333984375,0.0023587989807128907,0.0019595718383789065,0.0018211174011230468,0.0010348320007324218,0.001706409454345703,0.0009627151489257813,0.0012412643432617187,0.005588703155517578,0.0015036392211914063,0.0007581520080566406,0.00419229507446289,0.0015339279174804688,0.0020804405212402344,0.0010750389099121094,0.003141059875488281,0.0020981788635253905,0.0009569549560546876
ROI9,0.001833343505859375,0.0015196990966796875,0.0014689445495605468,0.002434062957763672,0.0018074989318847656,0.0005843162536621094,0.0010626411437988281,0.0019006919860839844,0.005846996307373047,0.006767730712890625,0.004739265441894531,0.005648117065429687,0.0027133941650390623,0.0020252418518066405,0.004861335754394531,0.005091590881347656,0.0005697250366210937,0.0009109115600585937,0.0011585617065429687,0.001071910858154297,0.0011624717712402344,0.0006545639038085938,0.0004501914978027344,0.0008473777770996093,0.0018214607238769532,0.0024205970764160155,0.0027092933654785157,0.0005034065246582031,0.0006344032287597657,0.0010393714904785155,0.0013812828063964845,0.0007096481323242188,0.0011798858642578125,0.0012530708312988282,0.0022635269165039063,0.00082366943359375,0.0020347213745117187,0.0026893043518066407,0.0013945198059082031,0.00075042724609375,0.003108081817626953,0.001552600860595703,0.004729290008544922,0.0007732391357421875,0.0010541152954101562,0.0018413734436035156,0.00497323989868164,0.00137359619140625,0.0016218185424804687,0.0016852569580078124,0.001667022705078125,0.0005611610412597656,0.0011374855041503906,0.0015630340576171875,0.0011722183227539063,0.001498279571533203,0.0008907890319824218,0.0005315780639648437,0.0020727920532226563,0.001754779815673828,0.0007017135620117187,0.002803535461425781,0.0015263748168945312,0.0008788108825683594
