sample_id,dataset,mode,split,num_variables,sequence_length,observed_variable_count,hidden_variable_count,ground_truth_edges,predicted_edges,auroc,auprc,f1,accuracy,shd,runtime_sec,threshold
sample_00250,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6624836580634278,0.08693431494252257,0.0,0.96484375,144,1.2946031037718058,0.03617477416992188
sample_00251,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6401698858524516,0.0801812616589062,0.0,0.96484375,144,0.5183060322888196,0.03617477416992188
sample_00252,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6608635219860549,0.0781687445265072,0.0,0.96484375,144,0.5534921172074974,0.03617477416992188
sample_00253,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6390189215024741,0.08143026346606626,0.0,0.96484375,144,0.5432698181830347,0.03617477416992188
sample_00254,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6259023209064327,0.08121111035080562,0.0,0.96484375,144,0.4910977240651846,0.03617477416992188
sample_00255,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6282552083333334,0.0700152761106149,0.0,0.96484375,144,0.5933147380128503,0.03617477416992188
sample_00256,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6255139802631579,0.06452106894473955,0.0,0.96484375,144,0.6091172299347818,0.03617477416992188
sample_00257,simulated_fMRI,latent,test,64,240,64,4,144,0,0.631134376405758,0.06884201149776313,0.0,0.96484375,144,0.5396323059685528,0.03617477416992188
sample_00258,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6287551310166442,0.06237280157443206,0.0,0.96484375,144,0.5290111037902534,0.03617477416992188
sample_00259,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6068920799595142,0.08464533978069598,0.0,0.96484375,144,0.5223284945823252,0.03617477416992188
sample_00260,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6653215319950517,0.0904550044944684,0.0,0.96484375,144,0.544793276116252,0.03617477416992188
sample_00261,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6663231345591543,0.0771951785606132,0.0,0.96484375,144,0.5170361851342022,0.03617477416992188
sample_00262,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6293051338281601,0.06256857594887862,0.0,0.96484375,144,0.5314885987900198,0.03617477416992188
sample_00263,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6790803882703553,0.08597161065612358,0.0,0.96484375,144,0.5460141431540251,0.03617477416992188
sample_00264,simulated_fMRI,latent,test,64,240,64,4,144,0,0.5959131100989654,0.08172094658289125,0.0,0.96484375,144,0.5252284528687596,0.03617477416992188
sample_00265,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6352277679374719,0.09012457116534123,0.0,0.96484375,144,0.5441827327013016,0.03617477416992188
sample_00266,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6556674890350878,0.0788617989013973,0.0,0.96484375,144,0.5078413113951683,0.03617477416992188
sample_00267,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6562737221659919,0.08965674575451761,0.0,0.96484375,144,0.5638994071632624,0.03617477416992188
sample_00268,simulated_fMRI,latent,test,64,240,64,4,144,0,0.6300088914192533,0.0812127195277616,0.0,0.96484375,144,0.5343501651659608,0.03617477416992188
sample_00269,simulated_fMRI,latent,test,64,240,64,4,144,0,0.669892002642825,0.08332230558092747,0.0,0.96484375,144,0.5073430393822491,0.03617477416992188
